Reference	Average.coverage
_ACCORD_I_LTR_Gypsy	0
_ACCORD_I_LTR_Gypsy	0.194656489
_ACCORD_I_LTR_Gypsy	49.82013359
_ACCORD_I_LTR_Gypsy	80.33667303
_ACCORD_I_LTR_Gypsy	91.91078244
_ACCORD_I_LTR_Gypsy	34.45944656
_ACCORD_I_LTR_Gypsy	63.39742366
_ACCORD_I_LTR_Gypsy	39.95356234
_ACCORD_I_LTR_Gypsy	68.30613868
_ACCORD_I_LTR_Gypsy	101.0728372
_ACCORD_I_LTR_Gypsy	52.44465649
_ACCORD_I_LTR_Gypsy	40.32331425
_ACCORD_I_LTR_Gypsy	57.35130407
_BEL-21_DAn-I_LTR_Pao	0.272236564
_BEL-21_DAn-I_LTR_Pao	0.448486271
_BEL-21_DAn-I_LTR_Pao	0.05714621
_BEL-21_DAn-I_LTR_Pao	0.050574982
_BEL-21_DAn-I_LTR_Pao	0.052452476
_BEL-21_DAn-I_LTR_Pao	0.038019244
_BEL-21_DAn-I_LTR_Pao	0.104435579
_BEL-21_DAn-I_LTR_Pao	0.008683408
_BEL-21_DAn-I_LTR_Pao	0.041304858
_BEL-21_DAn-I_LTR_Pao	0.008214034
_BEL-21_DAn-I_LTR_Pao	0.134475475
_BEL-21_DAn-I_LTR_Pao	0.008683408
_BEL-21_DAn-I_LTR_Pao	0.048814832
_BEL-21_DTa-I_LTR_Pao	0.139150655
_BEL-21_DTa-I_LTR_Pao	0.237792192
_BEL-21_DTa-I_LTR_Pao	0.099375841
_BEL-21_DTa-I_LTR_Pao	0.528576674
_BEL-21_DTa-I_LTR_Pao	0.565169502
_BEL-21_DTa-I_LTR_Pao	0
_BEL-21_DTa-I_LTR_Pao	0.27891323
_BEL-21_DTa-I_LTR_Pao	0.079549627
_BEL-21_DTa-I_LTR_Pao	0.063150165
_BEL-21_DTa-I_LTR_Pao	0.069146983
_BEL-21_DTa-I_LTR_Pao	0.433484274
_BEL-21_DTa-I_LTR_Pao	0.377309999
_BEL-21_DTa-I_LTR_Pao	0.229347693
_BEL-4_DMoj-I_LTR_Pao	0.023472331
_BEL-4_DMoj-I_LTR_Pao	0.023603462
_BEL-4_DMoj-I_LTR_Pao	0
_BEL-4_DMoj-I_LTR_Pao	0.155389457
_BEL-4_DMoj-I_LTR_Pao	0.03055337
_BEL-4_DMoj-I_LTR_Pao	0
_BEL-4_DMoj-I_LTR_Pao	0.034093889
_BEL-4_DMoj-I_LTR_Pao	0.008261212
_BEL-4_DMoj-I_LTR_Pao	7.884736428
_BEL-4_DMoj-I_LTR_Pao	0
_BEL-4_DMoj-I_LTR_Pao	0.004720692
_BEL-4_DMoj-I_LTR_Pao	0.010490427
_BEL-4_DMoj-I_LTR_Pao	0.009179124
_BEL-6_DWil-I_LTR_Pao	0.357119476
_BEL-6_DWil-I_LTR_Pao	0.638952537
_BEL-6_DWil-I_LTR_Pao	0.057283142
_BEL-6_DWil-I_LTR_Pao	0.614893617
_BEL-6_DWil-I_LTR_Pao	1.139116203
_BEL-6_DWil-I_LTR_Pao	0.133387889
_BEL-6_DWil-I_LTR_Pao	0.693944354
_BEL-6_DWil-I_LTR_Pao	0.192144026
_BEL-6_DWil-I_LTR_Pao	1.706873977
_BEL-6_DWil-I_LTR_Pao	0.209656301
_BEL-6_DWil-I_LTR_Pao	0.348281506
_BEL-6_DWil-I_LTR_Pao	0.181505728
_BEL-6_DWil-I_LTR_Pao	0.401636661
_BLASTOPIA_I_LTR_Gypsy	0.110243249
_BLASTOPIA_I_LTR_Gypsy	0
_BLASTOPIA_I_LTR_Gypsy	135.6413747
_BLASTOPIA_I_LTR_Gypsy	185.369114
