"Reference","Sample_index","Read1","Read2","Total_reads","percent_mapped","Ref_Length","Average_coverage","max_coverage"
"CL169_TR_1_x_330_0nt.fa","S001","ERR418085_chmielewski_val_1.fq","ERR418085_chmielewskii_val_2.fq",4998538,0.01,334,174.425149700599,227
"CL169_TR_1_x_330_0nt.fa","S002","ERR418086_chmielewskii_val_1.fq","ERR418086_chmielewskii_val_2.fq",4997968,0.01,334,237.748502994012,309
"CL169_TR_1_x_330_0nt.fa","S003","ERR418089_cheesmaniae_val_1.fq","ERR418089_cheesmaniae_val_2.fq",4997982,0.03,334,735.149700598802,912
"CL169_TR_1_x_330_0nt.fa","S004","ERR418090_neorickii_val_1.fq","ERR418090_neorickii_val_2.fq",4997175,0.01,334,366.011976047904,491
"CL169_TR_1_x_330_0nt.fa","S005","ERR418091_neorickii_val_1.fq","ERR418091_neorickii_val_2.fq",4998639,0.01,334,343.308383233533,482
"CL169_TR_1_x_330_0nt.fa","S006","ERR418092_arcanum_val_1.fq","ERR418092_arcanum_val_2.fq",4998037,0.05,334,1104.41017964072,1375
"CL169_TR_1_x_330_0nt.fa","S007","ERR418093_arcanum_val_1.fq","ERR418093_arcanum_val_2.fq",4997621,0.02,334,582.230538922156,756
"CL169_TR_1_x_330_0nt.fa","S008","ERR418121_galapagense_val_1.fq","ERR418121_galapagense_val_2.fq",4998374,0.04,334,853.715568862275,1221
"CL183_TR_1_x_332_0nt.fa","S001","ERR418085_chmielewski_val_1.fq","ERR418085_chmielewskii_val_2.fq",4998538,0.01,336,171.431547619048,236
"CL183_TR_1_x_332_0nt.fa","S002","ERR418086_chmielewskii_val_1.fq","ERR418086_chmielewskii_val_2.fq",4997968,0.01,336,250.982142857143,341
"CL183_TR_1_x_332_0nt.fa","S003","ERR418089_cheesmaniae_val_1.fq","ERR418089_cheesmaniae_val_2.fq",4997982,0.03,336,744.502976190476,919
"CL183_TR_1_x_332_0nt.fa","S004","ERR418090_neorickii_val_1.fq","ERR418090_neorickii_val_2.fq",4997175,0.02,336,397.5,534
"CL183_TR_1_x_332_0nt.fa","S005","ERR418091_neorickii_val_1.fq","ERR418091_neorickii_val_2.fq",4998639,0.01,336,360.056547619048,514
"CL183_TR_1_x_332_0nt.fa","S006","ERR418092_arcanum_val_1.fq","ERR418092_arcanum_val_2.fq",4998037,0.05,336,1119.63988095238,1414
"CL183_TR_1_x_332_0nt.fa","S007","ERR418093_arcanum_val_1.fq","ERR418093_arcanum_val_2.fq",4997621,0.03,336,626.229166666667,800
"CL183_TR_1_x_332_0nt.fa","S008","ERR418121_galapagense_val_1.fq","ERR418121_galapagense_val_2.fq",4998374,0.04,336,878.690476190476,1143
"CL3_TR_1_x_53_0nt.fa","S001","ERR418085_chmielewski_val_1.fq","ERR418085_chmielewskii_val_2.fq",4998538,0.28,53,7369.05660377359,8355
"CL3_TR_1_x_53_0nt.fa","S002","ERR418086_chmielewskii_val_1.fq","ERR418086_chmielewskii_val_2.fq",4997968,0.21,53,6481.71698113208,7331
"CL3_TR_1_x_53_0nt.fa","S003","ERR418089_cheesmaniae_val_1.fq","ERR418089_cheesmaniae_val_2.fq",4997982,1.36,53,11404.4339622642,13321
"CL3_TR_1_x_53_0nt.fa","S004","ERR418090_neorickii_val_1.fq","ERR418090_neorickii_val_2.fq",4997175,0.43,53,9157.37735849057,10375
"CL3_TR_1_x_53_0nt.fa","S005","ERR418091_neorickii_val_1.fq","ERR418091_neorickii_val_2.fq",4998639,0.46,53,9670.18867924528,11058
"CL3_TR_1_x_53_0nt.fa","S006","ERR418092_arcanum_val_1.fq","ERR418092_arcanum_val_2.fq",4998037,0.21,53,6260.49056603774,7084
"CL3_TR_1_x_53_0nt.fa","S007","ERR418093_arcanum_val_1.fq","ERR418093_arcanum_val_2.fq",4997621,0.45,53,8744.20754716981,9956
"CL3_TR_1_x_53_0nt.fa","S008","ERR418121_galapagense_val_1.fq","ERR418121_galapagense_val_2.fq",4998374,0.6,53,8665.96226415094,10001
"CL44_TR_1_x_181_0nt.fa","S001","ERR418085_chmielewski_val_1.fq","ERR418085_chmielewskii_val_2.fq",4998538,1.44,183,12850.2896174863,15171
"CL44_TR_1_x_181_0nt.fa","S002","ERR418086_chmielewskii_val_1.fq","ERR418086_chmielewskii_val_2.fq",4997968,1.2,183,11624.9234972678,13718
"CL44_TR_1_x_181_0nt.fa","S003","ERR418089_cheesmaniae_val_1.fq","ERR418089_cheesmaniae_val_2.fq",4997982,0.43,183,8526.4043715847,10916
"CL44_TR_1_x_181_0nt.fa","S004","ERR418090_neorickii_val_1.fq","ERR418090_neorickii_val_2.fq",4997175,1.78,183,14036.4426229508,16387
"CL44_TR_1_x_181_0nt.fa","S005","ERR418091_neorickii_val_1.fq","ERR418091_neorickii_val_2.fq",4998639,2.19,183,13728.4426229508,16013
"CL44_TR_1_x_181_0nt.fa","S006","ERR418092_arcanum_val_1.fq","ERR418092_arcanum_val_2.fq",4998037,0.9,183,10604.5245901639,12711
"CL44_TR_1_x_181_0nt.fa","S007","ERR418093_arcanum_val_1.fq","ERR418093_arcanum_val_2.fq",4997621,0.88,183,9887.58469945355,11995
"CL44_TR_1_x_181_0nt.fa","S008","ERR418121_galapagense_val_1.fq","ERR418121_galapagense_val_2.fq",4998374,0.3,183,5876.94535519126,7834
"CL5_TR_1_x_53_0nt.fa","S001","ERR418085_chmielewski_val_1.fq","ERR418085_chmielewskii_val_2.fq",4998538,0.31,53,8007.58490566038,9170
"CL5_TR_1_x_53_0nt.fa","S002","ERR418086_chmielewskii_val_1.fq","ERR418086_chmielewskii_val_2.fq",4997968,0.23,53,6935.77358490566,7946
