Position,LC012705_1_Solanum_lycopersicum_DNA__LTR_retrotransposon_CopiaSL_monotypic_Ch12_2s29__complete_sequence.fa_004
1,11
2,12
3,13
4,14
5,15
6,15
7,17
8,21
9,21
10,23
11,23
12,24
13,24
14,24
15,25
16,25
17,25
18,26
19,28
20,29
21,30
22,30
23,30
24,30
25,30
26,30
27,34
28,34
29,35
30,38
31,40
32,42
33,42
34,45
35,45
36,51
37,53
38,53
39,55
40,55
41,57
42,57
43,57
44,57
45,57
46,58
47,58
48,58
49,58
50,58
51,58
52,58
53,59
54,59
55,59
56,59
57,61
58,61
59,61
60,61
61,61
62,60
63,59
64,59
65,59
66,59
67,60
68,59
69,59
70,58
71,58
72,58
73,58
74,58
75,58
76,58
77,58
78,60
79,61
80,61
81,62
82,62
83,62
84,62
85,66
86,66
87,67
88,69
89,70
90,69
91,69
92,70
93,71
94,71
95,71
96,71
97,68
98,68
99,69
100,67
101,67
102,69
103,68
104,68
105,67
106,67
107,65
108,66
109,66
110,66
111,66
112,66
113,65
114,66
115,67
116,67
117,66
118,65
119,63
120,62
121,62
122,62
123,61
124,64
125,65
126,64
127,63
128,62
129,62
130,59
131,58
132,56
133,54
134,52
135,49
136,48
137,47
138,46
139,43
140,43
141,43
142,42
143,42
144,42
145,42
146,41
147,41
148,42
149,42
150,43
151,43
152,42
153,43
154,44
155,44
156,44
157,45
158,43
159,43
160,43
161,43
162,44
163,44
164,44
165,44
166,44
167,44
168,43
169,42
170,42
171,42
172,43
173,43
174,43
175,43
176,41
177,41
178,41
179,40
180,39
181,39
182,39
183,37
184,37
185,32
186,32
187,32
188,32
189,32
190,31
191,31
192,31
193,29
194,28
195,28
196,26
197,26
198,26
199,22
200,22
201,21
202,21
203,20
204,20
205,21
206,22
207,22
208,22
209,20
210,20
211,20
212,19
213,19
214,16
215,16
216,18
217,18
218,18
219,18
220,17
221,17
222,16
223,16
224,16
225,16
226,16
227,16
228,16
229,16
230,16
231,16
232,21
233,21
234,15
235,15
