Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  1  0  0  0  0  1
2  1  0  0  0  0  1
3  1  0  0  0  0  1
4  1  0  0  0  0  1
5  0  0  0  0  1  1
6  1  0  0  0  0  1
7  1  0  0  0  0  1
8  1  0  0  0  0  1
9  1  0  0  0  0  1
10  1  0  0  0  0  1
11  1  0  0  0  0  1
12  1  0  0  0  0  1
13  1  0  0  0  0  1
14  1  0  0  0  0  1
15  1  0  0  0  0  1
16  1  0  0  0  0  1
17  1  0  0  0  0  1
18  1  0  0  0  0  1
19  1  0  0  0  0  1
20  1  0  0  0  0  1
21  1  0  0  0  0  1
22  1  0  0  0  0  1
23  1  0  0  0  0  1
24  1  0  0  0  0  1
25  1  0  0  0  0  1
26  1  0  0  0  0  1
27  1  0  0  0  0  1
28  1  0  0  0  0  1
29  1  0  0  0  0  1
30  1  0  0  0  0  1
31  0  0  1  0  0  1
32  1  0  0  0  0  1
33  1  0  0  0  0  1
34  1  0  0  0  0  1
35  1  0  0  0  0  1
36  1  0  0  0  0  1
37  1  0  0  0  0  1
38  1  0  0  0  0  1
39  1  0  0  0  0  1
40  1  0  0  0  0  1
41  1  0  0  0  0  1
42  1  0  0  0  0  1
43  1  0  0  0  0  1
44  1  0  0  0  0  1
45  0  0  0  0  0  0
46  0  0  0  0  0  0
47  0  0  0  0  0  0
48  0  0  0  0  0  0
49  0  0  0  0  0  0
50  0  0  0  0  0  0
51  0  0  0  0  0  0
52  0  0  0  0  0  0
53  0  0  0  0  0  0
54  0  0  0  0  0  0
55  0  0  0  0  0  0
56  0  0  0  0  0  0
57  0  0  0  0  0  0
58  0  0  0  0  0  0
59  0  0  0  0  0  0
60  0  0  0  0  0  0
61  0  0  0  0  0  0
62  0  0  0  0  0  0
63  0  0  0  0  0  0
64  0  0  0  0  0  0
65  0  0  0  0  0  0
66  0  0  0  0  0  0
67  0  0  0  0  0  0
68  0  0  0  0  0  0
69  0  0  0  0  0  0
70  0  0  0  0  0  0
71  0  0  0  0  0  0
72  0  0  0  0  0  0
73  0  0  0  0  0  0
74  0  0  0  0  0  0
75  0  0  0  0  0  0
76  0  0  0  0  0  0
77  0  0  0  0  0  0
78  0  0  0  0  0  0
79  0  0  0  0  0  0
80  0  0  0  0  0  0
81  0  0  0  0  0  0
82  0  0  0  0  0  0
83  0  0  0  0  0  0
84  0  0  0  0  0  0
85  0  0  0  0  0  0
86  0  0  0  0  0  0
87  0  0  0  0  0  0
88  0  0  0  0  0  0
89  0  0  0  0  0  0
90  0  0  0  0  0  0
91  0  0  0  0  0  0
92  0  0  0  0  0  0
93  0  0  0  0  0  0
94  0  0  0  0  0  0
95  0  0  0  0  0  0
96  0  0  0  0  0  0
97  0  0  0  0  0  0
98  0  0  0  0  0  0
99  0  0  0  0  0  0
100  0  0  0  0  0  0
101  0  0  0  0  0  0
102  0  0  0  0  0  0
103  0  0  0  0  0  0
104  0  0  0  0  0  0
105  0  0  0  0  0  0
106  0  0  0  0  0  0
107  0  0  0  0  0  0
108  0  0  0  0  0  0
109  0  0  0  0  0  0
110  1  0  0  0  0  1
111  1  0  0  0  0  1
112  1  0  0  0  0  1
113  1  0  0  0  0  1
114  1  0  0  0  0  1
115  1  0  0  0  0  1
116  1  0  0  0  0  1
117  2  0  0  0  0  2
118  3  0  0  0  0  3
119  3  0  0  0  0  3
120  3  0  0  0  0  3
121  2  0  1  0  0  3
122  3  0  0  0  0  3
123  3  0  0  0  0  3
124  3  0  0  0  0  3
125  3  0  0  0  0  3
126  3  0  0  0  0  3
127  3  0  0  0  0  3
128  2  0  1  0  0  3
129  2  1  0  0  1  4
130  3  0  1  0  0  4
131  3  0  0  1  0  4
132  3  0  1  0  0  4
133  4  0  0  0  0  4
134  5  0  0  1  0  6
135  5  1  0  0  0  6
136  6  0  0  0  0  6
137  6  0  0  0  0  6
138  6  0  0  0  0  6
139  5  1  0  0  0  6
140  0  0  0  0  6  6
141  7  0  0  0  0  7
142  8  0  0  0  0  8
143  8  0  0  0  0  8
144  8  0  0  0  0  8
145  8  0  0  0  0  8
146  8  0  0  0  0  8
147  9  0  0  0  0  9
148  9  0  0  0  0  9
149  9  0  0  0  0  9
150  9  0  0  0  0  9
151  9  0  0  0  0  9
152  9  0  1  0  0  10
153  12  0  0  0  0  12
154  12  0  0  0  0  12
155  12  0  0  0  0  12
156  12  0  0  0  0  12
157  12  0  0  0  0  12
158  12  0  0  0  0  12
159  12  0  0  0  0  12
160  15  0  0  0  0  15
161  17  0  0  0  0  17
162  18  0  0  0  0  18
163  16  3  0  0  0  19
164  19  0  0  0  0  19
165  20  0  0  0  0  20
166  20  0  0  0  0  20
167  22  0  0  0  0  21
168  21  0  0  0  0  21
169  20  1  0  0  0  21
170  23  0  0  0  0  23
171  23  0  0  0  0  23
172  23  0  0  0  0  23
173  23  0  0  0  0  23
174  23  0  0  0  0  23
175  24  0  0  0  0  24
176  23  0  0  0  0  23
177  23  0  0  0  0  23
178  23  0  0  0  0  23
179  1  21  0  1  0  23
180  24  0  0  0  0  24
181  24  0  0  0  0  24
182  24  0  0  0  0  24
183  24  0  0  0  0  24
184  24  0  0  0  0  24
185  0  0  0  0  23  23
186  0  23  0  0  0  23
187  24  0  1  0  0  25
188  25  0  0  0  0  25
189  25  0  0  0  0  25
190  26  0  1  0  0  27
191  27  0  0  0  0  27
192  27  0  0  0  0  27
193  27  0  0  0  0  27
194  27  0  0  0  0  27
195  27  0  0  0  0  27
196  8  0  16  0  0  24
197  24  0  0  0  0  24
198  24  0  0  0  0  24
199  24  0  0  0  0  24
200  24  0  0  0  0  24
201  25  0  0  0  0  25
202  25  0  0  0  0  25
203  25  0  0  0  0  25
204  24  1  0  0  0  25
205  27  0  0  0  0  27
206  26  0  0  0  0  26
207  25  0  1  0  0  26
208  26  0  1  0  0  27
209  24  1  1  0  0  26
210  23  0  0  0  3  26
211  24  1  1  0  0  26
212  28  0  0  0  0  28
213  28  0  0  0  0  28
214  28  0  0  0  0  28
215  27  0  1  0  0  28
216  27  1  0  0  0  28
217  27  0  0  0  0  27
218  26  0  1  0  0  27
219  23  0  3  0  0  26
220  26  0  0  0  0  26
221  25  0  0  0  0  25
222  21  0  0  0  4  25
223  20  0  5  0  0  25
224  27  0  0  1  0  27
225  26  2  0  1  0  28
226  32  0  0  0  0  32
227  28  2  0  0  1  31
228  31  0  0  0  0  31
229  31  0  0  0  0  31
230  31  0  0  0  0  31
231  31  0  0  0  0  31
232  34  0  0  0  0  34
233  33  0  0  0  1  34
234  35  0  0  0  0  35
235  35  0  0  0  0  35
236  33  0  0  0  0  33
237  33  0  0  0  0  33
238  33  0  0  0  0  33
239  33  0  0  0  0  33
240  34  0  0  0  0  34
241  38  0  0  0  0  38
242  36  0  1  0  0  37
243  33  0  3  0  0  36
244  36  0  0  0  0  36
245  35  0  0  0  0  35
246  35  0  0  0  0  35
247  35  0  0  0  0  35
248  25  9  1  0  0  35
249  0  2  0  0  31  33
250  40  0  0  0  0  40
251  40  0  0  0  0  40
252  40  0  0  0  1  41
253  41  0  0  0  0  41
254  41  0  0  0  0  41
255  38  0  1  0  0  39
256  39  0  0  0  0  39
257  41  0  0  0  0  41
258  41  0  0  0  0  41
259  41  0  0  0  0  41
260  40  0  1  0  0  41
261  41  0  0  0  0  41
262  39  3  0  0  0  42
263  42  0  0  0  0  42
264  42  0  0  0  0  42
265  42  0  0  0  0  42
266  42  0  0  0  0  42
267  41  0  0  0  0  41
268  41  0  0  0  0  41
269  41  0  0  0  0  41
270  40  1  0  0  0  41
271  38  0  0  3  0  41
272  41  0  0  0  0  41
273  27  0  0  0  12  39
274  38  1  0  0  0  39
275  39  0  0  0  0  39
276  39  0  0  0  0  39
277  36  0  3  0  0  39
278  38  0  1  0  0  39
279  39  0  0  0  0  39
280  39  0  0  1  0  40
281  40  0  0  0  0  40
282  40  1  0  0  0  41
283  41  0  0  1  0  42
284  40  0  0  0  1  41
285  40  0  0  0  1  41
286  40  0  0  2  0  42
287  43  0  0  0  0  43
288  43  0  0  0  0  43
289  43  0  0  0  0  43
290  41  0  0  0  0  41
291  40  0  0  0  0  40
292  39  0  0  0  0  39
293  30  0  8  0  0  38
294  36  2  0  0  0  38
295  31  7  2  0  0  40
296  33  0  7  0  0  40
297  38  0  0  0  2  40
298  42  0  0  0  0  42
299  40  1  0  1  0  42
300  42  0  0  0  0  42
301  6  0  0  0  35  41
302  40  0  1  0  0  41
303  41  0  0  0  0  41
304  41  0  1  0  0  42
305  42  0  0  0  0  42
306  42  0  0  0  0  42
307  42  0  0  0  0  42
308  42  0  0  0  0  42
309  41  0  0  0  0  41
310  44  0  0  0  0  43
311  43  0  0  0  0  43
312  43  0  0  0  0  43
313  44  0  1  0  0  44
314  44  0  0  0  0  44
315  40  0  3  1  0  44
316  42  2  0  0  0  44
317  45  0  0  0  1  46
318  46  0  2  0  0  47
319  47  1  0  0  0  48
320  47  0  0  0  0  47
321  44  1  0  1  0  46
322  46  0  0  0  0  46
323  45  0  0  0  0  45
324  44  0  0  0  0  44
325  43  0  0  1  0  44
326  37  2  0  0  0  39
327  0  37  0  0  0  37
328  41  0  0  0  0  40
329  42  0  0  0  1  42
330  42  0  0  0  0  42
331  41  0  0  0  0  41
332  40  0  0  0  0  40
333  41  0  0  0  0  41
334  39  0  0  0  0  39
335  40  0  0  0  0  40
336  42  0  0  0  0  41
337  41  0  1  0  0  42
338  41  0  0  0  1  42
339  43  1  0  0  0  43
340  42  0  0  0  0  42
341  41  0  0  0  0  41
342  43  0  0  0  0  43
343  42  0  1  0  0  43
344  43  0  0  0  0  43
345  44  0  0  0  0  44
346  41  0  2  0  0  43
347  43  0  0  0  0  43
348  42  2  1  0  0  45
349  44  0  0  0  0  44
350  44  0  0  0  0  44
351  44  0  1  0  0  45
352  44  0  0  0  0  44
353  43  0  0  0  0  43
354  43  0  0  0  0  43
355  44  0  0  0  0  44
356  12  0  0  32  0  44
357  45  0  0  0  0  45
358  45  0  0  0  0  45
359  46  1  0  0  0  47
360  48  0  0  0  0  48
361  48  0  0  1  0  49
362  42  0  7  0  0  49
363  49  0  0  0  0  49
364  46  0  3  0  0  49
365  38  11  0  0  0  49
366  49  2  0  0  0  51
367  51  0  0  0  0  51
368  51  0  0  0  0  51
369  52  0  0  0  0  52
370  53  0  0  0  0  53
371  52  0  0  1  0  53
372  51  0  0  0  2  53
373  52  0  0  0  0  52
374  51  0  0  0  1  52
375  52  0  0  0  0  52
376  51  0  0  0  0  51
377  51  0  0  0  0  51
378  41  0  11  0  0  52
379  50  3  0  0  0  53
380  54  0  0  0  0  54
381  51  0  0  2  0  53
382  53  0  0  1  0  54
383  55  0  0  0  0  55
384  53  0  0  1  0  54
385  55  0  0  0  0  55
386  39  17  0  0  0  56
387  55  0  0  1  0  56
388  55  0  1  1  0  57
389  21  0  0  36  0  57
390  59  0  0  0  0  59
391  59  0  0  0  1  60
392  60  0  0  0  0  60
393  59  0  0  0  0  59
394  51  0  8  0  0  59
395  48  0  12  1  0  61
396  53  6  1  0  0  60
397  60  0  1  0  0  61
398  62  0  1  0  0  63
399  39  0  23  0  0  62
400  63  0  0  0  0  63
401  63  0  0  0  0  63
402  60  1  2  0  0  63
403  63  0  0  0  0  63
404  53  0  1  0  0  54
405  48  0  1  0  0  49
406  37  0  0  0  2  39
407  34  0  0  2  0  36
408  35  0  1  0  0  36
409  30  0  5  0  0  35
410  29  0  0  6  0  35
411  28  0  0  7  0  35
412  34  1  0  0  0  35
413  35  0  0  0  0  35
414  34  0  0  0  0  34
415  29  5  0  0  0  34
416  33  0  0  1  0  34
417  27  0  7  0  0  34
418  32  0  5  1  0  38
419  47  0  0  0  0  47
420  57  0  0  0  0  57
421  63  1  0  0  0  64
422  71  0  0  0  0  71
423  76  0  1  0  0  77
424  80  1  1  0  0  82
425  84  3  0  0  0  87
426  91  0  0  0  0  91
427  99  0  0  0  0  99
428  106  0  0  0  0  106
429  108  0  1  0  0  109
430  112  0  0  0  0  112
431  108  1  3  0  0  112
432  110  5  4  0  0  119
433  124  0  0  0  0  124
434  123  0  0  1  1  125
435  126  1  0  0  0  127
436  129  0  0  0  0  129
437  131  0  0  0  1  132
438  130  0  6  0  0  136
439  136  0  0  0  1  137
440  140  0  0  0  0  140
441  139  0  2  0  0  141
442  114  29  0  0  0  143
443  146  0  0  0  0  146
444  136  3  9  0  0  148
445  147  0  0  1  0  148
446  149  0  1  0  0  150
447  148  0  0  0  3  151
448  153  0  0  1  1  155
449  154  0  3  0  0  157
450  159  1  0  0  1  161
451  162  0  0  0  0  162
452  161  1  0  0  0  162
453  163  0  0  0  0  163
454  156  0  0  0  7  163
455  164  0  0  0  0  164
456  162  0  0  1  0  163
457  163  0  0  0  0  163
458  163  0  0  0  0  163
459  149  15  1  0  0  165
460  165  0  0  0  0  165
461  162  3  0  0  0  165
462  166  0  0  0  0  166
463  164  0  0  0  0  164
464  161  2  0  0  1  164
465  165  0  0  0  0  165
466  165  0  0  0  1  166
467  154  5  7  0  0  166
468  154  4  7  0  0  165
469  159  0  0  0  6  165
470  158  6  3  0  0  167
471  169  0  0  0  0  169
472  169  0  0  0  0  169
473  168  0  0  0  0  168
474  168  0  0  0  0  168
475  168  0  0  0  0  168
476  163  0  5  0  0  168
477  158  6  4  0  0  168
478  167  0  0  0  0  167
479  163  1  5  0  0  169
480  169  0  0  0  0  169
481  168  0  0  0  0  168
482  167  0  0  1  0  168
483  166  0  0  1  1  168
484  166  0  0  0  0  166
485  163  1  1  0  0  165
486  156  0  8  0  0  164
487  159  0  5  0  0  164
488  160  0  2  0  0  162
489  159  1  2  0  0  162
490  161  2  0  0  0  163
491  159  3  0  0  0  162
492  161  0  0  1  1  163
493  164  0  0  0  0  164
494  162  2  0  0  0  164
495  162  0  0  0  0  162
496  161  0  0  0  0  161
497  155  2  1  2  0  160
498  158  0  0  0  0  158
499  147  8  3  0  0  158
500  156  0  0  0  2  158
501  158  1  0  0  0  159
502  159  0  0  0  0  159
503  153  1  5  0  0  159
504  157  0  0  0  0  157
505  150  6  1  0  0  157
506  157  0  0  0  0  157
507  156  0  0  0  0  156
508  151  4  0  0  0  155
509  154  0  0  0  0  154
510  154  0  0  0  0  154
511  152  0  0  0  0  152
512  147  4  0  0  0  151
513  144  5  2  0  0  151
514  131  0  0  1  0  132
515  131  0  0  0  1  132
516  131  0  0  1  0  132
517  129  1  0  0  2  132
518  134  0  0  0  0  134
519  123  0  0  0  0  123
520  101  0  0  0  0  101
521  100  1  0  0  0  101
522  100  0  0  0  0  100
523  99  0  0  0  0  99
524  98  0  0  0  0  98
525  93  0  1  0  0  94
526  86  4  0  0  1  91
527  83  0  0  0  0  83
528  76  0  0  0  0  76
529  76  0  0  0  0  76
530  0  0  71  0  0  71
531  72  0  0  0  0  72
532  73  0  0  0  0  73
533  67  2  0  0  0  69
534  69  0  0  0  0  69
535  67  0  0  0  0  67
536  64  0  1  0  0  65
537  59  0  0  0  0  59
538  58  0  0  0  0  58
539  57  0  0  0  0  57
540  55  0  2  0  0  57
541  52  0  0  0  0  52
542  31  13  1  0  0  45
543  45  1  0  0  0  46
544  47  0  0  0  0  47
545  48  0  0  0  0  48
546  47  0  0  0  0  47
547  45  1  0  0  0  46
548  46  0  0  0  0  46
549  45  0  0  0  0  45
550  42  0  0  0  0  42
551  38  0  1  0  0  39
552  38  0  0  0  1  39
553  39  0  0  0  0  39
554  40  0  0  0  0  40
555  40  0  0  0  0  40
556  40  0  1  0  0  41
557  38  1  1  0  0  40
558  40  0  0  0  0  40
559  39  0  0  0  0  39
560  38  0  0  0  0  38
561  39  0  0  0  0  39
562  40  0  0  0  0  40
563  40  1  0  0  0  41
564  40  0  0  0  0  40
565  39  0  0  0  0  39
566  38  0  0  0  0  38
567  39  0  0  0  0  39
568  39  0  0  0  0  39
569  37  0  0  0  0  37
570  37  0  0  0  0  37
571  36  0  0  0  0  36
572  36  0  0  0  0  36
573  37  0  0  0  0  37
574  37  0  0  0  0  37
575  36  0  0  0  0  36
576  35  0  0  0  0  35
577  35  0  0  0  0  35
578  34  0  2  0  0  36
579  35  0  0  0  0  35
580  33  0  1  0  0  34
581  33  0  0  0  0  33
582  33  0  0  0  0  33
583  33  0  0  0  0  33
584  32  0  1  0  0  33
585  34  0  0  0  0  34
586  34  0  0  0  0  34
587  34  0  0  0  0  34
588  33  0  0  0  0  33
589  32  0  0  0  0  32
590  31  0  0  0  0  31
591  17  0  14  0  0  31
592  29  1  0  0  0  30
593  29  0  0  0  0  29
594  31  0  0  0  0  31
595  31  0  0  0  0  31
596  31  0  0  0  0  31
597  31  0  0  0  0  31
598  32  0  0  0  0  32
599  32  0  0  0  0  32
600  30  0  1  0  0  31
601  20  10  0  1  0  31
602  30  1  0  0  0  31
603  31  0  0  0  0  31
604  31  0  0  0  0  31
605  31  0  0  0  0  31
606  31  0  0  0  0  31
607  30  1  0  0  0  31
608  30  0  1  0  0  31
609  31  0  0  0  0  31
610  31  0  0  0  0  31
611  31  0  0  0  0  31
612  31  0  0  0  0  31
613  29  0  0  1  0  30
614  30  0  0  0  0  30
615  30  0  0  0  0  30
616  30  0  0  0  0  30
617  30  0  0  0  0  30
618  27  0  1  0  0  28
619  27  0  0  0  0  27
620  10  17  0  0  0  27
621  27  0  0  0  0  27
622  26  0  0  0  1  27
623  27  0  0  0  0  27
624  27  0  0  0  0  27
625  27  0  0  0  0  27
626  27  0  0  0  0  27
627  27  0  0  0  0  27
628  15  0  10  0  0  25
629  25  0  0  0  0  25
630  24  0  1  0  0  25
631  25  0  0  0  0  25
632  25  0  0  0  0  25
633  24  0  0  0  0  24
634  24  0  0  0  0  24
635  24  0  0  0  0  24
636  24  0  0  0  0  24
637  24  0  0  0  0  24
638  24  0  0  0  0  24
639  23  0  0  1  0  24
640  23  0  0  0  0  23
641  23  0  0  0  0  23
642  22  0  0  0  0  22
643  20  0  0  0  1  21
644  20  0  0  0  0  20
645  16  0  0  0  0  16
646  14  0  1  0  0  15
647  12  1  1  0  0  14
648  11  0  1  0  0  12
649  10  0  0  0  0  10
650  10  0  0  0  0  10
651  11  0  0  0  0  11
652  11  0  0  0  0  11
653  10  0  1  0  0  11
654  12  0  0  0  0  12
655  12  0  0  0  0  12
656  12  0  0  0  0  12
657  11  0  0  0  0  11
658  11  0  0  0  0  11
659  11  0  0  0  0  11
660  10  0  0  0  0  10
661  9  0  0  0  0  9
662  3  4  0  0  0  7
663  8  0  0  0  0  8
664  8  0  1  0  0  9
665  8  0  0  0  0  8
666  8  0  0  0  0  8
667  8  0  0  0  0  8
668  8  0  0  0  0  8
669  6  0  0  0  0  6
670  6  0  0  0  0  6
671  6  0  0  0  0  6
672  7  0  0  0  0  7
673  6  0  0  0  0  7
674  7  0  0  0  0  7
675  7  0  0  0  0  7
676  7  0  0  0  0  7
677  7  0  0  0  0  7
678  6  1  0  0  0  7
679  7  0  0  0  0  7
680  7  0  0  0  0  7
681  7  0  0  0  0  7
682  7  0  0  0  0  7
683  7  0  0  0  0  7
684  7  0  0  0  0  7
685  7  0  0  0  0  7
686  8  0  0  0  0  8
687  8  0  0  0  0  8
688  8  0  0  0  0  8
689  8  0  0  0  0  8
690  8  0  0  0  0  8
691  8  0  0  0  0  8
692  8  0  0  0  0  8
693  7  0  1  0  0  8
694  9  0  0  0  0  9
695  10  0  0  0  0  10
696  10  0  0  0  0  10
697  11  0  0  0  0  11
698  11  0  0  0  0  11
699  11  0  0  0  0  11
700  11  0  0  0  0  11
701  9  0  1  0  0  10
702  10  0  0  0  0  10
703  9  0  0  2  0  11
704  11  0  0  0  0  11
705  11  0  0  0  0  11
706  11  0  0  0  0  11
707  10  0  1  0  0  11
708  11  0  0  0  0  11
709  12  0  0  0  0  12
710  12  0  0  0  0  12
711  12  0  0  0  0  12
712  12  0  0  0  0  12
713  13  0  0  0  0  13
714  14  0  0  0  0  14
715  16  0  0  0  0  16
716  15  0  1  0  0  16
717  16  0  0  0  0  16
718  16  0  0  0  0  16
719  16  0  0  0  0  16
720  16  0  0  0  0  16
721  16  0  0  0  0  16
722  14  0  2  0  0  16
723  17  0  0  0  0  17
724  14  3  0  0  0  17
725  17  0  0  0  0  17
726  17  0  0  0  0  17
727  18  0  0  0  0  18
728  18  0  0  0  0  18
729  18  0  0  0  0  18
730  18  0  0  0  0  18
731  18  0  0  0  0  18
732  20  0  0  0  0  20
733  20  0  0  0  0  20
734  20  0  0  0  0  20
735  22  0  0  0  0  22
736  22  0  0  0  0  22
737  22  0  0  0  0  22
738  23  0  0  0  0  23
739  24  0  0  0  0  24
740  24  0  0  0  0  24
741  23  0  1  0  3  27
742  28  0  0  0  0  28
743  29  0  0  0  0  29
744  28  1  0  0  0  29
745  30  0  0  0  0  30
746  32  0  0  0  0  32
747  32  0  0  0  0  32
748  32  0  0  0  0  32
749  33  0  0  0  0  33
750  32  0  0  0  0  32
751  32  0  0  0  0  32
752  28  5  0  0  0  33
753  33  0  0  0  0  33
754  33  0  0  0  0  33
755  33  0  0  0  0  33
756  33  0  0  1  0  34
757  34  0  0  0  0  34
758  32  0  0  3  0  35
759  33  1  1  0  0  35
760  35  0  0  0  0  35
761  35  0  0  0  0  35
762  35  0  0  0  0  35
763  34  0  0  0  0  34
764  35  0  0  0  0  35
765  35  0  0  0  0  35
766  34  1  0  0  0  35
767  28  0  7  0  0  35
768  31  3  1  0  0  35
769  34  2  0  0  0  36
770  34  0  0  0  1  35
771  35  2  0  0  0  37
772  36  0  0  0  0  36
773  36  0  0  0  0  36
774  35  0  1  0  0  36
775  38  0  0  0  0  38
776  41  0  0  0  0  41
777  42  0  0  0  0  42
778  42  0  0  0  0  42
779  41  1  1  0  1  44
780  44  0  0  0  0  44
781  39  4  1  0  0  44
782  46  0  0  0  1  47
783  58  2  0  0  0  60
784  59  0  0  0  1  60
785  63  0  0  0  0  63
786  68  0  0  0  0  68
787  75  0  0  0  0  75
788  76  0  0  1  0  77
789  84  0  0  0  0  84
790  87  0  0  0  0  87
791  93  0  0  0  0  93
792  96  0  0  1  0  97
793  101  0  0  0  0  101
794  107  0  0  0  1  108
795  104  1  1  2  0  108
796  108  0  0  0  0  108
797  107  6  1  0  0  114
798  120  0  1  1  0  122
799  126  3  0  0  0  129
800  132  1  0  0  0  133
801  132  0  2  0  1  135
802  137  0  1  1  0  139
803  139  0  1  0  0  140
804  124  0  15  0  0  139
805  134  0  2  1  2  139
806  0  0  139  0  0  139
807  162  0  0  0  0  162
808  161  0  0  1  0  162
809  167  0  0  0  0  167
810  170  1  0  0  0  171
811  169  0  2  0  0  171
812  172  0  0  0  0  172
813  155  15  1  0  0  171
814  168  0  0  0  0  168
815  169  0  0  0  0  169
816  165  0  0  0  4  169
817  171  0  0  0  0  171
818  167  5  1  0  0  173
819  175  0  0  0  0  175
820  174  0  0  0  2  176
821  176  0  0  0  0  176
822  176  0  0  1  1  178
823  170  0  8  0  0  178
824  176  0  0  0  2  178
825  182  0  0  0  0  182
826  184  0  0  0  0  184
827  182  0  1  0  0  183
828  182  0  0  1  0  183
829  181  0  0  0  1  182
830  182  0  0  0  0  182
831  173  0  0  0  9  182
832  182  0  0  0  0  182
833  180  0  1  0  0  181
834  175  0  0  0  6  181
835  181  0  0  0  0  181
836  182  0  0  0  0  182
837  181  1  0  0  0  182
838  181  0  0  0  0  181
839  171  7  0  0  0  178
840  169  1  2  2  0  174
841  168  0  0  0  6  174
842  172  0  0  0  2  174
843  174  0  0  0  0  174
844  173  0  0  0  0  173
845  167  5  0  0  0  172
846  170  0  0  0  0  170
847  166  4  0  0  0  170
848  165  0  5  0  0  170
849  164  6  0  0  0  170
850  168  0  0  0  1  169
851  169  0  0  0  0  169
852  163  0  0  0  5  168
853  159  1  0  0  7  167
854  164  3  0  0  0  167
855  164  0  3  0  0  167
856  166  0  0  0  0  166
857  158  7  0  0  0  165
858  165  0  0  0  0  165
859  165  0  0  0  0  165
860  163  0  2  0  0  165
861  164  0  0  0  0  164
862  164  0  0  0  0  164
863  162  0  2  0  0  164
864  159  0  0  0  5  164
865  163  0  1  0  0  164
866  164  0  0  0  0  164
867  161  4  0  0  0  165
868  165  0  0  0  0  165
869  165  0  0  0  0  165
870  163  0  0  0  0  163
871  163  0  0  1  0  164
872  164  0  0  0  0  164
873  162  0  0  0  2  164
874  164  0  0  0  0  164
875  161  0  0  0  1  162
876  159  1  0  0  0  160
877  160  0  0  0  0  160
878  146  1  10  0  0  157
879  148  3  3  4  0  158
880  158  0  0  0  0  158
881  147  2  0  0  4  153
882  144  0  0  1  0  145
883  142  0  0  0  0  142
884  141  0  0  0  0  141
885  137  1  0  0  0  138
886  132  1  0  0  0  133
887  126  0  1  0  0  127
888  119  0  0  0  2  121
889  119  0  0  0  0  119
890  110  0  3  0  0  113
891  109  1  0  0  0  110
892  102  1  0  0  3  106
893  101  0  0  0  0  101
894  95  0  0  0  0  95
895  90  1  0  0  0  91
896  89  0  0  0  0  89
897  86  0  0  0  0  86
898  79  0  0  0  1  80
899  73  0  0  0  0  73
900  68  0  0  0  0  68
901  64  0  1  0  0  65
902  60  0  0  1  0  61
903  56  0  0  1  0  57
904  54  0  0  0  0  54
905  43  2  0  0  0  45
906  38  0  0  0  0  38
907  37  0  2  0  0  39
908  35  2  1  0  0  38
909  36  0  0  0  0  36
910  34  0  0  0  0  34
911  33  0  0  0  0  33
912  31  0  1  0  0  32
913  33  0  0  0  0  33
914  31  0  1  0  1  33
915  36  0  0  0  0  36
916  35  0  0  1  0  36
917  33  0  0  0  0  33
918  34  0  0  0  0  34
919  33  0  0  0  0  33
920  32  0  0  0  0  32
921  29  0  2  0  0  31
922  29  1  0  0  0  30
923  27  0  0  0  0  27
924  28  0  0  0  0  28
925  26  0  0  0  0  26
926  26  0  0  0  0  26
927  26  0  0  0  0  26
928  26  0  1  0  0  27
929  21  5  0  0  0  26
930  25  1  0  0  0  26
931  26  0  0  0  0  26
932  25  1  0  0  0  26
933  25  0  0  0  1  26
934  26  0  0  0  0  26
935  27  0  0  0  0  27
936  16  9  1  0  0  26
937  24  1  0  1  0  26
938  26  0  0  0  0  26
939  17  9  0  0  0  26
940  25  2  0  0  0  27
941  29  0  0  0  0  29
942  27  0  0  2  1  30
943  30  0  0  0  0  30
944  30  0  0  0  0  30
945  29  1  0  0  0  30
946  30  0  0  0  0  30
947  31  0  0  0  0  31
948  32  0  0  0  0  32
949  32  0  0  0  0  32
950  31  0  0  0  1  32
951  30  2  0  0  0  32
952  30  0  0  1  0  31
953  28  3  0  0  0  31
954  30  0  0  1  0  31
955  30  0  1  0  0  31
956  0  0  0  30  0  30
957  32  0  0  0  0  32
958  31  0  0  0  1  32
959  32  0  0  0  0  32
960  32  0  0  0  0  32
961  32  0  0  0  0  32
962  34  0  0  0  0  34
963  35  0  0  0  0  35
964  36  0  0  0  0  36
965  36  0  0  0  0  36
966  35  0  0  0  1  36
967  35  0  0  0  0  35
968  36  0  0  0  0  36
969  33  0  0  0  0  33
970  33  0  0  0  0  33
971  33  0  0  0  0  33
972  33  0  0  0  0  33
973  32  0  0  0  0  32
974  0  0  0  32  0  32
975  32  0  1  0  0  33
