Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  3  0  0  0  0  3
2  3  0  0  0  0  3
3  3  0  0  0  0  3
4  3  0  0  0  0  3
5  3  0  0  0  0  3
6  3  0  0  0  0  3
7  3  0  0  0  0  3
8  3  0  0  0  0  3
9  3  0  0  0  0  3
10  3  0  0  0  0  3
11  3  0  0  0  0  3
12  3  0  0  0  0  3
13  0  3  0  0  0  3
14  3  0  0  0  0  3
15  3  0  0  0  0  3
16  3  0  0  0  0  3
17  3  0  0  0  0  3
18  3  0  0  0  0  3
19  3  0  0  0  0  3
20  3  0  0  0  0  3
21  3  0  0  0  0  3
22  3  0  0  0  0  3
23  3  0  0  0  0  3
24  3  0  0  0  0  3
25  3  0  0  0  0  3
26  3  0  0  0  0  3
27  3  0  0  0  0  3
28  3  0  0  0  0  3
29  3  0  0  0  0  3
30  3  0  0  0  0  3
31  3  0  0  0  0  3
32  3  0  0  0  0  3
33  3  0  0  0  0  3
34  0  0  0  3  0  3
35  3  0  0  0  0  3
36  3  0  0  0  0  3
37  0  0  3  0  0  3
38  3  0  0  0  0  3
39  3  0  0  0  0  3
40  3  0  0  0  0  3
41  3  0  0  0  0  3
42  3  0  0  0  0  3
43  0  0  0  0  3  3
44  3  0  0  0  0  3
45  3  0  0  0  0  3
46  3  0  0  0  0  3
47  3  0  0  0  0  3
48  3  0  0  0  0  3
49  3  0  0  0  0  3
50  3  0  0  0  0  3
51  3  0  0  0  0  3
52  3  0  0  0  0  3
53  3  0  0  0  0  3
54  3  0  0  0  0  3
55  3  0  0  0  0  3
56  3  0  0  0  0  3
57  3  0  0  0  0  3
58  0  0  0  0  3  3
59  3  0  0  0  0  3
60  3  0  0  0  0  3
61  3  0  0  0  0  3
62  3  0  0  0  0  3
63  3  0  0  0  0  3
64  3  0  0  0  0  3
65  3  0  0  0  0  3
66  3  0  0  0  0  3
67  3  0  0  0  0  3
68  3  0  0  0  0  3
69  3  0  0  0  0  3
70  3  0  0  0  0  3
71  3  0  0  0  0  3
72  3  0  0  0  0  3
73  3  0  0  0  0  3
74  3  0  0  0  0  3
75  3  0  0  0  0  3
76  3  0  0  0  0  3
77  3  0  0  0  0  3
78  3  0  0  0  0  3
79  3  0  0  0  0  3
80  3  0  0  0  0  3
81  3  0  0  0  0  3
82  3  0  0  0  0  3
83  3  0  0  0  0  3
84  3  0  0  0  0  3
85  3  0  0  0  0  3
86  2  0  0  0  0  2
87  2  0  0  0  0  2
88  2  0  0  0  0  2
89  2  0  0  0  0  2
90  2  0  0  0  0  2
91  2  0  0  0  0  2
92  2  0  0  0  0  2
93  2  0  0  0  0  2
94  2  0  0  0  0  2
95  2  0  0  0  0  2
96  2  0  0  0  0  2
97  2  0  0  0  0  2
98  2  0  0  0  0  2
99  2  0  0  0  0  2
100  1  0  0  0  0  1
101  1  0  0  0  0  1
102  1  0  0  0  0  1
103  0  0  0  1  0  1
104  1  0  0  0  0  1
105  1  0  0  0  0  1
106  1  0  0  0  0  1
107  1  0  0  0  0  1
108  1  0  0  0  0  1
109  1  0  0  0  0  1
110  1  0  0  0  0  1
111  1  0  0  0  0  1
112  1  0  0  0  0  1
113  1  0  0  0  0  1
114  1  0  0  0  0  1
115  1  0  0  0  0  1
116  1  0  0  0  0  1
117  1  0  0  0  0  1
118  1  0  0  0  0  1
119  1  0  0  0  0  1
120  1  0  0  0  0  1
121  1  0  0  0  0  1
122  1  0  0  0  0  1
123  1  0  0  0  0  1
124  1  0  0  0  0  1
125  1  0  0  0  0  1
126  1  0  0  0  0  1
127  1  0  0  0  0  1
128  1  0  0  0  0  1
129  1  0  0  0  0  1
130  1  0  0  0  0  1
131  1  0  0  0  0  1
132  1  0  0  0  0  1
133  0  0  0  0  1  1
134  1  0  0  0  0  1
135  1  0  0  0  0  1
136  0  0  0  0  1  1
137  1  0  0  0  0  1
138  1  0  0  0  0  1
139  1  0  0  0  0  1
140  1  0  0  0  0  1
141  1  0  0  0  0  1
142  1  0  0  0  0  1
143  1  0  0  0  0  1
144  1  0  0  0  0  1
145  1  0  0  0  0  1
146  1  0  0  0  0  1
147  0  0  0  0  0  0
148  0  0  0  0  0  0
149  0  0  0  0  0  0
150  0  0  0  0  0  0
151  0  0  0  0  0  0
152  0  0  0  0  0  0
153  0  0  0  0  0  0
154  0  0  0  0  0  0
155  0  0  0  0  0  0
156  0  0  0  0  0  0
157  0  0  0  0  0  0
158  0  0  0  0  0  0
159  0  0  0  0  0  0
160  0  0  0  0  0  0
161  0  0  0  0  0  0
162  0  0  0  0  0  0
163  0  0  0  0  0  0
164  0  0  0  0  0  0
165  0  0  0  0  0  0
166  0  0  0  0  0  0
167  0  0  0  0  0  0
168  0  0  0  0  0  0
169  0  0  0  0  0  0
170  0  0  0  0  0  0
171  0  0  0  0  0  0
172  0  0  0  0  0  0
173  0  0  0  0  0  0
174  0  0  0  0  0  0
175  0  0  0  0  0  0
176  0  0  0  0  0  0
177  0  0  0  0  0  0
178  0  0  0  0  0  0
179  0  0  0  0  0  0
180  0  0  0  0  0  0
181  0  0  0  0  0  0
182  0  0  0  0  0  0
183  0  0  0  0  0  0
184  0  0  0  0  0  0
185  0  0  0  0  0  0
186  0  0  0  0  0  0
187  0  0  0  0  0  0
188  0  0  0  0  0  0
189  0  0  0  0  0  0
190  0  0  0  0  0  0
191  0  0  0  0  0  0
192  0  0  0  0  0  0
193  0  0  0  0  0  0
194  0  0  0  0  0  0
195  0  0  0  0  0  0
196  0  0  0  0  0  0
197  0  0  0  0  0  0
198  0  0  0  0  0  0
