Position,liv_CL18_TR_1_x_135_0nt.fa_004
1,13265
2,13888
3,17503
4,17915
5,18242
6,18558
7,18849
8,19173
9,19365
10,19545
11,19775
12,19928
13,20429
14,20678
15,20903
16,21065
17,21334
18,21646
19,21916
20,22156
21,22427
22,22677
23,22928
24,23069
25,23309
26,23486
27,23794
28,24042
29,24226
30,24431
31,24626
32,24773
33,24966
34,25193
35,25303
36,25525
37,25785
38,25948
39,26147
40,26327
41,26425
42,26696
43,26870
44,27023
45,27069
46,27160
47,27334
48,27460
49,27642
50,27822
51,27916
52,28105
53,28176
54,28307
55,28335
56,28566
57,28670
58,28808
59,28893
60,28895
61,28989
62,29032
63,29122
64,29195
65,29246
66,29252
67,29235
68,29186
69,29143
70,29034
71,29057
72,28989
73,28991
74,28923
75,28858
76,28776
77,28643
78,28620
79,28551
80,28453
81,28335
82,28276
83,28151
84,27942
85,27921
86,27764
87,27566
88,27480
89,27420
90,27340
91,27093
92,27001
93,26930
94,26727
95,26553
96,26287
97,26219
98,26078
99,25918
100,25774
101,25518
102,25365
103,25145
104,24931
105,24570
106,24332
107,24076
108,23871
109,23582
110,23287
111,22944
112,22711
113,22546
114,22238
115,22013
116,21617
117,21369
118,21174
119,20914
120,20597
121,20182
122,19698
123,19473
124,19233
125,18986
126,18677
127,18297
128,17747
129,17581
130,17346
131,17074
132,16746
133,16201
134,15611
135,15317
