Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  84  0  0  0  0  84
2  87  0  0  0  0  87
3  88  0  0  0  0  88
4  88  0  1  0  1  90
5  92  0  0  0  0  92
6  93  0  0  0  0  93
7  91  2  0  0  0  93
8  95  0  0  0  0  95
9  94  0  1  0  1  96
10  97  0  0  0  0  97
11  98  0  0  0  0  98
12  98  0  0  0  1  99
13  99  0  0  0  0  99
14  99  1  0  0  0  100
15  101  0  1  0  0  102
16  102  0  0  0  0  102
17  100  0  0  1  1  102
18  102  0  0  0  0  102
19  102  0  0  0  0  102
20  104  0  0  0  0  104
21  105  0  0  0  0  105
22  106  0  0  0  0  106
23  107  0  0  0  0  107
24  107  0  0  0  0  107
25  108  0  0  0  0  108
26  107  0  0  0  0  107
27  106  0  0  0  0  106
28  101  0  3  0  0  104
29  105  0  0  0  0  105
30  106  0  0  0  0  106
31  105  0  0  0  1  106
32  103  0  0  0  0  103
33  101  1  1  0  0  103
34  103  0  0  0  1  104
35  105  0  0  0  0  105
36  107  0  0  0  0  107
37  105  1  1  0  0  107
38  106  0  0  0  0  106
39  106  0  0  0  0  106
40  105  0  0  0  0  105
41  102  2  0  0  0  104
42  103  0  0  0  0  103
43  102  0  0  0  1  103
44  104  0  0  0  0  104
45  105  0  0  0  0  105
46  103  0  1  0  0  104
47  103  0  0  1  0  104
48  105  0  0  0  0  105
49  107  0  0  0  0  107
50  106  1  0  0  0  107
51  105  0  1  0  0  106
52  103  2  0  0  0  105
53  105  0  0  0  1  106
54  105  0  0  0  1  106
55  105  0  1  0  0  106
56  103  0  1  0  0  104
57  104  0  0  0  0  104
58  103  0  0  0  0  103
59  102  0  0  0  0  102
60  100  0  0  1  1  102
61  102  1  0  0  0  103
62  101  0  0  0  0  101
63  101  0  0  0  0  101
64  101  0  0  0  0  101
65  99  0  0  0  1  100
66  99  0  0  0  0  99
67  98  1  0  0  0  99
68  97  1  0  0  0  98
69  97  0  0  0  0  97
70  95  0  0  1  0  96
71  97  0  0  0  0  97
72  97  0  0  0  0  97
73  96  0  0  0  0  96
74  95  0  0  0  0  95
75  95  0  0  0  0  95
76  95  0  0  0  0  95
77  96  0  0  0  0  96
78  96  0  0  0  0  96
79  95  0  0  0  0  95
80  96  0  0  0  0  96
81  97  0  0  0  0  97
82  96  0  1  0  0  97
83  99  0  0  0  0  99
84  98  1  0  0  0  99
85  98  0  0  0  0  98
86  97  1  0  0  0  98
87  98  0  0  0  1  99
88  98  0  0  1  0  99
89  99  0  0  0  0  99
90  98  0  0  1  0  99
91  97  0  0  1  1  99
92  98  1  0  1  0  100
93  100  0  0  0  0  100
94  99  0  0  0  0  99
95  96  2  0  0  0  98
96  98  0  0  0  0  98
97  100  1  0  0  0  101
98  100  1  0  0  0  101
99  99  0  0  1  0  100
100  101  0  0  0  0  101
101  99  0  0  0  1  100
102  102  0  0  0  0  102
103  101  0  0  0  0  101
104  99  0  0  0  2  101
105  101  1  0  0  1  103
106  101  1  0  0  1  103
107  104  0  0  0  0  104
108  104  0  0  0  0  104
109  102  1  0  0  0  103
110  103  1  0  0  0  104
111  103  1  0  0  0  104
112  102  0  0  0  0  102
113  101  2  2  0  0  105
114  101  0  1  0  1  103
115  102  1  0  0  0  103
116  101  1  0  0  0  102
117  103  1  0  0  0  104
118  104  0  0  0  0  104
119  103  0  0  0  0  103
120  104  0  0  0  0  104
121  102  0  0  1  0  103
122  103  0  0  0  0  103
123  102  0  0  1  1  104
124  105  0  0  0  0  105
125  105  0  0  0  0  105
126  105  0  0  0  0  105
127  106  0  0  0  0  106
128  105  0  0  0  0  105
129  107  0  0  0  0  107
130  107  0  1  0  0  108
131  107  0  1  0  0  108
132  107  0  0  0  0  107
133  106  0  0  0  0  106
134  106  0  0  0  0  106
135  105  0  0  0  0  105
136  107  0  0  0  0  107
137  108  0  0  0  0  108
138  107  0  0  0  0  107
139  107  0  0  0  0  107
140  107  0  0  0  0  107
141  109  0  0  0  0  109
142  109  0  0  0  0  109
143  110  0  0  0  0  110
144  109  1  0  0  0  110
145  110  0  0  0  0  110
146  108  0  0  0  0  108
147  107  0  0  0  1  108
148  107  0  0  0  0  107
149  106  0  0  0  0  106
150  104  0  0  0  0  104
151  104  0  0  0  0  104
152  104  0  0  0  0  104
153  103  0  1  0  0  104
154  104  0  0  0  0  104
155  101  0  0  1  0  102
156  103  0  0  0  0  103
157  103  0  0  0  0  103
158  102  0  0  0  0  102
159  103  0  0  0  0  103
160  101  0  0  0  0  101
161  102  0  0  0  0  102
162  102  0  0  0  0  102
163  102  0  0  0  0  102
164  99  0  0  0  0  99
165  99  0  0  0  0  99
166  99  0  0  0  0  99
167  100  0  0  0  0  100
168  99  0  0  1  0  100
169  100  0  0  0  0  100
170  96  0  0  0  0  96
171  96  0  0  0  0  96
172  97  0  0  0  0  97
173  97  0  0  0  0  97
174  95  0  0  1  1  97
175  98  0  0  0  0  98
176  99  0  0  0  0  99
177  99  0  0  0  0  99
178  98  0  0  1  0  99
179  98  0  0  0  0  98
180  99  1  0  0  0  100
181  99  1  0  0  0  100
182  99  0  0  1  0  100
183  102  0  0  0  0  102
184  101  0  0  0  0  101
185  101  0  0  0  0  101
186  101  0  0  0  0  101
187  101  0  0  0  0  101
188  99  0  0  1  0  100
189  101  0  0  0  0  101
190  101  0  1  0  0  102
191  102  0  1  0  0  103
192  102  0  1  0  0  103
193  102  0  0  0  0  102
194  102  0  1  0  0  103
195  100  0  1  0  0  101
196  102  0  0  0  0  102
197  104  0  0  0  0  104
198  103  0  0  0  0  103
199  103  0  0  0  0  103
200  103  0  0  0  0  103
201  103  0  0  0  0  103
202  103  0  0  0  0  103
203  107  0  0  0  0  107
204  106  0  0  0  0  106
205  106  0  0  0  0  106
206  106  0  0  0  0  106
207  106  0  0  0  0  106
208  108  0  0  0  0  108
209  110  0  0  0  0  110
210  109  0  0  1  0  110
211  111  0  0  0  0  111
212  111  0  0  0  0  111
213  112  0  0  0  0  112
214  111  0  0  0  0  111
215  112  0  0  0  0  112
216  109  0  0  2  0  111
217  112  0  0  0  0  112
218  113  0  0  0  0  113
219  114  0  0  0  0  114
220  116  0  0  0  0  116
221  114  0  0  0  0  114
222  115  0  0  0  0  115
223  115  0  0  0  0  115
224  117  0  0  0  0  117
225  117  0  0  0  0  117
226  116  0  0  0  0  116
227  116  0  0  0  0  116
228  116  0  0  0  0  116
229  118  0  0  0  0  118
230  117  0  0  0  0  117
231  115  0  0  0  0  115
232  113  1  0  1  0  115
233  113  0  0  0  0  113
234  113  0  0  0  0  113
235  111  0  0  0  1  112
236  112  0  0  0  0  112
237  111  0  0  0  0  111
238  111  0  0  0  0  111
239  111  0  0  0  0  111
240  112  0  0  0  0  112
241  112  0  0  0  0  112
242  112  0  0  0  0  112
243  114  0  0  0  0  114
244  112  0  1  0  1  114
245  113  0  0  0  0  113
246  113  0  0  0  0  113
247  111  0  0  0  0  111
248  111  0  0  0  0  111
249  109  0  0  0  1  110
250  109  0  0  0  0  109
251  108  0  0  0  0  108
252  108  0  0  0  0  108
253  108  0  0  0  0  108
254  107  0  0  0  0  107
255  106  0  1  0  0  107
256  109  0  0  0  0  109
257  108  0  0  0  0  108
258  108  0  1  0  0  109
259  106  0  0  0  0  106
260  106  0  0  0  0  106
261  106  0  0  0  0  106
262  104  0  0  0  0  104
263  104  0  0  0  0  104
264  104  0  0  0  0  104
265  102  0  0  0  0  102
266  101  0  0  0  0  101
267  99  0  0  2  0  101
268  100  0  0  0  0  100
269  101  0  0  0  1  102
270  101  0  0  0  0  101
271  103  0  0  0  0  103
272  102  0  0  0  0  102
273  100  0  0  0  0  100
274  100  0  0  1  0  101
275  101  0  0  0  0  101
276  101  0  0  0  0  101
277  101  0  0  0  0  101
278  101  0  0  0  0  101
279  102  0  0  1  0  103
280  103  0  0  0  0  103
281  102  0  0  0  0  102
282  102  0  0  0  0  102
283  101  0  0  0  1  102
284  104  0  0  0  0  104
285  103  0  0  0  0  103
286  101  0  0  0  0  101
287  99  0  2  0  0  101
288  99  0  0  0  0  99
289  101  0  0  0  0  101
290  100  0  0  0  0  100
291  102  0  0  0  0  102
292  103  0  0  0  0  103
293  102  0  0  0  0  102
294  100  0  1  0  0  101
295  100  1  0  0  0  101
296  102  0  0  0  0  102
297  103  0  0  0  0  103
298  102  1  0  0  0  103
299  102  1  0  0  0  103
300  103  0  0  0  0  103
301  100  1  0  0  0  101
302  100  0  0  0  0  100
303  98  0  0  0  1  99
304  99  0  0  0  0  99
305  100  0  0  0  0  100
306  99  0  0  0  0  99
307  98  1  0  0  0  99
308  98  0  0  0  0  98
309  97  0  1  0  0  98
310  99  0  2  0  0  100
311  100  1  0  0  0  101
312  100  1  0  0  0  101
313  102  0  0  0  0  102
314  102  0  0  0  0  102
315  103  0  0  0  0  103
316  102  0  0  0  1  103
317  103  1  0  0  0  104
318  106  0  0  0  0  106
319  108  0  0  0  0  108
320  109  0  0  0  0  109
321  107  0  0  1  0  108
322  107  0  0  0  0  107
323  106  0  0  0  0  106
324  105  1  0  0  0  106
325  105  1  0  0  0  106
326  104  0  0  0  0  104
327  104  0  0  0  0  104
328  104  0  0  1  0  105
329  105  0  0  0  0  105
330  105  1  0  0  0  106
331  105  0  0  0  0  105
332  104  0  0  0  0  104
333  103  0  0  0  0  103
334  103  1  0  0  0  104
335  104  0  0  0  0  104
336  105  0  0  0  0  105
337  105  0  0  0  0  105
338  106  0  0  0  0  106
339  108  0  1  0  0  109
340  108  0  0  1  0  109
341  108  0  0  0  0  108
342  106  0  0  0  0  106
343  108  0  0  0  0  108
344  106  0  2  0  0  108
345  107  0  0  0  0  107
346  105  0  0  0  0  105
347  105  0  1  0  0  106
