Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  231  0  0  0  0  231
2  233  0  0  0  0  233
3  235  0  0  0  0  235
4  236  0  0  0  0  236
5  239  0  0  0  0  239
6  240  0  0  0  0  240
7  243  0  0  0  0  243
8  244  0  0  0  0  244
9  245  0  0  0  0  245
10  246  0  0  0  0  246
11  247  0  0  0  0  247
12  215  35  0  0  0  250
13  252  0  0  0  0  252
14  214  0  0  39  0  253
15  255  0  0  0  0  255
16  257  0  0  0  0  257
17  258  0  0  0  0  258
18  258  0  2  0  0  260
19  262  0  0  0  0  262
20  264  0  0  0  0  264
21  266  0  0  0  0  266
22  267  0  0  0  0  267
23  269  0  0  0  0  269
24  270  0  0  0  0  270
25  270  0  0  0  0  270
26  270  0  0  0  0  270
27  0  270  0  0  0  270
28  277  0  0  0  0  277
29  277  0  0  0  0  277
30  229  48  0  0  0  277
31  283  0  0  0  0  283
32  285  0  0  0  0  285
33  287  0  0  0  0  287
34  288  0  0  0  0  288
35  287  0  0  0  0  287
36  285  0  0  0  0  285
37  283  0  0  0  0  283
38  0  275  0  0  0  275
39  285  0  0  0  0  285
40  287  0  0  0  0  287
41  289  0  0  0  0  289
42  289  0  0  0  0  289
43  290  0  0  0  0  290
44  288  0  0  0  0  288
45  287  0  2  0  0  289
46  286  0  0  0  0  286
47  286  0  0  0  0  286
48  199  84  0  0  0  283
49  286  0  0  0  0  286
50  285  0  0  0  0  285
51  282  0  2  0  0  284
52  284  0  0  0  0  284
53  281  0  0  0  0  281
54  278  1  0  0  0  279
55  134  131  0  0  0  265
56  1  44  219  0  0  264
57  275  0  0  0  0  275
58  276  0  0  0  0  276
59  277  0  0  0  0  277
60  278  0  0  0  0  278
61  279  0  0  0  0  279
62  279  0  0  0  0  279
63  278  0  0  0  0  278
64  277  0  0  0  0  277
65  275  0  0  0  0  275
66  276  0  0  0  0  276
67  274  0  0  0  0  274
68  273  0  0  0  0  273
69  272  0  0  0  0  272
70  272  0  0  0  0  272
71  273  0  0  0  0  273
72  272  0  0  0  0  272
73  271  0  0  0  1  272
74  273  0  0  0  0  273
75  274  0  0  0  0  274
76  270  0  4  0  0  274
77  274  0  0  0  0  274
78  272  1  0  0  0  273
79  271  0  0  0  0  271
80  268  0  0  0  0  268
81  3  253  0  0  0  256
82  265  0  0  0  0  265
83  266  0  0  0  0  267
84  269  0  0  0  0  269
85  269  0  0  0  0  269
86  269  0  0  0  0  269
87  269  0  0  0  0  269
88  269  0  0  0  0  269
89  269  0  0  0  0  269
90  273  0  0  0  0  273
91  273  0  0  0  0  273
92  274  0  0  0  0  274
93  274  0  0  0  0  274
94  271  0  0  0  0  271
95  269  0  0  0  0  269
96  207  0  0  0  59  266
97  269  0  0  0  0  269
98  70  195  0  0  0  265
99  271  0  0  0  0  271
100  271  0  0  0  0  271
101  272  0  0  0  0  272
102  203  1  67  0  0  271
103  271  0  0  1  0  272
104  270  0  0  0  0  270
105  272  0  0  0  0  272
106  273  0  0  0  0  273
107  273  0  0  0  0  273
108  274  0  0  0  0  274
109  273  0  0  0  0  273
110  271  0  0  0  0  271
111  270  0  0  0  0  270
112  0  261  0  0  0  261
113  270  0  0  0  0  270
114  272  0  0  0  0  272
115  274  0  0  0  0  274
116  274  0  0  0  0  274
117  274  0  0  0  0  274
118  274  0  0  0  0  274
119  274  0  0  0  0  274
120  273  0  0  0  0  273
121  272  1  0  0  0  273
122  272  0  0  1  0  273
123  273  0  0  0  0  273
124  273  0  0  0  0  273
125  272  0  0  1  0  273
126  273  0  0  0  0  273
127  273  0  0  0  0  273
128  273  0  0  0  0  273
129  272  0  0  0  0  272
130  270  0  0  0  0  270
131  268  0  0  0  0  268
132  0  0  0  259  0  259
133  267  0  0  0  1  268
134  271  0  0  0  0  271
135  273  0  0  0  0  273
136  274  0  0  0  0  274
137  274  0  0  0  0  274
138  274  0  0  0  0  274
139  273  0  0  0  0  273
140  273  0  0  0  0  273
141  271  0  0  0  0  271
142  268  0  0  0  0  268
143  266  0  1  0  0  267
144  265  0  0  0  0  265
145  262  0  0  0  1  263
146  261  0  0  0  0  261
147  12  0  242  0  0  254
148  254  0  0  0  0  254
149  254  0  0  0  0  254
150  253  0  0  0  0  253
151  251  0  0  0  0  251
152  248  0  0  0  0  248
153  2  223  0  0  0  225
154  224  1  0  0  0  225
155  0  225  0  0  0  225
156  2  0  0  52  171  225
157  256  0  0  0  0  256
