Position,dmel_rDNA_ETS_Other_rDNA.fa_002
1,765
2,782
3,787
4,790
5,813
6,823
7,827
8,833
9,841
10,853
11,859
12,863
13,880
14,882
15,894
16,902
17,905
18,908
19,915
20,933
21,941
22,941
23,941
24,939
25,939
26,938
27,1027
28,1029
29,1038
30,1044
31,1044
32,1018
33,1017
34,1061
35,1068
36,1097
37,1113
38,1116
39,1123
40,1132
41,1127
42,1125
43,1122
44,1100
45,1128
46,1147
47,1149
48,1152
49,1148
50,1147
51,1140
52,1078
53,1080
54,1080
55,1079
56,1087
57,1087
58,1087
59,1084
60,1168
61,1172
62,1180
63,1184
64,1174
65,1176
66,1186
67,1193
68,1195
69,1186
70,1176
71,1166
72,1165
73,1117
74,1118
75,1118
76,1117
77,1191
78,1207
79,1212
80,1223
81,1228
82,1222
83,1230
84,1225
85,1223
86,1226
87,1227
88,1229
89,1229
90,1229
91,1228
92,1234
93,1229
94,1225
95,1225
96,1231
97,1240
98,1235
99,1214
100,1250
101,1256
102,1258
103,1264
104,1266
105,1266
106,1263
107,1271
108,1275
109,1288
110,1286
111,1283
112,1265
113,1260
114,1251
115,1244
116,1227
117,1217
118,1210
119,1201
120,1107
121,1107
122,1107
123,1107
124,1235
125,1241
126,1247
127,1270
128,1277
129,1284
130,1287
131,1300
132,1308
133,1286
134,1306
135,1297
136,1304
137,1313
138,1288
139,1299
140,1289
141,1294
142,1302
143,1302
144,1306
145,1307
146,1300
147,1292
148,1297
149,1313
150,1312
151,1312
152,1298
153,1311
154,1309
155,1314
156,1319
157,1323
158,1314
159,1314
160,1310
161,1308
162,1293
163,1290
164,1278
165,1212
166,1214
167,1214
168,1214
169,1284
170,1297
171,1305
172,1310
173,1315
174,1309
175,1299
176,1304
177,1303
178,1301
179,1320
180,1325
181,1325
182,1328
183,1330
184,1311
185,1322
186,1329
187,1342
188,1316
189,1321
190,1330
191,1318
192,1323
193,1312
194,1326
195,1320
196,1313
197,1319
198,1311
199,1313
200,1317
201,1319
202,1312
203,1313
204,1312
205,1302
206,1292
207,1282
208,1269
209,1239
210,1272
211,1281
212,1297
213,1301
214,1305
215,1309
216,1310
217,1309
218,1313
219,1326
220,1326
221,1322
222,1321
223,1322
224,1310
225,1312
226,1312
227,1314
228,1317
229,1330
230,1337
231,1338
232,1337
233,1325
234,1336
235,1339
236,1339
237,1344
238,1346
