Position,CL183_TR_1_x_332_0nt.fa_005
1,155
2,159
3,162
4,166
5,171
6,176
7,182
8,187
9,193
10,197
11,199
12,201
13,202
14,206
15,215
16,219
17,222
18,223
19,225
20,227
21,230
22,231
23,232
24,234
25,236
26,242
27,250
28,250
29,251
30,249
31,249
32,252
33,257
34,266
35,273
36,278
37,276
38,283
39,287
40,287
41,287
42,288
43,289
44,291
45,293
46,289
47,303
48,308
49,311
50,330
51,329
52,329
53,333
54,340
55,345
56,346
57,346
58,350
59,356
60,361
61,365
62,372
63,374
64,372
65,375
66,378
67,386
68,388
69,384
70,386
71,386
72,381
73,366
74,380
75,406
76,417
77,414
78,415
79,403
80,435
81,443
82,453
83,459
84,462
85,469
86,470
87,479
88,479
89,488
90,489
91,488
92,484
93,475
94,486
95,494
96,500
97,505
98,507
99,507
100,510
101,514
102,514
103,510
104,504
105,510
106,509
107,510
108,511
109,508
110,498
111,491
112,488
113,491
114,493
115,492
116,492
117,491
118,492
119,491
120,491
121,491
122,487
123,488
124,485
125,482
126,481
127,478
128,476
129,474
130,474
131,468
132,463
133,424
134,426
135,427
136,426
137,426
138,427
139,422
140,408
141,410
142,410
143,424
144,424
145,424
146,425
147,415
148,410
149,400
150,398
151,398
152,392
153,401
154,402
155,405
156,404
157,405
158,397
159,412
160,418
161,420
162,418
163,417
164,414
165,413
166,407
167,407
168,400
169,400
170,394
171,388
172,386
173,383
174,380
175,376
176,368
177,363
178,357
179,353
180,348
181,342
182,329
183,322
184,328
185,326
186,325
187,317
188,307
189,302
190,292
191,297
192,296
193,307
194,311
195,313
196,317
197,299
198,301
199,296
200,295
201,293
202,292
203,293
204,291
205,288
206,291
207,293
208,293
209,294
210,298
211,298
212,306
213,306
214,310
215,303
216,303
217,314
218,316
219,315
220,313
221,308
222,315
223,321
224,322
225,328
226,326
227,329
228,331
229,326
230,330
231,333
232,339
233,343
234,345
235,350
236,350
237,365
238,371
239,370
240,369
241,358
242,376
243,379
244,381
245,386
246,384
247,388
248,397
249,396
250,399
251,397
252,393
253,400
254,399
255,392
256,404
257,406
258,410
259,412
260,411
261,418
262,420
263,423
264,424
265,430
266,433
267,431
268,432
269,431
270,434
271,437
272,427
273,430
274,430
275,429
276,429
277,424
278,425
279,424
280,425
281,421
282,418
283,416
284,417
285,416
286,410
287,422
288,422
289,429
290,429
291,429
292,423
293,420
294,417
295,421
296,418
297,415
298,411
299,411
300,403
301,399
302,397
303,395
304,395
305,392
306,387
307,384
308,379
309,370
310,359
311,357
312,344
313,336
314,326
315,324
316,321
317,317
318,295
319,293
320,289
321,285
322,282
323,277
324,273
325,172
326,170
327,147
328,146
329,119
330,114
331,109
332,78
333,0
334,0
335,0
336,0
