Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  188  0  0  0  0  188
2  195  0  0  0  0  195
3  196  0  0  0  0  196
4  197  0  0  0  0  197
5  200  0  0  0  0  200
6  201  0  1  0  0  202
7  203  0  0  0  0  203
8  205  0  0  0  0  205
9  206  0  0  0  0  206
10  208  0  0  0  0  208
11  209  0  0  0  0  209
12  211  0  0  0  0  211
13  212  0  0  0  0  212
14  212  0  0  0  1  213
15  215  0  0  0  0  215
16  217  0  0  0  0  217
17  217  1  0  0  0  218
18  219  0  0  0  0  219
19  221  0  0  0  0  221
20  221  1  0  0  0  222
21  224  0  0  0  0  224
22  224  0  0  0  0  224
23  222  0  0  1  1  224
24  223  0  0  0  0  223
25  222  0  1  0  0  223
26  222  0  0  0  0  222
27  233  0  0  0  0  233
28  215  3  13  0  0  231
29  233  0  0  0  0  233
30  228  0  6  0  0  234
31  234  0  0  0  0  234
32  224  0  0  0  0  224
33  4  218  0  0  2  224
34  230  1  0  0  0  231
35  232  0  0  0  1  233
36  238  0  0  0  0  238
37  237  2  1  0  0  240
38  242  0  0  0  0  242
39  243  0  0  0  1  244
40  246  0  0  0  0  246
41  241  2  0  0  2  245
42  238  0  3  1  0  242
43  237  4  0  0  0  241
44  8  0  226  0  0  234
45  239  0  0  0  0  239
46  240  0  1  1  0  242
47  241  0  0  0  1  242
48  240  1  0  0  0  241
49  240  0  0  0  0  240
50  239  0  0  0  0  239
51  236  1  0  0  0  237
52  3  2  0  212  0  217
53  215  0  0  0  2  217
54  216  0  0  1  0  217
55  1  0  214  1  0  216
56  217  0  0  0  0  217
57  213  0  0  1  3  217
58  216  0  1  0  0  217
59  3  0  214  0  0  217
60  233  0  0  1  0  234
61  236  0  0  0  0  236
62  239  0  0  0  0  239
63  239  0  0  1  0  240
64  238  0  0  0  2  240
65  239  0  0  0  0  239
66  240  0  0  0  0  240
67  240  0  0  0  0  240
68  239  0  0  0  0  239
69  237  0  0  0  0  237
70  235  0  0  0  0  235
71  232  0  0  0  0  232
72  231  0  0  0  0  231
73  1  215  0  1  0  217
74  218  0  0  0  0  218
75  217  0  0  1  0  218
76  4  0  0  0  214  218
77  232  0  0  0  0  232
78  234  0  0  0  0  234
79  234  1  0  0  0  235
80  237  0  0  0  0  237
81  236  0  0  0  2  238
82  235  0  0  2  0  237
83  235  2  0  0  0  237
84  235  1  0  0  1  237
85  237  0  0  0  0  237
86  236  1  0  0  0  237
87  236  0  0  0  0  236
88  235  0  0  0  1  236
89  233  1  0  1  1  236
90  235  0  0  0  0  235
91  234  1  0  0  0  235
92  233  0  0  0  1  234
93  234  0  0  1  0  235
94  234  0  0  0  0  234
95  233  1  0  0  0  234
96  235  0  0  0  0  235
97  234  0  1  0  0  235
98  233  1  0  0  0  234
99  234  0  0  0  0  234
100  235  0  0  0  0  235
101  232  0  0  1  1  234
102  233  0  1  0  0  234
103  235  0  0  1  0  236
104  235  1  0  0  0  236
105  237  0  0  0  0  237
106  236  0  0  0  0  236
107  236  0  0  0  0  236
108  232  0  0  2  1  235
109  234  0  0  0  1  235
110  235  0  0  0  0  235
111  233  1  0  0  0  234
112  233  0  0  0  0  233
113  230  0  0  0  0  230
114  227  0  0  0  0  227
115  226  0  0  0  0  226
116  224  1  0  0  0  225
117  224  0  0  0  0  224
118  223  0  0  0  0  223
119  221  0  0  0  0  221
120  198  0  0  0  0  198
121  1  196  0  0  1  198
122  198  0  0  0  0  198
123  2  196  0  0  0  198
124  220  0  0  0  0  220
125  220  0  0  0  1  221
126  222  0  0  0  0  222
127  223  0  0  1  0  224
128  223  0  1  0  0  224
129  222  2  1  0  0  225
130  226  1  0  0  0  227
131  229  0  0  0  0  229
132  228  1  1  0  0  230
133  227  0  1  0  0  228
134  229  0  0  0  0  229
135  228  0  0  0  0  228
136  230  0  0  0  0  230
137  230  0  0  0  0  230
138  230  0  0  0  0  230
139  229  0  0  0  0  229
140  229  0  0  0  0  229
141  229  0  0  0  0  229
142  230  0  0  0  0  230
143  230  0  0  0  0  230
144  231  0  0  0  0  231
145  231  0  1  0  0  232
