Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  0  0  0  0  0  0
2  0  0  0  0  0  0
3  0  0  0  0  0  0
4  0  0  0  0  0  0
5  0  0  0  0  0  0
6  0  0  0  0  0  0
7  0  0  0  0  0  0
8  0  0  0  0  0  0
9  0  0  0  0  0  0
10  0  0  0  0  0  0
11  0  0  0  0  0  0
12  0  0  0  0  0  0
13  0  0  0  0  0  0
14  1  0  0  0  0  1
15  1  0  0  0  0  1
16  1  0  0  0  0  1
17  1  0  0  0  0  1
18  1  0  0  0  0  1
19  1  0  0  0  0  1
20  0  0  0  0  1  1
21  1  0  0  0  0  1
22  1  0  0  0  0  1
23  1  0  0  0  0  1
24  1  0  0  0  0  1
25  1  0  0  0  0  1
26  1  0  0  0  0  1
27  1  0  0  0  0  1
28  1  0  0  0  0  1
29  1  0  0  0  0  1
30  1  0  0  0  0  1
31  1  0  0  0  0  1
32  1  0  0  0  0  1
33  1  0  0  0  0  1
34  1  0  0  0  0  1
35  2  0  0  0  0  2
36  2  0  0  0  0  2
37  2  0  0  0  0  2
38  2  0  0  0  0  2
39  2  0  0  0  0  2
40  2  0  0  0  0  2
41  2  0  0  0  0  2
42  2  0  0  0  0  2
43  2  0  0  0  0  2
44  2  0  0  0  0  2
45  2  0  0  0  0  2
46  2  0  0  0  0  2
47  2  0  0  0  0  2
48  2  0  0  0  0  2
49  2  0  0  0  0  2
50  2  0  0  0  0  2
51  2  0  0  0  0  2
52  2  0  0  0  0  2
53  2  0  0  0  0  2
54  2  0  0  0  0  2
55  2  0  0  0  0  2
56  2  0  0  0  0  2
57  2  0  0  0  0  2
58  2  0  0  0  0  2
59  2  0  0  0  0  2
60  2  0  0  0  0  2
61  2  0  0  0  0  2
62  2  0  0  0  0  2
63  2  0  0  0  0  2
64  2  0  0  0  0  2
65  2  1  0  0  0  3
66  3  0  0  0  0  3
67  3  0  0  0  0  3
68  3  0  0  0  0  3
69  3  0  0  0  0  3
70  3  0  0  0  0  3
71  3  0  0  0  0  3
72  3  0  0  0  0  3
73  3  0  0  0  0  3
74  3  0  0  0  0  3
75  3  0  0  0  0  3
76  3  0  0  0  0  3
77  2  1  0  0  0  3
78  3  0  0  0  0  3
79  3  0  0  0  0  3
80  3  0  0  0  0  3
81  3  0  0  0  0  3
82  3  0  0  0  0  3
83  3  0  0  0  0  3
84  3  0  0  0  0  3
85  3  0  0  0  0  3
86  3  0  0  0  0  3
87  3  0  0  0  0  3
88  3  0  0  0  0  3
89  0  0  0  3  0  3
90  3  0  0  0  0  3
91  3  0  0  0  0  3
92  0  0  0  3  0  3
93  3  0  0  0  0  3
94  3  0  0  0  0  3
95  3  0  0  0  0  3
96  3  0  0  0  0  3
97  3  0  0  0  0  3
98  3  0  0  0  0  3
99  3  0  0  0  0  3
100  3  0  0  0  0  3
101  3  0  0  0  0  3
102  3  0  0  0  0  3
103  3  0  0  0  0  3
104  1  0  0  2  0  3
105  3  0  0  0  0  3
106  3  0  0  0  0  3
107  4  0  0  0  0  4
108  4  0  0  0  0  4
109  4  0  0  0  0  4
110  4  0  0  0  0  4
111  5  0  0  0  0  5
112  5  0  0  0  0  5
113  5  0  0  0  0  5
114  5  0  0  0  0  5
115  5  0  0  0  0  5
116  5  0  0  0  0  5
117  5  0  0  0  0  5
118  5  0  0  0  0  5
119  5  0  0  0  0  5
120  5  0  0  0  0  5
121  5  0  0  0  0  5
122  5  0  0  0  0  5
123  5  0  0  0  0  5
124  5  0  0  0  0  5
125  5  0  0  0  0  5
126  5  0  0  0  0  5
127  5  0  0  0  0  5
128  5  0  0  0  0  5
129  5  0  0  0  0  5
130  0  0  0  0  5  5
131  5  0  0  0  0  5
132  5  0  0  0  0  5
133  5  0  0  0  0  5
134  5  0  0  0  0  5
135  5  0  0  0  0  5
136  5  0  0  0  0  5
137  5  0  0  0  0  5
138  5  0  0  0  0  5
139  5  0  0  0  0  5
140  5  0  0  0  0  5
141  5  0  0  0  0  5
142  5  0  0  0  0  5
143  5  0  0  0  0  5
144  5  0  0  0  0  5
145  5  0  0  0  0  5
146  5  0  0  0  0  5
147  5  0  0  0  0  5
148  5  0  0  0  0  5
149  5  0  0  0  0  5
150  5  0  0  0  0  5
151  5  0  0  0  0  5
152  6  0  0  0  0  6
153  6  0  0  0  0  6
154  6  0  0  0  0  6
155  6  0  0  0  0  6
156  6  0  0  0  0  6
157  6  0  0  0  0  6
158  6  0  0  0  0  6
159  6  0  0  0  0  6
160  6  0  0  0  0  6
161  6  0  0  0  0  6
162  6  0  0  0  0  6
163  6  0  0  0  0  6
164  6  0  0  0  0  6
165  5  0  0  0  0  5
166  5  0  0  0  0  5
167  5  0  0  0  0  5
168  5  0  0  0  0  5
169  5  0  0  0  0  5
170  5  0  0  0  0  5
171  5  0  0  0  0  5
172  5  0  0  0  0  5
173  5  0  0  0  0  5
174  5  0  0  0  0  5
175  5  0  0  0  0  5
