Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  0  0  0  0  0  0
2  0  0  0  0  0  0
3  0  0  0  0  0  0
4  0  0  0  0  0  0
5  8  0  0  0  0  8
6  8  0  0  0  0  8
7  8  0  0  0  0  8
8  9  0  0  0  0  9
9  10  0  0  0  0  10
10  10  0  0  0  0  10
11  10  0  0  0  0  10
12  10  0  0  0  0  10
13  10  0  0  0  0  10
14  11  0  0  0  0  11
15  11  0  0  0  0  11
16  10  0  0  1  0  11
17  11  0  0  0  0  11
18  11  0  0  0  0  11
19  11  0  0  0  0  11
20  11  0  0  0  0  11
21  11  0  0  0  0  11
22  11  0  0  0  0  11
23  11  0  0  0  0  11
24  11  0  0  0  0  11
25  11  0  0  0  0  11
26  11  0  0  0  0  11
27  11  0  0  0  0  11
28  11  0  0  0  0  11
29  11  0  0  0  0  11
30  11  0  0  0  0  11
31  11  0  0  0  0  11
32  11  0  0  0  0  11
33  11  0  0  0  0  11
34  11  0  0  0  0  11
35  11  0  0  0  0  11
36  11  0  0  0  0  11
37  11  0  0  0  0  11
38  11  0  0  0  0  11
39  11  0  0  0  0  11
40  11  0  0  0  0  11
41  0  0  8  3  0  11
42  11  0  0  0  0  11
43  11  0  0  0  0  11
44  11  0  0  0  0  11
45  11  0  0  0  0  11
46  9  0  0  0  0  9
47  9  0  0  0  0  9
48  8  1  0  0  0  9
49  8  0  1  0  0  9
50  9  0  0  0  0  9
51  9  0  0  0  0  9
52  9  0  0  0  0  9
53  9  0  0  0  0  9
54  9  0  0  0  0  9
55  8  1  0  0  0  9
56  9  0  0  0  0  9
57  9  0  0  0  0  9
58  9  0  0  0  0  9
59  0  0  0  0  8  8
60  8  0  0  0  0  8
61  7  0  0  1  0  8
62  8  0  0  0  0  8
63  8  0  0  0  0  8
64  8  0  0  0  0  8
65  8  0  0  0  0  8
66  8  0  0  0  0  8
67  0  6  0  0  0  6
68  0  0  0  0  6  6
69  6  0  0  0  0  6
70  6  0  0  0  0  6
71  6  0  0  0  0  6
72  6  0  0  0  0  6
73  6  0  0  0  0  6
74  6  0  0  0  0  6
75  6  0  0  0  0  6
76  6  0  0  0  0  6
77  6  0  0  0  0  6
78  6  0  0  0  0  6
79  0  0  5  0  0  5
80  5  0  0  0  0  5
81  5  0  0  0  0  5
82  5  0  0  0  0  5
83  5  0  0  0  0  5
84  5  0  0  0  0  5
85  0  0  5  0  0  5
86  5  0  0  0  0  5
87  5  0  0  0  0  5
88  5  0  0  0  0  5
89  5  0  0  0  0  5
90  0  2  0  0  0  2
91  0  0  0  2  0  2
92  2  0  0  0  0  2
93  0  0  0  2  0  2
94  2  0  0  0  0  2
95  2  0  0  0  0  2
96  2  0  0  0  0  2
97  2  0  0  0  0  2
98  0  2  0  0  0  2
99  2  0  0  0  0  2
100  2  0  0  0  0  2
101  2  0  0  0  0  2
102  2  0  0  0  0  2
103  2  0  0  0  0  2
104  2  0  0  0  0  2
105  2  0  0  0  0  2
106  1  0  0  0  0  1
107  0  0  0  0  0  0
108  0  0  0  0  0  0
109  0  0  0  0  0  0
110  0  0  0  0  0  0
111  0  0  0  0  0  0
112  0  0  0  0  0  0
113  0  0  0  0  0  0
114  0  0  0  0  0  0
115  0  0  0  0  0  0
116  0  0  0  0  0  0
117  0  0  0  0  0  0
118  0  0  0  0  0  0
119  0  0  0  0  0  0
120  0  0  0  0  0  0
121  0  0  0  0  0  0
122  0  0  0  0  0  0
123  0  0  0  0  0  0
124  0  0  0  0  0  0
125  0  0  0  0  0  0
126  0  0  0  0  0  0
127  0  0  0  0  0  0
128  0  0  0  0  0  0
129  0  0  0  0  0  0
130  0  0  0  0  0  0
131  0  0  0  0  0  0
132  0  0  0  0  0  0
133  0  0  0  0  0  0
134  0  0  0  0  0  0
135  0  0  0  0  0  0
136  0  0  0  0  0  0
137  0  0  0  0  0  0
138  0  0  0  0  0  0
139  0  0  0  0  0  0
140  0  0  0  0  0  0
141  0  0  0  0  0  0
142  0  0  0  0  0  0
143  0  0  0  0  0  0
144  0  0  0  0  0  0
145  0  0  0  0  0  0
146  0  0  0  0  0  0
147  0  0  0  0  0  0
148  0  0  0  0  0  0
149  0  0  0  0  0  0
150  0  0  0  0  0  0
151  0  0  0  0  0  0
152  0  0  0  0  0  0
153  0  0  0  0  0  0
154  0  0  0  0  0  0
155  0  0  0  0  0  0
156  0  0  0  0  0  0
157  0  0  0  0  0  0
158  0  0  0  0  0  0
159  0  0  0  0  0  0
160  0  0  0  0  0  0
161  0  0  0  0  0  0
162  0  0  0  0  0  0
163  0  0  0  0  0  0
164  0  0  0  0  0  0
165  0  0  0  0  0  0
166  0  0  0  0  0  0
167  0  0  0  0  0  0
168  1  0  0  0  0  1
169  1  0  0  0  0  1
170  1  0  0  0  0  1
171  2  0  0  0  0  2
172  2  0  0  0  0  2
173  2  0  0  0  0  2
174  2  0  0  0  0  2
175  2  0  0  0  0  2
