Position,dmel_rDNA_EBS_Other_rDNA.fa_002
1,84
2,87
3,88
4,90
5,92
6,93
7,93
8,95
9,96
10,97
11,98
12,99
13,99
14,100
15,102
16,102
17,102
18,102
19,102
20,104
21,105
22,106
23,107
24,107
25,108
26,107
27,106
28,104
29,105
30,106
31,106
32,103
33,103
34,104
35,105
36,107
37,107
38,106
39,106
40,105
41,104
42,103
43,103
44,104
45,105
46,104
47,104
48,105
49,107
50,107
51,106
52,105
53,106
54,106
55,106
56,104
57,104
58,103
59,102
60,102
61,103
62,101
63,101
64,101
65,100
66,99
67,99
68,98
69,97
70,96
71,97
72,97
73,96
74,95
75,95
76,95
77,96
78,96
79,95
80,96
81,97
82,97
83,99
84,99
85,98
86,98
87,99
88,99
89,99
90,99
91,99
92,100
93,100
94,99
95,98
96,98
97,101
98,101
99,100
100,101
101,100
102,102
103,101
104,101
105,103
106,103
107,104
108,104
109,103
110,104
111,104
112,102
113,105
114,103
115,103
116,102
117,104
118,104
119,103
120,104
121,103
122,103
123,104
124,105
125,105
126,105
127,106
128,105
129,107
130,108
131,108
132,107
133,106
134,106
135,105
136,107
137,108
138,107
139,107
140,107
141,109
142,109
143,110
144,110
145,110
146,108
147,108
148,107
149,106
150,104
151,104
152,104
153,104
154,104
155,102
156,103
157,103
158,102
159,103
160,101
161,102
162,102
163,102
164,99
165,99
166,99
167,100
168,100
169,100
170,96
171,96
172,97
173,97
174,97
175,98
176,99
177,99
178,99
179,98
180,100
181,100
182,100
183,102
184,101
185,101
186,101
187,101
188,100
189,101
190,102
191,103
192,103
193,102
194,103
195,101
196,102
197,104
198,103
199,103
200,103
201,103
202,103
203,107
204,106
205,106
206,106
207,106
208,108
209,110
210,110
211,111
212,111
213,112
214,111
215,112
216,111
217,112
218,113
219,114
220,116
221,114
222,115
223,115
224,117
225,117
226,116
227,116
228,116
229,118
230,117
231,115
232,115
233,113
234,113
235,112
236,112
237,111
238,111
239,111
240,112
241,112
242,112
243,114
244,114
245,113
246,113
247,111
248,111
249,110
250,109
251,108
252,108
253,108
254,107
255,107
256,109
257,108
258,109
259,106
260,106
261,106
262,104
263,104
264,104
265,102
266,101
267,101
268,100
269,102
270,101
271,103
272,102
273,100
274,101
275,101
276,101
277,101
278,101
279,103
280,103
281,102
282,102
283,102
284,104
285,103
286,101
287,101
288,99
289,101
290,100
291,102
292,103
293,102
294,101
295,101
296,102
297,103
298,103
299,103
300,103
301,101
302,100
303,99
304,99
305,100
306,99
307,99
308,98
309,98
310,100
311,101
312,101
313,102
314,102
315,103
316,103
317,104
318,106
319,108
320,109
321,108
322,107
323,106
324,106
325,106
326,104
327,104
328,105
329,105
330,106
331,105
332,104
333,103
334,104
335,104
336,105
337,105
338,106
339,109
340,109
341,108
342,106
343,108
344,108
345,107
346,105
347,106
348,106
349,107
350,107
351,106
352,105
