Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  0  0  0  0  0  0
2  0  0  0  0  0  0
3  0  0  0  0  0  0
4  0  0  0  0  0  0
5  0  0  0  0  0  0
6  0  0  0  0  0  0
7  0  0  0  0  0  0
8  0  0  0  0  0  0
9  0  0  0  0  0  0
10  0  0  0  0  0  0
11  0  0  0  0  0  0
12  0  0  0  0  0  0
13  0  0  0  0  0  0
14  0  0  0  0  0  0
15  0  0  0  0  0  0
16  0  0  0  0  0  0
17  0  0  0  0  0  0
18  0  0  0  0  0  0
19  0  0  0  0  0  0
20  0  0  0  0  0  0
21  0  0  0  0  0  0
22  0  0  0  0  0  0
23  0  0  0  0  0  0
24  0  0  0  0  0  0
25  0  0  0  0  0  0
26  0  0  0  0  0  0
27  0  0  0  0  0  0
28  0  0  0  0  0  0
29  0  0  0  0  0  0
30  0  0  0  0  0  0
31  0  0  0  0  0  0
32  0  0  0  0  0  0
33  0  0  0  0  0  0
34  0  0  0  0  0  0
35  1  0  0  0  0  1
36  1  0  0  0  0  1
37  1  0  0  0  0  1
38  1  0  0  0  0  1
39  1  0  0  0  0  1
40  1  0  0  0  0  1
41  1  0  0  0  0  1
42  1  0  0  0  0  1
43  1  0  0  0  0  1
44  1  0  0  0  0  1
45  1  0  0  0  0  1
46  1  0  0  0  0  1
47  1  0  0  0  0  1
48  1  0  0  0  0  1
49  1  0  0  0  0  1
50  1  0  0  0  0  1
51  1  0  0  0  0  1
52  1  0  0  0  0  1
53  1  0  0  0  0  1
54  1  0  0  0  0  1
55  1  0  0  0  0  1
56  1  0  0  0  0  1
57  1  0  0  0  0  1
58  1  0  0  0  0  1
59  1  0  0  0  0  1
60  1  0  0  0  0  1
61  1  0  0  0  0  1
62  1  0  0  0  0  1
63  1  0  0  0  0  1
64  1  0  0  0  0  1
65  0  1  0  0  0  1
66  1  0  0  0  0  1
67  1  0  0  0  0  1
68  1  0  0  0  0  1
69  1  0  0  0  0  1
70  1  0  0  0  0  1
71  1  0  0  0  0  1
72  1  0  0  0  0  1
73  1  0  0  0  0  1
74  1  0  0  0  0  1
75  1  0  0  0  0  1
76  1  0  0  0  0  1
77  0  1  0  0  0  1
78  1  0  0  0  0  1
79  1  0  0  0  0  1
80  1  0  0  0  0  1
81  1  0  0  0  0  1
82  1  0  0  0  0  1
83  1  0  0  0  0  1
84  1  0  0  0  0  1
85  1  0  0  0  0  1
86  1  0  0  0  0  1
87  1  0  0  0  0  1
88  1  0  0  0  0  1
89  0  0  0  1  0  1
90  1  0  0  0  0  1
91  1  0  0  0  0  1
92  0  0  0  1  0  1
93  1  0  0  0  0  1
94  1  0  0  0  0  1
95  1  0  0  0  0  1
96  1  0  0  0  0  1
97  1  0  0  0  0  1
98  1  0  0  0  0  1
99  1  0  0  0  0  1
100  1  0  0  0  0  1
101  1  0  0  0  0  1
102  1  0  0  0  0  1
103  1  0  0  0  0  1
104  0  0  0  1  0  1
105  1  0  0  0  0  1
106  1  0  0  0  0  1
107  1  0  0  0  0  1
108  1  0  0  0  0  1
109  1  0  0  0  0  1
110  1  0  0  0  0  1
111  1  0  0  0  0  1
112  1  0  0  0  0  1
113  1  0  0  0  0  1
114  1  0  0  0  0  1
115  1  0  0  0  0  1
116  1  0  0  0  0  1
117  1  0  0  0  0  1
118  1  0  0  0  0  1
119  1  0  0  0  0  1
120  1  0  0  0  0  1
121  1  0  0  0  0  1
122  1  0  0  0  0  1
123  1  0  0  0  0  1
124  1  0  0  0  0  1
125  1  0  0  0  0  1
126  1  0  0  0  0  1
127  1  0  0  0  0  1
128  1  0  0  0  0  1
129  1  0  0  0  0  1
130  0  0  0  0  1  1
131  1  0  0  0  0  1
132  1  0  0  0  0  1
133  1  0  0  0  0  1
134  1  0  0  0  0  1
135  1  0  0  0  0  1
136  1  0  0  0  0  1
137  1  0  0  0  0  1
138  1  0  0  0  0  1
139  1  0  0  0  0  1
140  1  0  0  0  0  1
141  1  0  0  0  0  1
142  1  0  0  0  0  1
143  2  0  0  0  0  2
144  2  0  0  0  0  2
145  2  0  0  0  0  2
146  2  0  0  0  0  2
147  2  0  0  0  0  2
148  2  0  0  0  0  2
149  2  0  0  0  0  2
150  2  0  0  0  0  2
151  2  0  0  0  0  2
152  2  0  0  0  0  2
153  2  0  0  0  0  2
154  2  0  0  0  0  2
155  2  0  0  0  0  2
156  2  0  0  0  0  2
157  2  0  0  0  0  2
158  2  0  0  0  0  2
159  2  0  0  0  0  2
160  2  0  0  0  0  2
161  2  0  0  0  0  2
162  2  0  0  0  0  2
163  2  0  0  0  0  2
164  2  0  0  0  0  2
165  2  0  0  0  0  2
166  2  0  0  0  0  2
167  2  0  0  0  0  2
168  2  0  0  0  0  2
169  2  0  0  0  0  2
170  2  0  0  0  0  2
171  2  0  0  0  0  2
172  2  0  0  0  0  2
173  2  0  0  0  0  2
174  2  0  0  0  0  2
175  2  0  0  0  0  2
