Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  77  0  0  0  0  77
2  77  0  0  0  0  77
3  78  0  0  0  0  78
4  79  0  0  0  0  79
5  80  0  0  0  0  80
6  82  0  0  0  0  82
7  82  0  0  0  0  82
8  83  0  0  0  0  83
9  85  0  0  0  0  85
10  85  0  0  0  0  85
11  85  0  0  0  0  85
12  85  0  0  0  0  85
13  86  0  0  0  0  86
14  87  0  0  0  0  87
15  90  0  0  0  0  90
16  91  0  0  0  0  91
17  90  0  0  0  1  91
18  92  0  0  0  0  92
19  93  0  0  0  0  93
20  94  0  0  0  0  94
21  96  0  0  0  0  96
22  97  0  0  0  0  97
23  98  0  0  0  0  98
24  99  0  0  0  0  99
25  100  0  0  0  0  100
26  100  0  0  0  0  100
27  100  0  0  0  0  100
28  98  0  2  0  0  100
29  100  0  0  0  0  100
30  103  0  0  0  0  103
31  103  0  0  0  0  103
32  102  0  0  0  0  102
33  102  0  0  0  0  102
34  103  0  0  0  0  103
35  105  0  0  0  0  105
36  108  0  0  0  0  108
37  106  1  0  0  0  107
38  106  0  0  0  0  106
39  106  0  0  0  0  106
40  105  0  0  0  0  105
41  103  0  0  0  0  103
42  105  0  0  0  0  105
43  106  0  0  0  0  106
44  105  0  0  0  1  106
45  106  0  0  0  0  106
46  107  0  0  0  0  107
47  107  0  0  0  0  107
48  108  0  0  0  0  108
49  109  0  0  0  0  109
50  109  0  0  0  0  109
51  109  0  0  0  0  109
52  109  1  0  0  0  110
53  111  0  0  0  0  111
54  111  0  0  0  1  112
55  109  0  2  0  1  112
56  111  0  0  0  0  111
57  112  0  0  0  0  112
58  111  0  0  0  0  111
59  109  0  0  0  0  109
60  110  0  0  0  0  110
61  108  0  0  0  0  108
62  107  0  0  0  0  107
63  107  0  0  0  0  107
64  108  0  0  0  0  108
65  108  0  0  0  0  108
66  108  0  0  0  0  108
67  109  0  0  0  0  109
68  110  0  0  0  0  110
69  108  0  0  0  0  108
70  108  0  0  0  0  108
71  107  0  0  0  0  107
72  108  0  0  0  0  108
73  108  0  0  0  0  108
74  109  0  0  0  0  109
75  108  0  0  0  0  108
76  108  0  0  0  0  108
77  108  0  0  0  0  108
78  107  0  0  0  1  108
79  107  0  0  0  0  107
80  107  0  0  0  0  107
81  108  0  0  0  0  108
82  108  0  0  0  0  108
83  109  0  0  0  0  109
84  109  0  0  0  0  109
85  107  0  0  1  0  108
86  107  1  0  0  0  108
87  110  0  0  0  0  110
88  110  0  0  0  0  110
89  110  0  0  0  0  110
90  109  0  0  0  0  109
91  108  0  0  0  0  108
92  109  0  0  0  0  109
93  108  0  0  0  0  108
94  107  0  0  1  0  108
95  107  1  0  0  0  108
96  108  0  0  0  0  108
97  107  1  0  0  0  108
98  108  0  0  0  0  108
99  108  0  0  0  0  108
100  107  1  0  0  0  108
101  107  0  0  0  0  107
102  109  0  0  0  0  109
103  110  0  0  0  0  110
104  110  0  0  0  0  110
105  108  0  0  1  1  110
106  111  0  0  0  0  111
107  112  0  0  0  0  112
108  111  0  0  0  0  111
109  111  0  0  0  0  111
110  110  0  0  0  0  110
111  109  0  0  1  0  110
112  111  0  0  0  0  111
113  113  0  1  0  0  114
114  112  0  0  0  0  112
115  111  0  0  0  0  111
116  109  0  0  1  0  110
117  112  0  0  0  0  112
118  112  1  0  0  0  113
119  112  0  0  0  0  112
120  112  0  0  0  0  112
121  113  0  0  0  0  113
122  114  0  0  0  0  114
123  113  1  0  0  0  114
124  115  0  0  0  0  115
125  113  0  0  0  0  113
126  112  0  0  0  0  112
127  111  0  0  0  0  111
128  109  0  0  0  0  109
129  111  0  0  0  0  111
130  111  0  0  0  0  111
131  111  0  0  0  0  111
132  111  0  0  0  0  111
133  111  0  0  0  0  111
134  112  0  0  0  0  112
135  110  0  0  0  0  110
136  109  1  0  0  0  110
137  109  1  0  0  0  110
138  108  0  0  0  0  108
139  107  0  0  0  0  107
140  105  0  0  0  0  105
141  105  0  0  0  0  105
142  106  0  0  0  0  106
143  105  0  0  0  0  105
144  107  0  0  0  0  107
145  108  0  0  0  0  108
146  108  0  0  0  0  108
147  107  0  0  0  0  107
148  107  0  0  0  0  107
149  105  0  0  0  0  105
150  105  0  0  0  0  105
151  105  0  0  0  0  105
152  106  0  0  0  0  106
153  106  0  0  0  0  106
154  105  0  0  0  0  105
155  104  0  0  0  0  104
156  103  0  1  0  0  104
157  104  0  0  0  0  104
158  104  0  0  0  0  104
