Position,liv_CL25_TR_1_x_566_0nt.fa_001
1,236
2,238
3,240
4,241
5,244
6,245
7,248
8,249
9,250
10,252
11,253
12,256
13,259
14,260
15,262
16,264
17,265
18,268
19,270
20,272
21,274
22,275
23,277
24,278
25,278
26,278
27,278
28,284
29,285
30,286
31,291
32,293
33,295
34,297
35,296
36,294
37,292
38,283
39,291
40,293
41,295
42,295
43,295
44,293
45,294
46,292
47,293
48,294
49,294
50,294
51,294
52,294
53,293
54,291
55,278
56,275
57,283
58,284
59,286
60,287
61,288
62,288
63,288
64,286
65,285
66,285
67,283
68,282
69,282
70,282
71,282
72,280
73,281
74,282
75,283
76,283
77,283
78,282
79,280
80,277
81,265
82,274
83,276
84,278
85,278
86,278
87,278
88,278
89,278
90,282
91,282
92,283
93,283
94,282
95,281
96,279
97,280
98,276
99,280
100,281
101,283
102,281
103,281
104,279
105,281
106,282
107,282
108,282
109,281
110,278
111,277
112,267
113,276
114,278
115,280
116,280
117,281
118,281
119,281
120,280
121,280
122,279
123,279
124,279
125,279
126,279
127,279
128,279
129,278
130,276
131,274
132,264
133,273
134,276
135,278
136,279
137,279
138,279
139,278
140,277
141,275
142,272
143,271
144,269
145,267
146,265
147,257
148,257
149,257
150,257
151,255
152,252
153,229
154,229
155,229
156,229
157,260
158,262
159,263
160,265
161,267
162,268
163,268
164,267
165,262
166,270
167,270
168,270
169,268
170,266
171,265
172,247
173,247
174,247
175,264
176,265
177,268
178,270
179,272
180,272
181,274
182,273
183,273
184,270
185,270
186,269
187,268
188,266
189,252
190,250
191,250
192,248
193,248
194,248
195,248
196,269
197,272
198,274
199,276
200,276
201,275
202,276
203,275
204,274
205,272
206,273
207,271
208,273
209,274
210,272
211,271
212,271
213,273
214,272
215,275
216,274
217,275
218,275
219,275
220,277
221,274
222,273
223,271
224,263
225,265
226,266
227,267
228,265
229,291
230,293
231,290
232,289
233,287
234,285
235,283
236,285
237,284
238,282
239,280
240,278
241,280
242,279
243,278
244,280
245,278
246,276
247,270
248,270
249,271
250,271
251,270
252,267
253,266
254,264
255,256
256,256
257,256
258,256
259,248
260,248
261,248
262,248
263,246
264,244
265,242
266,240
267,215
268,215
269,215
270,233
271,233
272,233
273,234
274,234
275,234
276,234
277,234
278,234
279,233
280,230
281,229
282,228
283,226
284,224
285,222
286,219
287,218
288,195
289,195
290,194
291,196
292,196
293,196
294,195
295,212
296,213
297,214
298,215
299,217
300,215
301,212
302,206
303,210
304,211
305,209
306,208
307,208
308,204
309,203
310,201
311,200
312,192
313,193
314,193
315,193
316,191
317,189
318,187
319,185
320,148
321,148
322,148
323,148
324,130
325,130
326,130
327,130
328,130
329,135
330,167
331,172
332,172
333,172
334,172
335,171
336,169
337,184
338,170
339,170
340,169
341,169
342,169
343,180
344,189
345,191
346,191
347,191
348,192
349,197
350,200
351,204
352,205
353,204
354,205
355,204
356,202
357,197
358,207
359,208
360,209
361,210
362,209
363,209
364,207
365,204
366,195
367,201
368,202
369,202
370,201
371,199
372,190
373,190
374,190
375,190
376,210
377,214
378,215
379,216
380,218
381,219
382,218
383,218
384,193
385,193
386,193
387,193
388,193
389,193
390,192
391,192
392,196
393,197
394,198
395,198
396,198
397,198
398,225
399,227
400,229
401,231
402,232
403,233
404,237
405,239
406,241
407,243
408,244
409,245
410,245
411,245
412,245
413,255
414,257
415,258
416,259
417,260
418,261
419,261
420,261
421,268
422,271
423,273
424,274
425,276
426,277
427,277
428,276
429,276
430,276
431,276
432,276
433,275
434,274
435,273
436,272
437,271
438,262
439,262
440,262
441,262
442,261
443,259
444,258
445,256
446,255
447,251
448,223
449,223
450,223
451,223
452,223
453,221
454,221
455,280
456,282
457,284
458,286
459,288
460,289
461,289
462,289
463,290
464,282
465,267
466,267
467,267
468,265
469,264
470,263
471,262
472,260
473,258
474,258
475,257
476,255
477,254
478,253
479,252
480,250
481,248
482,245
483,242
484,237
485,237
486,237
487,237
488,235
489,233
490,232
491,224
492,224
493,224
494,224
495,223
496,213
497,213
498,213
499,213
500,186
501,182
502,182
503,182
504,182
505,177
506,177
507,177
508,177
509,177
510,177
511,177
512,177
513,177
514,177
515,177
516,177
517,176
518,176
519,176
520,175
521,173
522,169
523,167
524,167
525,167
526,165
527,163
528,161
529,159
530,157
531,155
532,152
533,150
534,148
535,146
536,145
537,144
538,136
539,136
540,136
541,136
542,134
543,131
544,129
545,127
546,126
547,123
548,119
549,114
550,114
551,114
552,114
553,113
554,111
555,108
556,107
557,105
558,102
559,91
560,91
561,91
562,91
563,91
564,91
565,88
566,87
