Position,dmel_rDNA_28S_rDNA_Other_rDNA.fa_002
1,0
2,0
3,2
4,173
5,175
6,177
7,179
8,181
9,182
10,187
11,188
12,189
13,191
14,193
15,194
16,195
17,200
18,203
19,203
20,203
21,205
22,206
23,206
24,206
25,206
26,210
27,212
28,218
29,218
30,220
31,225
32,226
33,228
34,229
35,229
36,229
37,231
38,233
39,236
40,235
41,237
42,239
43,240
44,243
45,244
46,244
47,246
48,244
49,242
50,246
51,248
52,247
53,245
54,244
55,243
56,239
57,239
58,239
59,233
60,231
61,226
62,226
63,226
64,226
65,224
66,222
67,222
68,182
69,182
70,182
71,182
72,182
73,182
74,182
75,182
76,182
77,182
78,182
79,182
80,222
81,224
82,229
83,231
84,237
85,237
86,240
87,244
88,244
89,244
90,244
91,257
92,261
93,261
94,261
95,260
96,260
97,262
98,261
99,261
100,262
101,260
102,258
103,251
104,256
105,257
106,258
107,259
108,260
109,256
110,256
111,256
112,255
113,254
114,255
115,255
116,256
117,256
118,256
119,253
120,251
121,250
122,248
123,247
124,245
125,244
126,240
127,240
128,208
129,208
130,217
131,217
132,217
133,217
134,240
135,242
136,242
137,244
138,244
139,246
140,247
141,247
142,249
143,253
144,253
145,257
146,258
147,256
148,254
149,254
150,252
151,247
152,247
153,244
154,242
155,241
156,239
157,237
158,236
159,231
160,230
161,228
162,226
163,223
164,222
165,221
166,218
167,214
168,214
169,214
170,211
171,209
172,209
173,209
174,207
175,205
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,2
268,2
269,2
270,11
271,12
272,12
273,12
