Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  1939  0  0  0  0  1917
2  2811  0  0  0  0  2801
3  3093  0  0  1  57  3149
4  5165  2  35  5  0  5163
5  5218  42  52  22  0  5330
6  5790  0  35  4  19  5832
7  5889  0  17  6  7  5917
8  3987  0  90  1844  24  5945
9  6031  63  60  0  32  6183
10  6095  64  62  0  15  6235
11  5580  156  500  30  0  6266
12  5395  292  676  0  8  6370
13  2922  3425  57  0  7  6411
14  6902  151  0  12  31  7091
15  7043  100  63  0  15  7221
16  7222  0  25  39  31  7317
17  7286  40  0  24  15  7365
18  7190  97  101  0  25  7413
19  5492  78  1842  0  31  7443
20  7034  377  94  14  0  7519
21  7494  0  44  9  24  7571
22  7459  118  0  11  11  7599
23  7342  134  121  0  28  7625
24  6699  23  893  30  0  7645
25  7379  179  68  45  0  7671
26  7608  0  22  29  24  7683
27  7212  63  398  13  0  7686
28  7129  366  118  0  75  7688
29  7515  35  112  24  0  7686
30  7311  66  282  26  0  7685
31  6659  84  918  18  0  7679
32  6746  816  74  0  29  7665
33  7602  0  14  27  14  7657
34  7260  30  347  18  0  7655
35  7207  342  63  0  17  7629
36  7518  34  0  3  40  7595
37  6599  168  688  40  0  7495
38  6969  393  57  0  27  7446
39  7060  32  0  28  274  7394
40  6354  36  0  25  903  7318
41  6582  67  564  29  0  7242
42  6729  301  90  0  45  7165
43  7034  0  35  28  2  7099
44  6459  36  461  71  0  7027
45  6398  82  404  56  0  6940
46  6208  461  98  0  34  6801
47  6642  49  0  10  38  6739
48  6226  142  233  0  46  6647
49  6168  28  0  20  264  6480
50  5894  53  301  0  15  6263
51  6036  9  0  20  4  6069
52  5806  2  3  0  0  5811
53  5165  0  0  0  0  5165
