Position,amp_CL1_TR_1_x_85_0nt.fa_002
1,787
2,818
3,841
4,974
5,1003
6,1007
7,1030
8,1047
9,1058
10,1101
11,1111
12,1121
13,1127
14,1130
15,1136
16,1140
17,1150
18,1151
19,1151
20,1154
21,1155
22,1155
23,1155
24,1155
25,1155
26,1155
27,1155
28,1155
29,1155
30,1155
31,1154
32,1154
33,1153
34,1152
35,1147
36,1142
37,1136
38,1132
39,1123
40,1120
41,1117
42,1111
43,1103
44,1095
45,1069
46,1063
47,1047
48,980
49,952
50,904
51,51
52,49
53,12
54,10
55,8
56,8
57,8
58,8
59,8
60,8
61,6
62,6
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,4
83,4
84,4
85,3
