Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  2  0  0  0  0  2
2  35  0  0  0  0  35
3  83  0  0  0  0  83
4  88  0  0  0  0  88
5  115  0  0  0  0  115
6  120  0  0  0  0  120
7  122  0  0  0  0  122
8  128  0  0  0  0  128
9  139  0  1  0  0  140
10  152  0  0  0  0  152
11  154  0  0  0  0  154
12  157  0  0  0  0  157
13  177  0  0  0  0  177
14  176  0  0  1  0  177
15  189  0  1  0  0  190
16  200  0  0  0  0  200
17  203  0  0  0  0  203
18  207  0  0  0  0  207
19  215  0  0  0  0  215
20  228  0  1  0  0  229
21  235  0  0  0  0  235
22  240  0  0  0  0  240
23  227  0  0  0  1  228
24  235  0  0  0  0  235
25  236  0  0  0  0  236
26  232  0  0  0  0  232
27  51  0  0  0  0  51
28  287  0  16  0  0  303
29  311  0  0  0  0  311
30  298  0  4  0  0  302
31  303  0  0  0  0  303
32  304  0  0  0  0  304
33  2  302  0  0  0  304
34  328  0  0  0  0  328
35  347  0  0  0  0  347
36  374  1  0  0  0  375
37  389  0  0  0  0  389
38  387  0  0  0  0  387
39  391  0  1  0  2  394
40  393  0  0  0  1  394
41  391  3  0  0  0  394
42  396  0  0  0  0  396
43  390  3  0  0  1  394
44  4  0  391  0  0  395
45  412  0  0  0  0  412
46  436  0  0  0  0  436
47  439  0  0  0  1  440
48  442  0  0  0  0  442
49  442  0  0  1  0  443
50  445  0  0  0  0  445
51  446  0  1  0  0  447
52  1  3  0  442  0  446
53  439  0  0  0  0  439
54  445  0  0  0  0  445
55  2  0  446  0  0  448
56  453  0  0  0  0  453
57  460  0  0  1  0  461
58  459  0  0  0  0  459
59  4  0  444  0  1  449
60  521  0  0  0  0  521
61  530  0  0  0  0  530
62  534  0  0  0  0  534
63  542  0  0  0  0  542
64  534  0  0  0  0  534
65  545  0  0  0  0  545
66  560  0  0  0  0  560
67  563  0  0  0  0  563
68  566  0  1  0  0  567
69  572  0  0  0  1  573
70  572  0  0  0  0  572
71  574  0  0  0  0  574
72  573  0  0  0  0  573
73  2  569  0  0  0  571
74  568  0  0  0  0  568
75  573  0  0  0  0  573
76  4  1  0  0  566  571
77  594  0  0  0  0  594
78  648  0  0  0  0  648
79  649  0  0  0  0  649
80  658  0  0  0  0  658
81  659  0  0  0  0  659
82  664  0  0  2  0  666
83  673  0  0  0  0  673
84  670  0  0  0  0  670
85  678  0  0  0  0  678
86  679  0  0  0  0  679
87  683  0  0  0  0  683
88  690  0  0  0  0  690
89  690  0  0  1  0  691
90  689  0  0  0  1  690
91  700  0  0  0  0  700
92  712  0  0  1  0  713
93  712  0  0  0  0  712
94  709  0  0  0  0  709
95  720  0  0  0  0  720
96  726  0  0  0  0  726
97  732  0  0  0  0  732
98  733  0  0  1  0  734
99  732  0  0  0  0  732
100  760  0  0  1  0  761
101  759  0  0  2  0  761
102  768  0  0  1  0  769
103  762  0  1  0  0  763
104  770  0  0  1  0  771
105  781  0  0  0  0  781
106  787  1  0  0  0  788
107  794  1  2  0  0  797
108  812  0  0  0  2  814
109  820  0  0  0  2  822
110  839  0  0  1  0  840
111  839  2  0  0  0  841
112  831  0  0  0  0  831
113  837  0  1  0  0  838
114  829  0  0  0  0  829
115  838  0  0  0  0  838
116  831  0  0  0  0  831
117  825  0  0  0  0  825
118  832  0  0  0  0  832
119  11  0  0  0  0  11
120  2  0  0  0  0  2
121  2  0  0  0  0  2
122  5  0  0  0  0  5
123  4  1  0  0  0  5
124  919  0  0  0  0  919
125  917  0  0  0  0  917
126  922  0  0  0  0  922
127  942  0  0  0  0  942
128  946  0  0  0  0  946
129  943  0  2  0  0  945
130  954  1  0  0  0  955
131  962  0  0  0  0  962
132  971  2  0  0  0  973
133  950  0  1  0  1  952
134  987  0  0  0  0  987
135  977  0  0  1  1  979
136  989  0  0  0  0  989
137  999  0  0  0  0  999
138  998  1  0  0  0  999
139  1017  0  0  0  0  1017
140  1004  0  0  1  0  1005
141  1021  3  0  0  0  1024
142  1036  0  0  0  0  1036
143  1044  0  0  0  0  1044
144  1045  0  0  0  0  1045
145  1043  0  2  0  0  1045
146  1034  0  1  0  0  1035
147  1020  0  0  1  1  1022
148  1033  0  0  0  0  1033
149  1043  0  0  0  0  1043
150  1044  0  1  0  0  1045
151  1042  0  0  1  2  1045
152  1043  0  0  0  0  1043
153  1049  1  0  0  0  1050
154  1051  0  0  0  0  1051
155  1036  0  0  0  1  1037
156  1041  0  0  0  0  1041
157  1059  0  0  0  0  1059
158  1042  0  1  0  0  1043
159  1049  0  0  0  0  1049
160  1039  0  0  0  0  1039
161  1037  0  7  0  0  1044
162  1038  0  0  0  0  1038
163  1034  0  0  0  0  1034
164  74  0  0  0  0  74
165  34  0  0  0  0  34
166  35  0  0  0  0  35
167  32  0  0  0  0  32
168  7  12  0  0  1  20
169  1037  0  0  0  0  1037
170  1036  0  0  0  0  1036
171  1048  2  1  0  0  1051
172  1046  0  0  0  0  1046
173  1078  0  0  0  0  1078
174  1063  0  0  1  0  1064
175  1056  0  2  0  0  1058
176  1063  0  0  0  1  1064
177  1055  0  0  1  0  1056
178  1049  0  0  0  1  1050
179  1069  0  1  0  0  1070
180  1085  1  1  0  0  1087
181  1085  0  0  1  0  1086
182  1099  0  0  0  1  1100
183  1094  2  1  0  0  1097
184  1060  0  0  1  1  1062
185  1078  0  0  0  0  1078
