Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  0  0  0  0  0  0
2  0  0  0  0  0  0
3  0  0  0  0  0  0
4  0  0  0  0  0  0
5  1  0  0  0  0  1
6  1  0  0  0  0  1
7  1  0  0  0  0  1
8  1  0  0  0  0  1
9  2  0  0  0  0  2
10  2  0  0  0  0  2
11  2  0  0  0  0  2
12  2  0  0  0  0  2
13  2  0  0  0  0  2
14  2  0  0  0  0  2
15  1  1  0  0  0  2
16  1  0  0  1  0  2
17  2  0  0  0  0  2
18  2  0  0  0  0  2
19  2  0  0  0  0  2
20  1  0  1  0  0  2
21  2  0  0  0  0  2
22  2  0  0  0  0  2
23  2  0  0  0  0  2
24  2  0  0  0  0  2
25  2  0  0  0  0  2
26  2  0  0  0  0  2
27  2  0  0  0  0  2
28  2  0  0  0  0  2
29  2  0  0  0  0  2
30  2  0  0  0  0  2
31  2  0  0  0  0  2
32  2  0  0  0  0  2
33  2  0  0  0  0  2
34  6  0  0  0  0  6
35  6  0  0  0  0  6
36  6  0  0  0  0  6
37  6  0  0  0  0  6
38  6  0  0  0  0  6
39  6  0  0  0  0  6
40  6  0  0  0  0  6
41  4  0  0  2  0  6
42  6  0  0  0  0  6
43  6  0  0  0  0  6
44  6  0  0  0  0  6
45  6  0  0  0  0  6
46  6  0  0  0  0  6
47  6  0  0  0  0  6
48  5  1  0  0  0  6
49  5  0  1  0  0  6
50  6  0  0  0  0  6
51  5  0  0  0  0  5
52  5  0  0  0  0  5
53  5  0  0  0  0  5
54  5  0  0  0  0  5
55  5  0  0  0  0  5
56  5  0  0  0  0  5
57  5  0  0  0  0  5
58  5  0  0  0  0  5
59  0  0  0  0  5  5
60  5  0  0  0  0  5
61  4  0  0  1  0  5
62  5  0  0  0  0  5
63  5  0  0  0  0  5
64  5  0  0  0  0  5
65  5  0  0  0  0  5
66  5  0  0  0  0  5
67  0  0  0  0  0  0
68  0  0  0  0  0  0
69  0  0  0  0  0  0
70  0  0  0  0  0  0
71  0  0  0  0  0  0
72  0  0  0  0  0  0
73  0  0  0  0  0  0
74  0  0  0  0  0  0
75  0  0  0  0  0  0
76  0  0  0  0  0  0
77  0  0  0  0  0  0
78  0  0  0  0  0  0
79  0  0  0  0  0  0
80  0  0  0  0  0  0
81  0  0  0  0  0  0
82  0  0  0  0  0  0
83  0  0  0  0  0  0
84  0  0  0  0  0  0
85  0  0  0  0  0  0
86  0  0  0  0  0  0
87  0  0  0  0  0  0
88  0  0  0  0  0  0
89  0  0  0  0  0  0
90  0  0  0  0  0  0
91  0  0  0  0  0  0
92  0  0  0  0  0  0
93  0  0  0  0  0  0
94  0  0  0  0  0  0
95  0  0  0  0  0  0
96  0  0  0  0  0  0
97  0  0  0  0  0  0
98  0  0  0  0  0  0
99  0  0  0  0  0  0
100  0  0  0  0  0  0
101  0  0  0  0  0  0
102  0  0  0  0  0  0
103  0  0  0  0  0  0
104  0  0  0  0  0  0
105  0  0  0  0  0  0
106  0  0  0  0  0  0
107  0  0  0  0  0  0
108  0  0  0  0  0  0
109  0  0  0  0  0  0
110  0  0  0  0  0  0
111  0  0  0  0  0  0
112  0  0  0  0  0  0
113  0  0  0  0  0  0
114  0  0  0  0  0  0
115  0  0  0  0  0  0
116  0  0  0  0  0  0
117  0  0  0  0  0  0
118  0  0  0  0  0  0
119  0  0  0  0  0  0
120  0  0  0  0  0  0
121  0  0  0  0  0  0
122  0  0  0  0  0  0
123  0  0  0  0  0  0
124  0  0  0  0  0  0
125  0  0  0  0  0  0
126  0  0  0  0  0  0
127  0  0  0  0  0  0
128  0  0  0  0  0  0
129  0  0  0  0  0  0
130  0  0  0  0  0  0
131  0  0  0  0  0  0
132  0  0  0  0  0  0
133  0  0  0  0  0  0
134  0  0  0  0  0  0
135  0  0  0  0  0  0
136  0  0  0  0  0  0
137  0  0  0  0  0  0
138  0  0  0  0  0  0
139  0  0  0  0  0  0
140  0  0  0  0  0  0
141  0  0  0  0  0  0
142  0  0  0  0  0  0
143  0  0  0  0  0  0
144  0  0  0  0  0  0
145  0  0  0  0  0  0
146  0  0  0  0  0  0
147  0  0  0  0  0  0
148  0  0  0  0  0  0
149  0  0  0  0  0  0
150  0  0  0  0  0  0
151  0  0  0  0  0  0
152  0  0  0  0  0  0
153  0  0  0  0  0  0
154  0  0  0  0  0  0
155  0  0  0  0  0  0
156  0  0  0  0  0  0
157  0  0  0  0  0  0
158  0  0  0  0  0  0
159  0  0  0  0  0  0
160  0  0  0  0  0  0
161  0  0  0  0  0  0
162  0  0  0  0  0  0
163  0  0  0  0  0  0
164  0  0  0  0  0  0
165  0  0  0  0  0  0
166  0  0  0  0  0  0
167  0  0  0  0  0  0
168  4  0  0  0  0  4
169  4  0  0  0  0  4
170  4  0  0  0  0  4
171  5  0  0  0  0  5
172  5  0  0  0  0  5
173  5  0  0  0  0  5
174  5  0  0  0  0  5
175  5  0  0  0  0  5
