Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  4  0  0  0  0  4
2  4  0  0  0  0  4
3  4  0  0  0  0  4
4  4  0  0  0  0  4
5  4  0  0  0  0  4
6  4  0  0  0  0  4
7  4  0  0  0  0  4
8  4  0  0  0  0  4
9  4  0  0  0  0  4
10  4  0  0  0  0  4
11  4  0  0  0  0  4
12  4  0  0  0  0  4
13  2  0  0  0  2  4
14  4  0  0  0  0  4
15  4  0  0  0  0  4
16  4  0  0  0  0  4
17  4  0  0  0  0  4
18  4  0  0  0  0  4
19  2  0  0  0  2  4
20  4  0  0  0  0  4
21  4  0  0  0  0  4
22  0  0  4  0  0  4
23  4  0  0  0  0  4
24  4  0  0  0  0  4
25  4  0  0  0  0  4
26  4  0  0  0  0  4
27  4  0  0  0  0  4
28  4  0  0  0  0  4
29  4  0  0  0  0  4
30  4  0  0  0  0  4
31  4  0  0  0  0  4
32  4  0  0  0  0  4
33  4  0  0  0  0  4
34  4  0  0  0  0  4
35  4  0  0  0  0  4
36  4  0  0  0  0  4
37  4  0  0  0  0  4
38  4  0  0  0  0  4
39  4  0  0  0  0  4
40  2  0  0  2  0  4
41  4  0  0  0  0  4
42  4  0  0  0  0  4
43  4  0  0  0  0  4
44  4  0  0  0  0  4
45  4  0  0  0  0  4
46  4  0  0  0  0  4
47  4  0  0  0  0  4
48  3  0  0  0  0  3
49  4  0  0  0  0  4
50  4  0  0  0  0  4
51  5  0  0  0  0  5
52  5  0  0  0  0  5
53  5  0  0  0  0  5
54  5  0  0  0  0  5
55  5  0  0  0  0  5
56  5  0  0  0  0  5
57  5  0  0  0  0  5
58  5  0  0  0  0  5
59  5  0  0  0  0  5
60  5  0  0  0  0  5
61  5  0  0  0  0  5
62  5  0  0  0  0  5
63  5  0  0  0  0  5
64  5  0  0  0  0  5
65  5  0  0  0  0  5
66  5  0  0  0  0  5
67  5  0  0  0  0  5
68  5  0  0  0  0  5
69  5  0  0  0  0  5
70  5  0  0  0  0  5
71  5  0  0  0  0  5
72  5  0  0  0  0  5
73  5  0  0  0  0  5
74  5  0  0  0  0  5
75  5  0  0  0  0  5
76  5  0  0  0  0  5
77  5  0  0  0  0  5
78  5  0  0  0  0  5
79  5  0  0  0  0  5
80  5  0  0  0  0  5
81  5  0  0  0  0  5
82  5  0  0  0  0  5
83  5  0  0  0  0  5
84  5  0  0  0  0  5
85  5  0  0  0  0  5
86  5  0  0  0  0  5
87  5  0  0  0  0  5
88  5  0  0  0  0  5
89  5  0  0  0  0  5
90  5  0  0  0  0  5
91  5  0  0  0  0  5
92  5  0  0  0  0  5
93  5  0  0  0  0  5
94  0  0  5  0  0  5
95  5  0  0  0  0  5
96  5  0  0  0  0  5
97  0  0  0  0  5  5
98  5  0  0  0  0  5
99  5  0  0  0  0  5
100  0  0  0  0  5  5
101  6  0  0  0  0  6
102  6  0  0  0  0  6
103  6  0  0  0  0  6
104  6  0  0  0  0  6
105  6  0  0  0  0  6
106  6  0  0  0  0  6
107  6  0  0  0  0  6
108  6  0  0  0  0  6
109  6  0  0  0  0  6
110  6  0  0  0  0  6
111  6  0  0  0  0  6
112  6  0  0  0  0  6
113  6  0  0  0  0  6
114  5  0  0  0  0  5
115  5  0  0  0  0  5
116  5  0  0  0  0  5
117  5  0  0  0  0  5
118  0  0  0  5  0  5
119  5  0  0  0  0  5
120  5  0  0  0  0  5
121  5  0  0  0  0  5
122  5  0  0  0  0  5
123  5  0  0  0  0  5
124  5  0  0  0  0  5
125  5  0  0  0  0  5
126  5  0  0  0  0  5
127  4  0  0  0  0  4
128  4  0  0  0  0  4
129  4  0  0  0  0  4
130  4  0  0  0  0  4
131  4  0  0  0  0  4
132  4  0  0  0  0  4
133  0  4  0  0  0  4
134  4  0  0  0  0  4
135  4  0  0  0  0  4
136  4  0  0  0  0  4
137  4  0  0  0  0  4
138  4  0  0  0  0  4
139  4  0  0  0  0  4
140  4  0  0  0  0  4
141  4  0  0  0  0  4
142  4  0  0  0  0  4
143  0  0  0  0  2  2
144  2  0  0  0  0  2
145  0  0  0  2  0  2
146  3  0  0  0  0  3
147  3  0  0  0  0  3
148  3  0  0  0  0  3
149  3  0  0  0  0  3
150  3  0  0  0  0  3
151  3  0  0  0  0  3
152  3  0  0  0  0  3
153  3  0  0  0  0  3
154  0  3  0  0  0  3
155  3  0  0  0  0  3
156  3  0  0  0  0  3
157  0  0  3  0  0  3
158  3  0  0  0  0  3
159  3  0  0  0  0  3
160  0  0  0  3  0  3
161  3  0  0  0  0  3
162  3  0  0  0  0  3
163  3  0  0  0  0  3
164  3  0  0  0  0  3
165  3  0  0  0  0  3
166  0  0  3  0  0  3
167  3  0  0  0  0  3
168  3  0  0  0  0  3
169  0  0  0  0  3  3
170  3  0  0  0  0  3
171  3  0  0  0  0  3
172  3  0  0  0  0  3
173  3  0  0  0  0  3
174  3  0  0  0  0  3
175  0  0  0  0  3  3
176  3  0  0  0  0  3
177  3  0  0  0  0  3
178  3  0  0  0  0  3
179  3  0  0  0  0  3
180  3  0  0  0  0  3
181  0  0  0  0  3  3
182  3  0  0  0  0  3
183  3  0  0  0  0  3
184  0  0  0  0  3  3
185  3  0  0  0  0  3
186  3  0  0  0  0  3
187  0  0  3  0  0  3
188  4  0  0  0  0  4
189  4  0  0  0  0  4
190  4  0  0  0  0  4
191  4  0  0  0  0  4
192  4  0  0  0  0  4
193  0  0  4  0  0  4
194  4  0  0  0  0  4
195  4  0  0  0  0  4
196  0  0  0  4  0  4
197  4  0  0  0  0  4
198  4  0  0  0  0  4
199  4  0  0  0  0  4
200  4  0  0  0  0  4
201  4  0  0  0  0  4
202  3  0  0  0  0  3
203  3  0  0  0  0  3
204  3  0  0  0  0  3
205  3  0  0  0  0  3
206  3  0  0  0  0  3
207  3  0  0  0  0  3
208  3  0  0  0  0  3
209  3  0  0  0  0  3
210  3  0  0  0  0  3
211  3  0  0  0  0  3
212  3  0  0  0  0  3
213  3  0  0  0  0  3
214  0  0  0  0  3  3
215  3  0  0  0  0  3
216  3  0  0  0  0  3
217  3  0  0  0  0  3
218  3  0  0  0  0  3
219  3  0  0  0  0  3
220  3  0  0  0  0  3
221  3  0  0  0  0  3
222  3  0  0  0  0  3
223  3  0  0  0  0  3
224  3  0  0  0  0  3
225  3  0  0  0  0  3
226  3  0  0  0  0  3
227  3  0  0  0  0  3
228  3  0  0  0  0  3
229  3  0  0  0  0  3
230  3  0  0  0  0  3
231  3  0  0  0  0  3
232  3  0  0  0  0  3
233  3  0  0  0  0  3
234  3  0  0  0  0  3
235  3  0  0  0  0  3
236  3  0  0  0  0  3
237  3  0  0  0  0  3
238  3  0  0  0  0  3
239  3  0  0  0  0  3
240  3  0  0  0  0  3
241  3  0  0  0  0  3
242  3  0  0  0  0  3
243  3  0  0  0  0  3
244  2  0  0  0  0  2
245  2  0  0  0  0  2
246  2  0  0  0  0  2
247  2  0  0  0  0  2
248  2  0  0  0  0  2
249  2  0  0  0  0  2
250  2  0  0  0  0  2
251  2  0  0  0  0  2
252  2  0  0  0  0  2
253  2  0  0  0  0  2
254  2  0  0  0  0  2
255  2  0  0  0  0  2
256  2  0  0  0  0  2
257  2  0  0  0  0  2
258  2  0  0  0  0  2
259  2  0  0  0  0  2
260  2  0  0  0  0  2
261  2  0  0  0  0  2
262  2  0  0  0  0  2
263  2  0  0  0  0  2
264  2  0  0  0  0  2
265  2  0  0  0  0  2
266  2  0  0  0  0  2
267  2  0  0  0  0  2
268  2  0  0  0  0  2
269  2  0  0  0  0  2
270  2  0  0  0  0  2
271  0  0  0  2  0  2
272  2  0  0  0  0  2
273  2  0  0  0  0  2
274  2  0  0  0  0  2
275  2  0  0  0  0  2
276  2  0  0  0  0  2
277  2  0  0  0  0  2
278  2  0  0  0  0  2
279  2  0  0  0  0  2
280  0  2  0  0  0  2
281  2  0  0  0  0  2
282  2  0  0  0  0  2
283  2  0  0  0  0  2
284  2  0  0  0  0  2
285  2  0  0  0  0  2
286  2  0  0  0  0  2
287  2  0  0  0  0  2
288  2  0  0  0  0  2
289  2  0  0  0  0  2
290  2  0  0  0  0  2
291  2  0  0  0  0  2
292  2  0  0  0  0  2
293  2  0  0  0  0  2
294  2  0  0  0  0  2
295  2  0  0  0  0  2
296  1  0  0  0  0  1
297  1  0  0  0  0  1
298  0  0  0  1  0  1
299  1  0  0  0  0  1
300  1  0  0  0  0  1
301  1  0  0  0  0  1
302  1  0  0  0  0  1
303  1  0  0  0  0  1
304  1  0  0  0  0  1
305  1  0  0  0  0  1
306  1  0  0  0  0  1
307  0  0  0  0  1  1
308  1  0  0  0  0  1
309  1  0  0  0  0  1
310  0  0  0  0  1  1
311  1  0  0  0  0  1
312  1  0  0  0  0  1
313  0  0  0  0  1  1
314  1  0  0  0  0  1
315  1  0  0  0  0  1
316  1  0  0  0  0  1
317  1  0  0  0  0  1
318  1  0  0  0  0  1
319  1  0  0  0  0  1
320  1  0  0  0  0  1
321  1  0  0  0  0  1
322  1  0  0  0  0  1
323  1  0  0  0  0  1
324  1  0  0  0  0  1
325  1  0  0  0  0  1
326  1  0  0  0  0  1
327  1  0  0  0  0  1
328  0  0  0  0  0  0
329  0  0  0  0  0  0
330  0  0  0  0  0  0
331  0  0  0  0  0  0
332  0  0  0  0  0  0
333  0  0  0  0  0  0
334  0  0  0  0  0  0
335  0  0  0  0  0  0
336  0  0  0  0  0  0
337  0  0  0  0  0  0
338  0  0  0  0  0  0
339  0  0  0  0  0  0
340  0  0  0  0  0  0
341  0  0  0  0  0  0
342  0  0  0  0  0  0
343  0  0  0  0  0  0
344  0  0  0  0  0  0
345  0  0  0  0  0  0
346  0  0  0  0  0  0
347  0  0  0  0  0  0
348  0  0  0  0  0  0
349  0  0  0  0  0  0
350  0  0  0  0  0  0
351  0  0  0  0  0  0
352  0  0  0  0  0  0
353  0  0  0  0  0  0
354  0  0  0  0  0  0
355  0  0  0  0  0  0
356  0  0  0  0  0  0
357  0  0  0  0  0  0
358  0  0  0  0  0  0
359  0  0  0  0  0  0
360  0  0  0  0  0  0
361  0  0  0  0  0  0
362  0  0  0  0  0  0
363  0  0  0  0  0  0
364  0  0  0  0  0  0
365  0  0  0  0  0  0
366  0  0  0  0  0  0
367  0  0  0  0  0  0
368  0  0  0  0  0  0
369  0  0  0  0  0  0
370  0  0  0  0  0  0
371  0  0  0  0  0  0
372  0  0  0  0  0  0
373  0  0  0  0  0  0
374  0  0  0  0  0  0
375  0  0  0  0  0  0
376  0  0  0  0  0  0
377  0  0  0  0  0  0
378  0  0  0  0  0  0
379  0  0  0  0  0  0
380  0  0  0  0  0  0
381  0  0  0  0  0  0
382  0  0  0  0  0  0
383  0  0  0  0  0  0
384  1  0  0  0  0  1
385  2  0  0  0  0  2
386  2  0  0  0  0  2
387  2  0  0  0  0  2
388  2  0  0  0  0  2
389  2  0  0  0  0  2
390  2  0  0  0  0  2
391  2  0  0  0  0  2
392  2  0  0  0  0  2
393  2  0  0  0  0  2
394  2  0  0  0  0  2
395  2  0  0  0  0  2
396  2  0  0  0  0  2
397  2  0  0  0  0  2
398  2  0  0  0  0  2
399  2  0  0  0  0  2
400  2  0  0  0  0  2
401  2  0  0  0  0  2
402  2  0  0  0  0  2
403  2  0  0  0  0  2
404  2  0  0  0  0  2
405  2  0  0  0  0  2
406  2  0  0  0  0  2
407  2  0  0  0  0  2
408  2  0  0  0  0  2
409  2  0  0  0  0  2
410  2  0  0  0  0  2
411  2  0  0  0  0  2
412  2  0  0  0  0  2
413  2  0  0  0  0  2
414  2  0  0  0  0  2
415  2  0  0  0  0  2
416  2  0  0  0  0  2
417  2  0  0  0  0  2
418  2  0  0  0  0  2
419  2  0  0  0  0  2
420  2  0  0  0  0  2
421  1  0  1  0  0  2
422  2  0  0  0  0  2
423  2  0  0  0  0  2
424  2  0  0  0  0  2
425  2  0  0  0  0  2
426  2  0  0  0  0  2
427  2  0  0  0  0  2
428  2  0  0  0  0  2
429  2  0  0  0  0  2
430  2  0  0  0  0  2
431  2  0  0  0  0  2
432  2  0  0  0  0  2
433  2  0  0  0  0  2
434  2  0  0  0  0  2
435  2  0  0  0  0  2
436  2  0  0  0  0  2
437  2  0  0  0  0  2
438  2  0  0  0  0  2
439  2  0  0  0  0  2
440  2  0  0  0  0  2
441  2  0  0  0  0  2
442  2  0  0  0  0  2
443  2  0  0  0  0  2
444  2  0  0  0  0  2
445  2  0  0  0  0  2
446  2  0  0  0  0  2
447  2  0  0  0  0  2
448  2  0  0  0  0  2
449  0  0  0  0  2  2
450  2  0  0  0  0  2
451  2  0  0  0  0  2
452  2  0  0  0  0  2
453  2  0  0  0  0  2
454  2  0  0  0  0  2
455  2  0  0  0  0  2
456  2  0  0  0  0  2
457  2  0  0  0  0  2
458  2  0  0  0  0  2
459  2  0  0  0  0  2
460  2  0  0  0  0  2
461  2  0  0  0  0  2
462  2  0  0  0  0  2
463  2  0  0  0  0  2
464  2  0  0  0  0  2
465  2  0  0  0  0  2
