Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  236  0  0  0  0  236
2  238  0  0  0  0  238
3  240  0  0  0  0  240
4  241  0  0  0  0  241
5  244  0  0  0  0  244
6  245  0  0  0  0  245
7  248  0  0  0  0  248
8  249  0  0  0  0  249
9  250  0  0  0  0  250
10  252  0  0  0  0  252
11  253  0  0  0  0  253
12  222  34  0  0  0  256
13  259  0  0  0  0  259
14  216  0  0  44  0  260
15  262  0  0  0  0  262
16  264  0  0  0  0  264
17  265  0  0  0  0  265
18  266  0  2  0  0  268
19  270  0  0  0  0  270
20  272  0  0  0  0  272
21  273  0  0  0  1  274
22  275  0  0  0  0  275
23  277  0  0  0  0  277
24  278  0  0  0  0  278
25  278  0  0  0  0  278
26  278  0  0  0  0  278
27  0  278  0  0  0  278
28  284  0  0  0  0  284
29  285  0  0  0  0  285
30  239  47  0  0  0  286
31  290  0  0  1  0  291
32  293  0  0  0  0  293
33  295  0  0  0  0  295
34  297  0  0  0  0  297
35  295  1  0  0  0  296
36  294  0  0  0  0  294
37  291  1  0  0  0  292
38  0  283  0  0  0  283
39  291  0  0  0  0  291
40  293  0  0  0  0  293
41  295  0  0  0  0  295
42  295  0  0  0  0  295
43  295  0  0  0  0  295
44  293  0  0  0  0  293
45  292  0  2  0  0  294
46  292  0  0  0  0  292
47  293  0  0  0  0  293
48  199  95  0  0  0  294
49  294  0  0  0  0  294
50  294  0  0  0  0  294
51  292  0  2  0  0  294
52  294  0  0  0  0  294
53  293  0  0  0  0  293
54  291  0  0  0  0  291
55  149  129  0  0  0  278
56  1  39  235  0  0  275
57  283  0  0  0  0  283
58  284  0  0  0  0  284
59  286  0  0  0  0  286
60  287  0  0  0  0  287
61  288  0  0  0  0  288
62  288  0  0  0  0  288
63  287  0  1  0  0  288
64  286  0  0  0  0  286
65  285  0  0  0  0  285
66  285  0  0  0  0  285
67  281  0  0  2  0  283
68  282  0  0  0  0  282
69  281  1  0  0  0  282
70  282  0  0  0  0  282
71  282  0  0  0  0  282
72  278  0  0  2  0  280
73  281  0  0  0  0  281
74  282  0  0  0  0  282
75  283  0  0  0  0  283
76  274  0  9  0  0  283
77  283  0  0  0  0  283
78  282  0  0  0  0  282
79  280  0  0  0  0  280
80  277  0  0  0  0  277
81  1  264  0  0  0  265
82  273  0  1  0  0  274
83  276  0  0  0  0  276
84  278  0  0  0  0  278
85  278  0  0  0  0  278
86  278  0  0  0  0  278
87  278  0  0  0  0  278
88  278  0  0  0  0  278
89  278  0  0  0  0  278
90  282  0  0  0  0  282
91  282  0  0  0  0  282
92  283  0  0  0  0  283
93  282  1  0  0  0  283
94  282  0  0  0  0  282
95  281  0  0  0  0  281
96  225  0  0  0  54  279
97  280  0  0  0  0  280
98  68  208  0  0  0  276
99  279  1  0  0  0  280
100  280  0  0  1  0  281
101  282  0  0  1  0  283
102  221  0  60  0  0  281
103  281  0  0  0  0  281
104  279  0  0  0  0  279
105  281  0  0  0  0  281
106  282  0  0  0  0  282
107  282  0  0  0  0  282
108  282  0  0  0  0  282
109  277  4  0  0  0  281
110  278  0  0  0  0  278
111  277  0  0  0  0  277
112  0  267  0  0  0  267
113  276  0  0  0  0  276
114  276  0  1  1  0  278
115  280  0  0  0  0  280
116  280  0  0  0  0  280
117  281  0  0  0  0  281
118  281  0  0  0  0  281
119  280  0  1  0  0  281
120  280  0  0  0  0  280
121  280  0  0  0  0  280
122  278  0  0  0  1  279
123  279  0  0  0  0  279
124  279  0  0  0  0  279
125  279  0  0  0  0  279
126  277  2  0  0  0  279
127  279  0  0  0  0  279
128  279  0  0  0  0  279
129  277  0  0  1  0  278
130  276  0  0  0  0  276
131  274  0  0  0  0  274
132  0  0  0  264  0  264
133  273  0  0  0  0  273
134  276  0  0  0  0  276
135  278  0  0  0  0  278
136  279  0  0  0  0  279
137  278  1  0  0  0  279
138  279  0  0  0  0  279
139  278  0  0  0  0  278
140  277  0  0  0  0  277
141  275  0  0  0  0  275
142  272  0  0  0  0  272
143  270  0  1  0  0  271
144  269  0  0  0  0  269
145  267  0  0  0  0  267
146  265  0  0  0  0  265
147  18  0  238  1  0  257
148  257  0  0  0  0  257
149  257  0  0  0  0  257
150  257  0  0  0  0  257
151  255  0  0  0  0  255
152  252  0  0  0  0  252
153  5  224  0  0  0  229
154  229  0  0  0  0  229
155  1  228  0  0  0  229
156  0  0  4  66  159  229
157  260  0  0  0  0  260
158  262  0  0  0  0  262
159  263  0  0  0  0  263
160  265  0  0  0  0  265
161  267  0  0  0  0  267
162  268  0  0  0  0  268
163  267  1  0  0  0  268
164  259  0  8  0  0  267
165  11  250  0  0  1  262
166  270  0  0  0  0  270
167  269  0  0  1  0  270
168  270  0  0  0  0  270
169  268  0  0  0  0  268
170  266  0  0  0  0  266
171  265  0  0  0  0  265
172  0  246  0  1  0  247
173  242  0  0  0  5  247
174  2  0  0  0  245  247
175  264  0  0  0  0  264
176  265  0  0  0  0  265
177  268  0  0  0  0  268
178  270  0  0  0  0  270
179  272  0  0  0  0  272
180  272  0  0  0  0  272
181  274  0  0  0  0  274
182  273  0  0  0  0  273
183  273  0  0  0  0  273
184  270  0  0  0  0  270
185  270  0  0  0  0  270
186  269  0  0  0  0  269
