Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  1  0  0  0  0  1
2  4  0  0  0  0  4
3  5  0  0  0  0  5
4  5  0  0  0  0  5
5  8  0  0  0  0  8
6  8  0  0  0  0  8
7  9  0  0  0  0  9
8  10  0  0  0  0  10
9  11  0  0  0  0  11
10  14  0  0  0  0  14
11  16  0  0  0  0  16
12  16  0  0  0  0  16
13  20  0  0  0  0  20
14  20  0  0  0  0  20
15  21  0  0  0  0  21
16  22  0  0  0  0  22
17  22  0  0  0  0  22
18  23  0  0  0  0  23
19  23  0  0  0  0  23
20  26  0  0  0  0  26
21  27  0  0  0  0  27
22  27  0  0  0  0  27
23  24  0  0  0  0  24
24  25  0  0  0  0  25
25  26  0  0  0  0  26
26  24  0  0  0  0  24
27  3  0  0  0  0  3
28  29  0  1  0  0  30
29  31  0  0  0  0  31
30  31  0  0  0  0  31
31  31  0  0  0  0  31
32  31  0  0  0  0  31
33  0  31  0  0  0  31
34  34  0  0  0  0  34
35  37  0  0  0  0  37
36  40  0  0  0  0  40
37  41  0  0  0  0  41
38  39  0  0  0  0  39
39  41  0  0  0  0  41
40  42  0  0  0  0  42
41  42  0  0  0  0  42
42  42  0  0  0  0  42
43  43  0  0  0  0  43
44  0  0  42  0  0  42
45  44  0  0  0  0  44
46  48  0  0  0  0  48
47  48  0  0  0  0  48
48  49  0  0  0  0  49
49  49  0  0  0  0  49
50  49  0  0  0  0  49
51  49  0  0  0  0  49
52  0  0  0  49  0  49
53  49  0  0  0  0  49
54  49  0  0  0  0  49
55  0  0  49  0  0  49
56  50  0  0  0  0  50
57  51  0  0  0  0  51
58  49  0  0  0  0  49
59  0  0  50  0  0  50
60  56  0  0  0  0  56
61  57  0  0  0  0  57
62  56  0  0  0  0  56
63  57  0  0  0  0  57
64  55  0  0  0  0  55
65  57  0  0  0  0  57
66  58  0  0  0  0  58
67  59  0  0  0  0  59
68  61  0  0  0  0  61
69  61  0  0  0  0  61
70  60  0  0  0  0  60
71  62  0  0  0  0  62
72  61  0  0  0  0  61
73  0  61  0  0  0  61
74  62  0  0  0  0  62
75  61  0  0  0  0  61
76  0  0  0  0  62  62
77  64  0  0  0  0  64
78  70  0  0  0  0  70
79  68  0  0  0  0  68
80  70  0  0  0  0  70
81  70  0  0  0  0  70
82  70  0  0  0  0  70
83  72  0  0  0  0  72
84  73  0  0  0  0  73
85  72  0  0  0  0  72
86  74  0  0  0  0  74
87  75  0  0  0  0  75
88  77  0  0  0  0  77
89  76  0  0  0  0  76
90  76  0  0  0  1  77
91  73  0  0  0  0  73
92  77  0  0  0  0  77
93  77  0  0  0  0  77
94  75  0  0  0  0  75
95  78  0  0  0  0  78
96  77  0  0  0  0  77
97  79  0  0  0  0  79
98  78  0  0  0  0  78
99  78  0  0  0  0  78
100  81  0  0  0  0  81
101  80  0  0  0  0  80
102  81  0  0  0  0  81
103  79  0  0  0  0  79
104  79  0  0  0  0  79
105  81  0  0  0  0  81
106  82  0  0  0  0  82
107  81  0  1  0  0  82
108  81  0  0  0  0  81
109  82  0  0  0  0  82
110  86  0  0  0  0  86
111  86  0  0  0  0  86
112  85  0  0  0  0  85
113  86  0  0  0  0  86
114  85  0  0  0  0  85
115  86  0  0  0  0  86
116  84  0  0  0  0  84
117  82  0  0  0  0  82
118  85  0  0  0  0  85
119  1  0  0  0  0  0
120  1  0  0  0  0  0
121  1  0  0  0  0  0
122  1  0  0  0  0  0
123  1  0  0  0  0  0
124  101  0  0  0  0  101
125  102  0  0  0  0  102
126  103  0  0  0  0  103
127  104  0  0  0  0  104
128  104  0  0  0  0  104
129  105  0  0  0  0  105
130  105  0  0  0  0  105
131  107  0  0  0  0  107
132  111  0  0  0  0  111
133  106  0  0  0  0  106
134  111  0  0  0  0  111
135  105  0  0  0  0  105
136  108  0  0  0  0  108
137  109  0  0  0  0  109
138  108  0  0  0  0  108
139  108  0  0  0  0  108
140  103  0  0  0  0  103
141  107  0  0  0  0  107
142  109  0  0  0  0  109
143  111  0  0  0  0  111
144  111  0  0  0  0  111
145  111  0  0  0  0  111
146  105  0  1  0  0  106
147  107  0  0  0  0  107
148  107  0  0  0  0  107
149  111  0  0  0  0  111
150  113  0  0  0  0  113
151  113  0  0  0  0  113
152  111  0  0  0  0  111
153  116  0  0  0  0  116
154  114  0  0  0  0  114
155  111  0  0  0  0  111
156  114  0  0  0  0  114
157  117  0  0  0  0  117
158  109  0  0  0  0  109
159  111  0  0  0  0  111
160  108  0  0  0  0  108
161  105  0  2  0  0  107
162  108  0  0  0  0  108
163  105  0  0  0  0  105
164  8  0  0  0  0  8
165  5  0  0  0  0  5
166  5  0  0  0  0  5
167  4  0  0  0  0  4
168  0  4  0  0  0  4
169  111  0  0  0  0  111
170  110  0  0  0  0  110
171  114  0  0  0  0  114
172  112  0  0  0  0  112
173  113  0  0  0  0  113
174  112  0  0  0  0  112
175  113  0  0  0  0  113
176  114  0  0  0  0  114
177  112  0  0  0  0  112
178  111  0  0  0  0  111
179  113  0  0  0  0  113
180  116  0  0  0  0  116
181  115  0  0  0  0  115
182  118  0  0  0  0  118
183  115  0  0  0  0  115
184  110  0  0  0  0  110
185  115  0  0  0  0  115
186  116  0  0  0  0  116
187  116  0  0  0  0  116
188  111  0  0  0  0  111
189  113  0  0  0  0  113
190  112  0  0  0  0  112
191  109  0  0  0  0  109
192  111  0  0  0  0  111
193  106  0  0  0  0  106
194  112  0  1  0  0  113
195  109  0  0  0  0  109
196  110  0  0  0  0  110
197  113  0  0  0  0  113
198  109  0  0  0  0  109
199  109  0  0  0  0  109
200  107  0  0  0  0  107
201  110  0  0  0  0  110
202  110  0  0  0  0  110
203  105  0  0  0  0  105
204  103  0  0  0  0  103
205  106  0  0  0  0  106
206  106  0  0  0  0  106
207  106  0  0  0  0  106
208  107  0  0  0  0  107
209  0  0  106  0  0  106
210  105  0  0  0  0  105
211  106  0  0  0  0  106
212  107  0  0  0  0  107
213  107  0  0  0  0  107
214  107  0  0  0  0  107
215  109  0  0  0  0  109
216  108  0  0  0  0  108
217  111  0  0  0  0  111
218  110  0  0  0  0  110
219  111  0  0  0  0  111
220  111  0  0  0  0  111
221  111  0  0  0  0  111
222  110  0  0  0  0  110
223  110  0  0  0  0  110
224  108  0  0  0  0  108
225  108  0  0  0  0  108
226  106  0  0  0  0  106
227  108  0  0  0  0  108
228  107  0  0  0  0  107
229  106  0  0  0  0  106
230  109  0  0  0  0  109
231  110  0  0  0  0  110
232  111  0  0  0  0  111
233  111  0  0  0  0  111
234  113  0  0  0  0  113
235  112  0  0  0  0  112
236  111  0  0  0  0  111
237  111  0  0  0  0  111
238  110  0  0  0  0  110
239  113  0  0  0  0  113
240  114  0  0  0  0  114
241  116  0  2  0  0  118
242  120  0  0  0  0  120
243  123  0  0  0  0  123
244  120  0  0  0  0  120
245  118  0  0  0  0  118
246  121  0  0  0  0  121
247  119  0  0  0  0  119
248  120  0  0  0  0  120
249  125  0  0  0  0  125
250  122  0  0  0  0  122
251  124  0  0  0  0  124
252  120  0  0  0  0  120
253  0  117  0  0  0  117
254  121  0  0  0  0  121
255  122  0  0  0  0  122
256  123  0  0  0  0  123
257  120  0  0  0  0  120
258  124  0  0  0  0  124
259  126  0  0  0  0  126
260  123  0  0  0  0  123
261  122  0  0  0  0  122
262  117  0  0  0  0  117
263  119  0  0  0  0  119
264  114  0  0  0  0  114
265  118  0  0  0  0  118
266  115  0  0  0  0  115
267  115  0  0  0  0  115
268  115  0  0  0  0  115
269  0  111  0  0  0  111
270  113  0  0  0  0  113
271  115  0  0  0  0  115
272  115  0  0  0  0  115
273  113  0  0  0  0  113
274  114  0  0  0  0  114
275  113  0  0  0  0  113
276  113  0  0  0  0  113
277  114  0  0  0  0  114
278  112  0  0  0  0  112
279  110  0  0  0  0  110
280  112  0  0  0  0  112
281  111  0  0  0  0  111
282  108  0  0  0  0  108
283  104  0  0  0  0  104
284  104  0  0  0  0  104
285  105  0  0  0  0  105
286  106  0  0  0  0  106
287  0  0  104  0  0  104
288  109  0  0  0  0  109
289  113  0  0  0  0  113
290  112  0  0  0  1  113
291  116  0  0  0  0  116
292  116  0  0  0  0  116
293  116  0  0  0  0  116
294  113  0  0  0  0  113
295  113  0  0  0  0  113
296  112  0  0  0  0  112
297  109  0  0  0  1  110
298  116  0  0  0  0  116
299  113  0  0  0  0  113
300  115  0  0  0  0  115
301  113  0  0  0  0  113
302  110  0  0  0  1  111
303  110  0  0  0  0  110
304  113  0  0  0  0  113
305  113  1  0  0  0  114
306  112  0  0  0  0  112
307  111  0  0  0  0  111
308  113  0  0  0  0  113
309  113  0  0  0  0  113
310  112  0  0  0  0  112
311  116  0  0  0  0  116
312  114  0  0  0  0  114
313  115  0  1  0  0  116
314  117  0  0  0  0  117
315  112  0  0  0  0  112
316  115  0  0  0  0  115
317  113  0  0  0  0  113
318  111  0  0  0  0  111
319  113  0  0  0  0  113
320  109  0  0  0  0  109
321  110  0  0  0  0  110
322  128  0  1  0  0  129
323  108  0  0  0  0  108
324  109  0  0  0  0  109
325  110  0  0  0  0  110
326  110  0  0  0  0  110
327  107  0  0  0  0  107
328  109  0  0  0  0  109
329  110  0  0  0  0  110
330  114  0  0  0  0  114
331  0  0  1  0  0  1
332  1  0  0  0  0  1
333  1  0  0  0  0  1
334  1  0  0  0  0  1
335  1  0  0  0  0  0
336  1  0  0  0  0  0
337  1  0  0  0  0  0
338  1  0  0  0  0  0
339  1  0  0  0  0  0
340  9  0  0  0  0  9
341  11  0  0  0  0  11
342  45  0  0  0  0  45
343  116  0  0  0  0  116
344  117  0  0  0  0  117
345  118  0  0  0  0  118
346  120  0  0  0  0  120
347  117  0  0  0  0  117
348  121  0  0  0  0  121
349  122  0  0  0  0  122
350  123  0  0  0  0  123
351  121  0  0  0  0  121
352  123  0  0  0  0  123
353  128  0  0  0  0  128
354  128  0  0  0  0  128
355  128  0  1  0  0  129
356  128  0  0  0  0  128
357  127  0  0  0  0  127
358  2  0  0  0  0  2
359  1  0  0  0  0  1
360  2  0  0  0  0  2
361  28  0  0  0  0  28
362  31  0  0  0  0  31
363  39  0  0  0  0  39
364  38  0  0  0  0  38
365  25  0  0  0  0  25
366  1  0  0  0  0  1
367  126  0  0  0  0  126
368  125  0  0  0  0  125
369  127  0  0  0  0  127
370  129  0  0  1  0  130
371  0  0  0  128  0  128
372  131  0  0  0  0  131
373  128  0  0  0  0  128
374  131  0  0  0  0  131
375  127  0  0  0  0  127
376  119  0  0  0  0  119
377  0  114  0  0  0  114
378  0  0  117  0  0  117
379  123  0  0  0  0  123
380  123  0  0  0  0  123
381  128  0  0  0  0  128
382  124  0  0  0  0  124
383  126  0  0  0  0  126
384  128  0  0  0  0  128
385  125  0  0  0  0  125
386  126  0  0  0  0  126
387  0  124  0  0  0  124
388  124  0  0  0  0  124
389  124  0  1  0  0  125
390  123  0  0  0  0  123
391  125  0  1  0  0  126
392  126  0  0  0  0  126
393  126  0  0  0  0  126
394  0  0  125  0  0  125
395  127  0  0  0  0  127
396  130  1  0  0  0  131
397  129  0  0  0  0  129
398  131  0  0  0  0  131
399  129  0  0  0  0  129
400  128  0  0  0  0  128
401  125  0  0  0  0  125
402  128  0  0  0  0  128
403  128  0  0  0  0  128
404  119  0  0  0  0  119
405  114  0  0  0  0  114
406  115  0  0  0  0  115
407  118  0  0  0  0  118
408  120  0  0  0  0  120
409  118  0  0  0  0  118
410  118  0  0  0  0  118
411  116  0  0  2  0  118
412  116  0  0  0  0  116
413  114  0  0  0  0  114
414  115  0  0  0  0  115
415  115  0  0  0  0  115
416  113  0  0  0  0  113
417  112  0  0  0  0  112
418  112  0  0  0  0  112
419  113  0  0  0  0  113
420  110  0  0  0  0  110
421  0  0  106  0  0  106
422  0  105  0  0  0  105
423  108  0  0  0  0  108
424  110  0  0  0  0  110
425  111  0  0  0  0  111
426  111  0  0  0  0  111
427  115  0  0  0  0  115
428  112  0  0  0  0  112
429  116  0  0  0  0  116
