Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  153  0  0  0  0  153
2  154  0  0  0  0  154
3  161  0  0  0  0  161
4  161  0  0  0  0  161
5  159  1  0  1  0  161
6  161  0  0  0  0  161
7  157  5  2  0  0  164
8  164  0  1  0  0  165
9  165  0  0  0  0  165
10  165  0  0  0  0  165
11  167  0  0  0  0  167
12  168  0  0  0  0  168
13  167  0  1  0  0  168
14  169  0  0  0  0  169
15  160  3  6  0  0  169
16  169  0  0  0  0  169
17  167  0  0  3  0  170
18  169  0  1  0  0  170
19  167  0  3  0  0  170
20  170  0  0  0  0  170
21  170  0  0  0  0  170
22  170  0  0  0  0  170
23  170  0  0  0  0  170
24  165  0  5  0  0  170
25  168  2  0  0  0  170
26  171  0  0  0  0  171
27  155  14  4  0  0  173
28  173  0  0  0  0  173
29  172  0  0  0  0  172
30  171  0  0  1  0  172
31  173  0  0  0  0  173
32  173  0  0  0  0  173
33  174  0  0  0  0  174
34  166  0  6  2  0  174
35  166  8  0  0  0  174
36  165  0  3  4  0  172
37  170  0  3  0  0  173
38  174  0  0  0  0  174
39  169  4  0  0  0  173
40  172  0  0  0  0  172
41  166  6  0  0  0  172
42  165  0  7  0  0  172
43  170  0  0  0  2  172
44  170  0  0  0  0  170
45  162  1  6  1  0  170
46  169  0  0  0  0  169
47  148  17  4  0  1  170
48  168  1  0  0  1  170
49  171  0  0  0  0  171
50  172  0  0  0  0  172
51  157  3  10  0  0  170
52  166  0  0  1  1  168
53  168  0  0  0  0  168
54  168  0  0  0  0  168
55  166  0  0  0  1  167
56  167  0  0  0  0  167
57  160  0  4  4  0  168
58  168  0  0  0  0  168
59  167  0  0  0  0  167
60  162  5  0  0  0  167
61  156  6  0  0  0  162
62  140  0  0  0  0  140
63  140  0  0  0  0  140
64  139  0  0  0  0  139
65  135  0  0  0  3  138
66  132  2  1  2  0  137
67  129  0  1  0  0  130
68  101  0  0  0  0  101
69  99  0  1  0  1  101
70  101  0  0  0  0  101
71  101  0  0  0  0  101
72  99  0  1  0  0  100
73  89  0  3  0  0  92
74  83  3  0  0  0  86
75  83  0  0  0  0  83
76  79  0  1  0  0  80
77  76  0  0  0  0  76
78  0  0  68  0  0  68
79  70  1  0  0  0  71
80  71  0  0  0  0  71
81  66  1  0  0  0  68
82  66  0  0  0  0  66
83  63  0  0  0  0  63
84  58  3  0  0  0  61
85  58  0  0  0  0  58
86  57  0  0  0  0  57
87  54  0  0  0  0  54
88  52  0  4  0  0  56
89  56  0  0  0  0  56
90  31  12  0  0  0  43
91  43  1  0  0  0  44
92  44  0  0  0  0  44
93  45  0  0  0  0  45
94  45  0  0  0  0  45
95  45  0  0  0  0  45
96  43  0  0  1  0  44
97  43  0  0  0  0  43
98  40  0  0  0  0  40
99  35  1  2  0  0  38
100  38  0  0  0  1  39
101  37  1  1  0  0  39
102  39  1  0  0  0  40
103  41  0  0  0  0  41
104  40  0  0  0  0  40
105  40  0  0  0  0  40
106  38  0  1  0  0  39
107  37  1  2  0  0  40
108  38  0  0  0  0  38
109  38  0  0  0  0  38
110  38  0  0  0  0  38
111  36  0  0  0  0  36
112  36  0  0  0  0  36
113  37  0  0  0  0  37
114  36  2  0  0  0  38
115  38  0  1  0  0  39
116  39  0  0  0  0  39
117  39  0  0  0  0  39
118  40  0  0  0  0  40
119  40  0  0  0  0  40
120  40  0  0  1  0  41
121  42  0  0  0  0  42
122  42  0  0  0  0  42
123  37  0  5  0  0  42
124  43  0  0  0  0  43
125  42  0  0  0  0  42
126  42  0  0  0  0  42
127  40  0  0  0  0  40
128  29  1  10  0  0  40
129  41  0  0  0  0  41
130  41  0  0  0  0  41
131  41  0  0  0  0  41
132  41  0  0  0  0  41
133  40  0  0  0  0  40
134  40  0  0  0  0  40
135  39  0  0  0  0  39
136  39  0  0  0  0  39
137  37  0  0  0  0  37
138  36  0  0  0  0  36
139  30  0  6  0  0  36
140  35  0  0  0  0  35
141  35  0  0  0  0  35
142  33  2  0  0  0  35
143  34  0  0  0  0  34
144  32  0  0  0  0  33
145  33  0  0  0  0  33
146  33  0  0  0  0  33
147  32  0  0  0  0  32
148  22  0  9  0  0  31
149  29  1  0  0  0  30
150  26  2  0  0  2  30
151  30  0  0  0  0  30
152  30  0  0  0  0  30
153  30  0  0  0  0  30
154  26  0  4  0  0  30
155  28  0  0  0  0  28
156  28  0  0  0  0  28
157  28  0  0  0  0  28
158  28  0  0  0  0  28
159  28  0  0  0  0  28
160  28  0  0  0  0  28
161  29  0  0  0  0  29
162  28  0  0  1  0  29
163  29  0  0  0  0  29
164  29  0  0  0  0  29
165  30  0  0  0  0  30
166  30  0  0  0  0  30
167  30  0  0  0  0  30
168  14  15  0  0  0  29
169  30  0  0  0  0  30
170  30  0  0  0  0  30
171  29  0  1  0  0  30
172  30  0  0  0  0  30
173  30  0  0  0  0  30
174  31  0  1  0  0  32
175  33  0  0  0  0  33
176  27  0  6  0  0  33
177  33  0  0  0  0  33
178  33  0  0  0  0  33
179  34  0  0  0  0  34
180  35  0  0  0  0  35
181  35  0  0  0  0  35
182  35  0  0  0  0  35
183  35  0  0  0  0  35
184  34  0  1  0  0  35
