Position,dmel_rDNA_ETS_Other_rDNA.fa_001
1,216
2,219
3,222
4,225
5,228
6,231
7,231
8,235
9,239
10,240
11,241
12,242
13,244
14,246
15,253
16,254
17,254
18,255
19,256
20,262
21,266
22,268
23,271
24,272
25,281
26,280
27,279
28,277
29,281
30,285
31,285
32,279
33,281
34,283
35,288
36,294
37,292
38,291
39,291
40,289
41,286
42,289
43,290
44,292
45,293
46,294
47,294
48,298
49,306
50,306
51,307
52,306
53,308
54,309
55,311
56,308
57,309
58,307
59,304
60,305
61,304
62,300
63,300
64,302
65,304
66,303
67,304
68,305
69,301
70,300
71,298
72,300
73,301
74,301
75,299
76,299
77,301
78,300
79,297
80,298
81,301
82,301
83,305
84,305
85,302
86,303
87,306
88,306
89,306
90,305
91,304
92,305
93,304
94,304
95,303
96,304
97,311
98,310
99,306
100,307
101,305
102,311
103,310
104,310
105,312
106,313
107,312
108,309
109,309
110,313
111,315
112,310
113,320
114,313
115,311
116,308
117,312
118,314
119,307
120,309
121,311
122,312
123,314
124,316
125,313
126,312
127,312
128,308
129,313
130,314
131,313
132,312
133,311
134,312
135,303
136,305
137,306
138,298
139,301
140,297
141,299
142,302
143,302
144,304
145,305
146,301
147,300
148,299
149,294
150,292
151,292
152,299
153,300
154,299
155,296
156,299
157,299
158,298
159,299
160,298
161,304
162,300
163,299
164,294
165,291
166,291
167,294
168,294
169,293
170,283
171,286
172,286
173,286
174,281
175,282
176,284
177,284
178,284
179,282
180,284
181,281
182,281
183,283
184,278
185,278
186,277
187,278
188,276
189,278
190,279
191,278
192,275
193,271
194,272
195,269
196,270
197,277
198,271
199,272
200,272
201,272
202,271
203,273
204,270
205,270
206,270
207,270
208,275
209,279
210,280
211,284
212,281
213,282
214,282
215,284
216,283
217,283
218,284
219,286
220,288
221,282
222,282
223,282
224,284
225,285
226,284
227,284
228,283
229,287
230,284
231,279
232,279
233,278
234,276
235,276
236,275
237,274
238,275
239,275
240,276
241,280
242,280
243,284
244,284
245,282
246,282
247,274
248,271
249,269
250,267
251,267
252,263
253,263
254,268
255,267
256,268
257,266
258,267
259,259
260,260
261,257
262,256
263,256
264,255
265,253
266,251
267,250
268,248
269,253
270,250
271,253
272,251
273,249
274,251
275,250
276,251
277,256
278,257
279,260
280,260
281,258
282,258
283,256
284,257
285,256
286,253
287,254
288,250
289,250
290,249
291,251
292,252
293,254
294,253
295,253
296,260
297,263
298,264
299,265
300,263
301,253
302,252
303,250
304,253
305,255
306,251
307,250
308,250
309,252
310,256
311,255
312,255
313,254
314,254
315,254
316,252
317,256
318,255
319,260
320,258
321,258
322,257
323,256
324,256
325,253
326,252
327,251
328,255
329,257
330,259
331,257
332,256
333,254
334,252
335,253
336,254
337,253
338,257
339,264
340,263
341,263
342,260
343,270
344,270
345,269
346,263
347,266
348,266
349,268
350,270
351,268
352,267
353,266
354,269
355,267
356,269
357,267
358,267
359,265
360,264
361,264
362,263
363,265
364,258
365,262
366,263
367,261
368,259
369,260
370,259
371,261
372,258
373,253
374,256
375,256
376,257
377,254
378,251
379,256
380,260
381,261
382,262
383,262
384,263
385,263
386,264
387,265
388,268
389,268
390,267
391,265
392,262
393,258
394,262
395,262
396,263
397,263
398,267
399,267
400,269
401,266
402,266
403,265
404,260
405,261
406,260
407,261
408,259
409,257
410,257
411,254
412,254
413,257
414,259
415,264
416,262
417,262
418,261
419,261
420,259
421,260
422,258
423,263
424,265
425,263
426,259
427,259
428,261
429,263
430,263
431,263
432,261
433,261
434,258
435,264
436,266
437,265
438,266
439,266
440,266
441,266
442,265
443,263
444,260
445,257
446,258
447,255
448,252
449,253
450,253
451,255
452,253
453,254
454,250
455,250
456,254
457,253
458,251
459,252
460,250
461,251
462,252
463,252
464,252
465,251
466,254
467,254
468,254
469,254
470,254
471,255
472,255
473,255
474,258
475,266
476,263
477,263
478,264
479,266
480,269
481,270
482,270
483,268
484,272
485,278
486,277
487,274
488,271
489,269
490,269
491,264
492,259
493,258
494,261
495,261
496,261
497,260
498,261
499,260
500,258
501,256
502,260
503,259
504,259
505,260
506,257
507,262
508,261
509,261
510,259
511,261
512,261
513,257
514,268
515,269
516,268
517,269
518,268
519,268
520,269
521,269
522,272
523,274
524,270
525,268
526,269
527,271
528,275
529,270
530,272
531,270
532,271
533,273
534,270
535,270
536,269
537,269
538,270
539,275
540,272
541,271
542,270
543,267
544,266
545,271
546,273
547,275
548,272
549,272
550,273
551,275
552,272
553,274
554,275
555,277
556,276
557,277
558,277
559,274
560,274
561,273
562,277
563,276
564,274
565,268
566,268
567,266
568,267
569,269
570,274
571,277
572,275
573,271
574,274
575,274
576,273
577,277
578,273
579,273
580,271
581,271
582,271
583,269
584,276
585,276
586,280
587,277
588,278
589,278
590,277
591,281
592,281
593,283
594,287
595,288
596,289
597,291
598,289
599,290
600,289
601,289
602,289
603,289
604,290
605,290
606,289
607,290
608,288
609,290
610,289
611,286
612,290
613,293
614,291
615,286
616,293
617,295
618,298
619,301
620,300
621,298
622,298
623,292
624,290
625,285
626,285
627,283
628,282
629,281
630,275
631,279
632,281
633,278
634,278
635,277
636,276
637,271
638,271
639,271
640,272
641,275
642,274
643,275
644,280
645,282
646,284
647,283
648,281
649,283
650,284
651,281
652,280
653,282
654,281
655,282
656,281
657,277
658,277
659,274
660,278
661,276
662,273
663,269
664,270
665,265
666,268
667,267
668,267
669,265
670,266
671,263
672,264
673,262
674,259
675,263
676,263
677,259
678,257
679,259
680,265
681,264
682,264
683,264
684,266
685,267
686,266
687,266
688,268
689,266
690,262
691,262
692,261
693,262
694,263
695,262
696,260
697,260
698,259
699,259
700,257
701,256
702,257
703,254
704,252
705,252
706,253
707,253
708,252
709,252
710,251
711,254
712,250
713,246
714,247
715,248
716,249
717,243
718,243
719,239
720,239
721,240
722,245
723,245
724,249
725,255
726,247
727,246
728,244
729,245
730,247
731,247
732,247
733,256
734,251
735,256
736,255
737,256
738,258
739,258
740,261
741,254
742,259
743,258
744,257
745,256
746,257
747,256
748,258
749,257
750,263
751,259
752,258
753,257
754,255
755,257
756,259
757,258
758,259
759,257
760,259
761,256
762,257
763,257
764,257
765,254
766,253
767,255
768,260
769,262
770,264
771,266
772,267
773,268
774,267
775,267
776,267
777,266
778,267
779,266
780,262
781,265
782,266
783,266
784,267
785,271
786,267
787,266
788,268
789,267
790,262
791,259
792,259
793,257
794,253
795,258
796,256
797,254
798,253
799,250
800,250
801,250
802,248
803,245
804,243
805,241
806,234
807,231
808,231
809,231
810,230
811,229
812,227
813,226
814,225
815,224
816,221
817,221
818,221
819,221
820,219
821,217
822,217
823,217
824,215
