Position,Dmel_Top1_FBgn0004924_900_002
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,2
74,2
75,2
76,1
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,2
128,3
129,2
130,2
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,2
147,2
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,4
181,5
182,5
183,5
184,5
185,7
186,7
187,8
188,8
189,8
190,8
191,8
192,8
193,7
194,8
195,8
196,7
197,8
198,4
199,6
200,6
201,6
202,6
203,6
204,8
205,8
206,8
207,8
208,8
209,7
210,8
211,8
212,8
213,7
214,8
215,8
216,7
217,8
218,9
219,11
220,11
221,11
222,10
223,10
224,10
225,11
226,11
227,10
228,10
229,10
230,11
231,11
232,11
233,11
234,11
235,11
236,11
237,11
238,11
239,11
240,11
241,11
242,12
243,11
244,11
245,10
246,10
247,10
248,10
249,10
250,10
251,10
252,10
253,10
254,10
255,10
256,10
257,10
258,10
259,10
260,10
261,10
262,10
263,10
264,10
265,10
266,10
267,10
268,10
269,9
270,9
271,9
272,9
273,9
274,9
275,10
276,10
277,10
278,10
279,10
280,10
281,10
282,10
283,10
284,10
285,10
286,10
287,10
288,10
289,9
290,10
291,10
292,10
293,10
294,10
295,10
296,10
297,10
298,10
299,1
300,1
301,1
302,1
303,1
304,4
305,10
306,10
307,10
308,11
309,11
310,11
311,11
312,10
313,11
314,11
315,11
316,11
317,11
318,11
319,11
320,11
321,10
322,10
323,10
324,10
325,11
326,11
327,11
328,12
329,0
330,0
331,0
332,0
333,0
334,3
335,10
336,11
337,11
338,11
339,11
340,11
341,11
342,11
343,11
344,10
345,9
346,9
347,9
348,9
349,7
350,7
351,7
352,7
353,7
354,6
355,6
356,6
357,6
358,4
359,4
360,4
361,4
362,4
363,5
364,5
365,4
366,4
367,4
368,4
369,4
370,4
371,0
372,0
373,0
374,0
375,0
376,2
377,4
378,4
379,4
380,5
381,5
382,5
383,5
384,5
385,4
386,5
387,5
388,5
389,5
390,5
391,5
392,4
393,4
394,5
395,5
396,5
397,4
398,5
399,5
400,4
401,4
402,7
403,7
404,6
405,6
406,7
407,7
408,7
409,7
410,6
411,7
412,7
413,7
414,7
415,7
