Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  1  0  0  0  0  1
2  1  0  0  0  0  1
3  1  0  0  0  0  1
4  1  0  0  0  0  1
5  1  0  0  0  0  1
6  1  0  0  0  0  1
7  1  0  0  0  0  1
8  1  0  0  0  0  1
9  1  0  0  0  0  1
10  4  0  0  0  0  4
11  3  1  0  0  0  4
12  550  1  0  0  0  551
13  554  0  0  0  0  554
14  557  1  0  0  0  558
15  559  0  1  0  0  560
16  557  0  1  1  1  560
17  560  0  0  0  0  560
18  559  0  0  0  1  560
19  554  1  0  3  2  560
20  54  1  0  0  505  560
21  559  0  1  0  0  560
22  533  25  0  1  1  560
23  3  556  1  0  0  560
24  560  0  0  0  0  560
25  559  0  0  0  1  560
26  559  0  1  0  0  560
27  507  1  52  0  0  560
28  5  501  1  53  0  560
29  8  55  1  496  0  560
30  826  1  0  0  0  827
31  825  0  22  0  0  847
32  883  0  1  1  1  886
33  894  0  1  0  3  898
34  903  0  1  2  1  907
35  922  0  0  3  4  929
36  3865  0  1  1  0  3867
37  3941  1  1  0  0  3943
38  3989  8  0  5  4  4006
39  4078  8  0  5  7  4098
40  3783  0  5  429  11  4228
41  4343  10  3  0  7  4363
42  4380  0  3  2  5  4390
43  4381  0  4  6  6  4397
44  4381  8  4  0  6  4399
45  4406  0  4  3  5  4418
46  4407  0  3  8  2  4420
47  72  4326  0  8  15  4421
48  4391  15  0  11  11  4428
49  4403  12  0  7  7  4429
50  4400  7  0  6  16  4429
51  4355  59  0  6  9  4429
52  283  4132  3  0  13  4431
53  303  0  4  607  3519  4433
54  5442  37  4  0  13  5496
55  5633  0  4  18  9  5664
56  5735  0  5  10  15  5765
57  5846  0  6  6  17  5875
58  5915  0  8  10  6  5939
59  5987  0  4  9  8  6009
60  5995  0  21  5  8  6029
61  5973  36  0  11  13  6033
62  5613  0  416  8  6  6043
63  6085  1  0  5  4  6095
64  6077  9  0  8  6  6100
65  6092  2  0  5  5  6104
66  6092  1  0  7  6  6106
67  6087  5  0  11  8  6111
68  6054  50  0  6  4  6114
69  5969  120  0  7  10  6106
70  4874  1045  0  5  180  6104
71  5977  0  90  13  4  6084
72  1121  4853  94  0  12  6080
73  6069  0  55  4  1  6129
74  6065  0  60  4  4  6133
75  6080  0  46  6  1  6133
76  5879  207  0  5  2  6093
77  5843  131  112  8  0  6094
78  5979  35  0  7  74  6095
79  6054  12  0  25  7  6098
80  6040  5  0  4  1  6050
81  5881  0  138  9  5  6033
82  5936  0  44  5  41  6026
83  5930  0  67  11  9  6017
84  5268  0  576  15  11  5870
85  5847  7  0  10  6  5871
86  5855  0  3  4  8  5870
87  97  5695  14  0  60  5867
88  5849  5  0  12  5  5871
89  5851  0  6  9  5  5871
90  5827  0  6  17  21  5871
91  171  24  0  7  5666  5868
92  5855  0  3  4  9  5871
93  180  4773  5  0  915  5873
94  1087  0  10  4768  10  5875
95  5706  0  8  146  15  5875
96  5859  5  7  4  0  5875
97  5842  4  0  22  7  5876
98  33  13  0  3  5824  5873
99  938  0  5  4926  9  5878
100  1981  0  4640  19  10  6650
101  9858  0  14  4  11  9887
102  9968  0  4  8  16  9997
103  10064  14  6  0  2  10086
104  10143  0  15  8  22  10188
105  9312  776  0  9  21  10119
106  9442  0  7  18  783  10250
107  9480  774  0  7  11  10273
108  10458  5  7  0  5  10475
109  10476  9  0  12  7  10505
110  10620  12  2  0  5  10640
111  10636  14  0  11  13  10674
112  10610  6  0  50  11  10677
113  10643  16  0  6  11  10677
114  29  10600  10  0  15  10657
115  10834  7  0  10  169  11020
116  11102  5  0  6  8  11121
117  10214  23  1032  0  7  11276
118  11438  0  9  10  10  11468
119  11529  0  13  7  14  11565
120  10811  9  770  6  0  11596
121  11666  0  9  8  7  11690
122  10933  790  0  7  12  11742
123  11515  301  0  9  20  11846
124  11891  7  0  4  10  11912
125  11143  0  817  3  5  11968
126  11976  13  0  6  5  12000
127  11312  11  0  3  710  12037
128  12274  1  5  0  2  12282
129  11534  11  677  9  0  12231
130  12165  18  0  6  30  12219
131  9113  0  3040  10  11  12174
132  12167  0  703  6  12  12889
133  11700  1203  0  3  8  12915
134  13028  0  4  3  7  13042
135  13028  0  10  3  10  13051
136  13000  0  6  6  18  13030
137  12961  0  12  10  14  12998
138  12975  4  2  6  0  12987
139  12953  15  0  6  5  12979
140  12933  18  0  3  8  12962
141  12876  11  0  10  12  12910
142  12801  7  0  12  7  12827
143  12713  8  0  13  5  12739
144  12570  13  79  5  0  12667
145  12487  0  36  19  12  12554
146  10875  5  0  8  1548  12436
147  12229  0  50  9  18  12306
148  10238  0  1968  24  13  12245
149  12264  9  55  8  0  12336
150  2151  41  0  8753  4  10949
151  2105  10  8811  20  0  10947
152  57  35  10830  13  0  10935
153  2385  0  8733  16  15  11149
154  11738  0  16  12  9  11775
155  11765  8  7  18  0  11799
156  9522  32  2253  5  0  11813
157  12393  7  18  0  8  12426
158  12373  9  0  10  35  12427
159  12404  7  0  6  9  12426
160  2883  10  9523  6  0  12422
161  12387  8  19  0  5  12419
162  12382  11  14  10  0  12417
163  10426  1959  18  0  10  12413
164  9791  0  27  2870  15  12703
165  9889  25  2809  0  11  12734
166  13225  0  20  18  28  13291
167  13300  6  0  13  7  13328
168  13450  0  6  17  19  13492
169  11474  2016  0  18  20  13529
170  13473  49  0  18  16  13557
171  13486  32  97  23  0  13638
172  13153  0  48  14  427  13642
173  13398  11  0  11  246  13666
174  13478  183  30  0  3  13695
175  13650  12  24  0  11  13698
176  13604  11  0  11  16  13642
177  6777  9  0  33  861  7680
178  7622  6  22  0  4  7654
179  32  1108  6432  0  16  7590
180  7962  0  7  8  6  7983
181  8052  13  11  3  0  8079
182  8129  0  3  10  14  8158
183  8150  13  0  18  9  8191
184  7073  152  693  0  14  7932
185  7917  16  10  0  5  7948
186  7954  5  6  6  0  7972
187  7436  502  14  0  12  7965
188  7777  5  0  13  20  7817
189  7780  10  3  0  4  7797
190  7701  46  0  8  12  7767
191  56  45  6853  0  16  6970
192  6904  14  48  4  0  6970
193  6955  0  5  5  3  6969
194  89  0  6833  7  0  6930
195  3712  0  26  3498  2  7238
196  7823  5  12  0  10  7852
197  7826  0  38  10  22  7896
198  7877  10  0  7  18  7913
199  7906  6  16  0  2  7930
200  7902  6  11  4  0  7923
201  7892  2  0  7  4  7906
202  3556  0  5  4197  4  7762
203  7962  4  57  0  6  8029
204  7975  4  0  64  5  8048
205  8169  0  8  14  9  8200
206  8185  7  4  5  0  8203
207  8164  0  4  10  6  8185
208  8176  5  1  4  0  8186
209  3719  11  4418  5  0  8153
210  8149  3  2  0  3  8157
211  4467  3605  0  2  15  8089
212  36  8030  0  3  17  8086
213  9069  1  3  0  6  9079
214  9074  9  0  6  6  9095
215  9145  4  3  1  0  9153
216  9171  2  18  3  0  9194
217  9214  10  1  0  4  9229
218  9207  0  2  6  16  9231
219  9277  7  3  5  0  9292
220  9215  3  54  0  0  9272
221  9231  6  4  0  2  9243
222  9188  7  0  6  4  9205
223  4995  0  4  4005  7  9011
224  5054  0  8  4131  31  9224
225  5135  4117  5  0  3  9260
226  9762  0  7  2  1  9772
227  9758  0  9  7  23  9797
228  9709  0  127  8  5  9849
229  9989  8  0  6  2  10005
230  10063  8  12  0  2  10086
231  10086  2  0  6  14  10108
232  10267  15  5  0  3  10290
233  10263  17  0  8  34  10322
234  10400  1  6  0  6  10413
235  10423  2  5  5  0  10436
236  10406  25  21  0  2  10454
237  10444  5  4  2  0  10457
238  10471  3  4  0  0  10479
239  10465  0  4  6  4  10480
240  10470  1  0  13  4  10488
241  10528  7  7  6  0  10548
242  10545  8  4  0  7  10564
243  10501  0  6  15  12  10534
244  10512  2  19  1  0  10535
245  10449  27  31  0  2  10509
246  5614  0  3  4  4536  10157
247  5572  19  0  4527  34  10152
248  10129  6  5  0  2  10142
249  5448  7  6  0  4586  10047
250  9992  48  5  5  0  10050
251  5422  0  4589  11  29  10051
252  10137  0  0  1  2  10140
253  10141  1  0  0  0  10142
254  9023  0  1044  10  12  10089
255  1073  0  7  9005  3  10088
256  11571  8  0  0  0  11579
257  11681  1  0  0  0  11682
258  11724  0  0  0  0  11725
259  11501  4  0  8  7  11520
260  11537  0  37  4  6  11585
261  5989  6  1220  4407  0  11622
262  10657  8  4  1210  0  11880
263  11875  7  62  3  0  11948
264  11889  2  0  12  41  11944
265  11919  3  12  6  0  11940
266  17  7  0  11845  7  11876
267  12450  23  0  14  10  12497
268  12644  0  6  5  5  12662
269  12733  24  4  0  5  12766
270  12812  26  10  0  5  12853
271  12907  13  3  0  3  12926
272  12960  28  4  0  6  12998
273  12950  0  5  6  9  12970
274  12984  0  2  2  7  12995
275  12967  0  3  2  8  12981
276  12994  1  1  0  1  12997
277  12988  3  0  0  3  12994
278  12965  0  1  6  2  12974
279  12982  1  2  0  0  12985
280  12888  0  7  7  4  12906
281  12910  3  0  3  0  12916
282  12884  2  6  2  0  12894
283  12877  0  2  0  2  12881
284  12819  1  0  6  1  12827
285  12789  2  4  0  3  12798
286  12728  0  0  4  3  12735
287  12690  2  33  2  0  12728
288  12623  0  0  1  5  12629
289  12582  3  5  0  0  12590
290  12459  0  8  3  2  12472
291  12372  0  2  11  4  12389
292  12288  0  5  6  4  12304
293  12154  0  22  2  24  12202
294  12114  4  0  0  7  12125
295  51  7015  0  3  7  7076
296  7050  0  0  3  21  7074
297  89  30  0  19  6935  7073
298  7063  0  8  0  4  7075
299  62  6978  0  13  14  7067
300  7060  2  1  5  0  7068
301  45  3  26  0  6994  7068
302  7055  8  7  0  0  7070
303  7058  0  2  3  7  7070
304  70  6983  0  7  10  7070
305  7057  8  0  1  5  7071
306  7062  0  0  7  3  7072
307  28  49  0  6985  9  7071
308  7081  0  5  4  9  7099
309  7079  5  0  5  10  7099
310  5195  2  1904  3  0  7104
311  7121  0  1  0  0  7122
312  7097  12  0  2  11  7122
313  2166  4931  0  19  6  7122
314  7113  4  2  3  0  7122
315  7107  7  0  4  4  7122
316  7115  0  0  5  1  7121
317  7106  11  1  0  2  7120
318  7107  8  1  0  3  7119
319  7089  4  0  1  13  7107
320  7092  0  7  3  0  7102
321  5  7  0  6816  1  6829
322  6821  3  1  4  0  6829
323  10  6807  11  0  0  6828
324  6816  3  0  6  3  6828
325  6817  8  0  2  1  6828
326  13  0  14  0  6799  6827
327  4278  5  147  0  2400  6830
328  52  0  8  6766  4  6830
329  6982  11  0  1  2  6996
330  6988  0  5  4  8  7006
331  7000  2  3  0  1  7006
332  6998  0  3  1  3  7005
333  6996  3  0  1  5  7005
334  6985  10  7  2  0  7005
335  6992  3  0  7  2  7004
336  6975  1  0  9  14  7000
337  6979  2  0  5  2  6988
338  2  9  0  6895  3  6910
339  6897  11  0  5  1  6914
340  6907  1  2  0  3  6914
341  6894  2  18  0  0  6914
342  6882  9  1  0  2  6895
343  6838  4  0  0  0  6842
344  54  0  3  0  6615  6673
345  6652  12  4  2  0  6670
346  6666  0  0  2  1  6670
347  6662  0  0  3  1  6666
348  56  17  6038  5  0  6116
349  69  0  50  1  5996  6116
350  6103  0  6  4  3  6116
351  6115  0  0  1  0  6116
352  6105  6  0  3  0  6114
353  6081  4  24  7  0  6116
354  6100  0  4  4  6  6114
355  36  0  6056  4  4  6100
356  6089  6  4  0  1  6100
357  6073  5  0  8  14  6100
358  6064  5  0  11  20  6100
359  6060  0  16  5  4  6085
360  6058  2  0  3  2  6066
361  5982  4  8  0  0  5994
362  5922  5  0  4  2  5933
363  22  0  0  5595  1  5618
364  5613  1  1  3  0  5618
365  5605  0  5  6  3  5619
366  5611  1  4  3  0  5619
367  5480  0  7  2  3  5492
368  53  5  0  9  5103  5170
369  5164  1  0  1  3  5169
370  5163  1  0  3  2  5169
371  5162  0  1  0  4  5167
372  5036  3  1  0  0  5040
373  58  8  0  14  3429  3509
374  3505  1  1  0  1  3508
375  60  1  0  3441  3  3505
376  1548  0  1948  5  3  3504
377  3491  0  11  0  2  3504
378  1577  1  1924  2  0  3504
379  3501  0  0  1  1  3503
380  46  2  3448  2  0  3499
381  3467  0  0  1  30  3498
382  3476  21  1  0  1  3499
383  3498  0  1  0  0  3499
384  3492  2  2  0  0  3496
385  3461  2  1  0  0  3464
386  3437  3  1  0  0  3441
387  3404  3  0  4  1  3412
388  3391  2  0  1  4  3398
389  3343  8  15  1  0  3367
390  3314  0  0  1  5  3320
391  3299  2  0  0  0  3301
392  15  10  0  3097  0  3122
393  3111  0  3  6  2  3122
394  3122  0  0  0  0  3122
395  3110  7  0  1  2  3120
396  3080  6  0  2  0  3089
397  2943  0  2  0  2  2947
398  2855  3  0  0  2  2860
399  2753  1  0  2  1  2757
400  2636  0  0  0  7  2643
401  2494  0  0  0  9  2503
402  26  0  11  1  0  38
403  35  0  1  0  0  36
404  25  0  1  0  0  26
405  26  0  0  0  0  26
406  26  0  0  0  0  26
407  19  6  0  0  0  25
408  25  0  0  0  0  25
409  25  0  0  0  0  25
410  18  0  0  0  7  25
411  25  0  0  0  0  25
412  23  0  0  0  0  23
413  23  0  0  0  0  23
414  23  0  0  0  0  23
415  22  0  1  0  0  23
416  23  0  0  0  0  23
417  22  0  0  0  0  22
418  22  0  0  0  0  22
419  21  0  0  0  0  21
420  21  0  0  0  0  21
421  11  10  0  0  0  21
422  21  0  0  0  0  21
423  21  0  0  0  0  21
424  21  0  0  0  0  21
425  21  0  0  0  0  21
426  21  0  0  0  0  21
427  21  0  0  0  0  21
428  22  0  0  0  0  22
429  22  0  0  0  0  22
430  22  0  0  0  0  22
431  40  0  0  0  0  40
432  39  0  0  0  1  40
433  1135  0  0  0  0  1135
434  1152  0  0  0  0  1152
435  1157  0  0  0  0  1157
436  1153  3  0  1  0  1157
437  1154  2  0  1  0  1157
438  46  0  1106  2  4  1158
439  1903  1  0  2  1  1907
440  1916  4  0  1  5  1926
441  1951  0  0  2  0  1953
442  1948  4  0  0  1  1953
443  1943  2  5  0  3  1953
444  1949  3  1  0  0  1953
445  1951  0  1  2  1  1955
446  2007  0  1  29  1  2038
447  2061  0  1  2  4  2068
448  2075  0  5  1  2  2083
449  2041  0  40  2  0  2083
450  2040  37  0  2  3  2082
451  2041  0  38  3  0  2082
452  2160  4  0  0  1  2165
453  2183  0  0  0  0  2183
454  2200  0  0  0  0  2200
455  2217  0  0  0  0  2217
456  2229  0  0  1  2  2232
457  2257  1  7  0  0  2265
458  2281  0  6  2  2  2291
459  2296  0  7  0  1  2304
460  2296  0  2  6  0  2304
461  2301  0  6  3  0  2310
462  2304  0  7  1  1  2313
463  2312  0  3  1  0  2316
464  2313  1  0  1  1  2316
465  2307  0  6  2  0  2315
466  871  1437  0  3  1  2312
467  2305  7  0  11  1  2324
468  2323  0  0  2  2  2327
469  2325  4  0  0  0  2329
470  2324  1  0  2  2  2329
471  2321  2  0  4  2  2329
472  2326  0  1  1  1  2329
473  2325  0  2  1  0  2328
474  2318  0  5  1  4  2328
475  2322  2  3  1  0  2328
476  2321  0  3  2  2  2328
477  2315  0  3  4  2  2324
478  2318  1  0  2  0  2321
479  24  1973  0  2  5  2004
480  15  564  1420  3  0  2002
481  27  1406  567  0  1  2002
482  1998  0  1  2  1  2002
483  1996  1  2  0  3  2002
484  1739  0  2  2  259  2002
485  334  1661  0  2  5  2002
486  1986  5  0  1  10  2002
487  338  0  10  2  1652  2002
488  343  0  0  1  1659  2003
489  2004  1  0  0  2  2007
490  604  0  1397  4  2  2007
491  2325  2  0  2  2  2331
492  2071  0  265  4  3  2343
493  2332  0  9  4  6  2351
494  2331  0  3  7  10  2351
495  1772  2  2  575  0  2351
496  2329  0  5  7  10  2351
497  18  0  1  1750  582  2351
498  1899  5  0  583  3  2490
499  2574  4  0  10  3  2591
500  2608  0  6  0  1  2615
501  2601  11  3  2  0  2617
502  2619  0  2  5  13  2639
503  2634  0  7  4  5  2650
504  2633  0  12  2  7  2654
505  2633  8  0  9  5  2655
506  2650  10  7  0  1  2668
507  2662  4  4  0  1  2672
508  2648  0  8  10  6  2672
509  2662  0  1  0  7  2670
510  2653  6  0  6  4  2669
511  1446  0  9  1162  3  2620
512  29  0  11  2574  0  2614
513  2630  2  4  0  2  2638
514  2620  7  0  5  6  2638
515  2624  3  0  8  4  2639
516  2598  3  0  29  6  2636
517  2614  6  0  7  5  2632
518  1406  1213  3  0  2  2624
519  2599  11  6  1  0  2617
520  2595  8  0  4  3  2610
521  2582  4  0  4  12  2602
522  2579  0  4  4  1  2588
523  2570  5  0  3  2  2580
524  2  2448  4  0  4  2458
525  2448  0  7  2  4  2461
526  2447  0  4  2  8  2461
527  2423  0  12  11  12  2459
528  2428  5  3  0  0  2436
529  2411  3  0  6  1  2421
530  1793  582  0  4  5  2384
531  2356  3  0  7  1  2367
532  2332  0  0  7  2  2341
533  2306  5  0  4  3  2318
534  1082  7  0  8  1120  2217
535  2195  0  2  1  2  2200
536  2179  3  0  5  2  2189
537  2158  0  3  8  1  2170
538  2128  0  7  1  2  2138
539  12  0  4  0  1863  1879
540  957  0  5  915  2  1879
541  1855  4  0  10  10  1879
542  1870  2  6  0  1  1879
543  1860  6  2  3  0  1871
544  1847  0  6  3  3  1859
545  1835  6  0  4  2  1847
546  10  1777  4  3  0  1794
547  1788  2  4  0  0  1794
548  1783  6  0  3  2  1794
549  1780  3  0  6  4  1794
550  11  5  1695  0  7  1718
551  1706  0  1  6  5  1718
552  1709  4  4  1  0  1718
553  1683  26  5  0  2  1716
554  1691  0  3  5  2  1701
555  1680  0  6  4  4  1694
556  1678  0  4  4  4  1690
557  1654  7  0  8  5  1674
558  1639  0  4  1  4  1648
559  1618  1  0  6  3  1628
560  1583  1  0  2  0  1586
561  863  4  124  3  0  994
562  10064  14  6  0  2  10086
563  10143  0  15  8  22  10188
564  9312  776  0  9  21  10119
565  9442  0  7  18  783  10250
566  9480  774  0  7  11  10273
567  10458  5  7  0  5  10475
568  10476  9  0  12  7  10505
569  10620  12  2  0  5  10640
570  10636  14  0  11  13  10674
571  10610  6  0  50  11  10677
572  10643  16  0  6  11  10677
573  29  10600  10  0  15  10657
574  10834  7  0  10  169  11020
575  11102  5  0  6  8  11121
576  10214  23  1032  0  7  11276
577  11438  0  9  10  10  11468
578  11529  0  13  7  14  11565
579  10811  9  770  6  0  11596
580  11666  0  9  8  7  11690
581  10933  790  0  7  12  11742
582  11515  301  0  9  20  11846
583  11891  7  0  4  10  11912
584  11143  0  817  3  5  11968
585  11976  13  0  6  5  12000
586  11312  11  0  3  710  12037
587  12274  1  5  0  2  12282
588  11534  11  677  9  0  12231
589  12165  18  0  6  30  12219
590  9113  0  3040  10  11  12174
591  12167  0  703  6  12  12889
592  11700  1203  0  3  8  12915
593  13028  0  4  3  7  13042
594  13028  0  10  3  10  13051
595  13000  0  6  6  18  13030
596  12961  0  12  10  14  12998
597  12975  4  2  6  0  12987
598  12953  15  0  6  5  12979
599  12933  18  0  3  8  12962
600  12876  11  0  10  12  12910
601  12801  7  0  12  7  12827
602  12713  8  0  13  5  12739
603  12570  13  79  5  0  12667
604  12487  0  36  19  12  12554
605  10875  5  0  8  1548  12436
606  12229  0  50  9  18  12306
607  10238  0  1968  24  13  12245
608  12264  9  55  8  0  12336
609  2151  41  0  8753  4  10949
610  2105  10  8811  20  0  10947
611  57  35  10830  13  0  10935
612  2385  0  8733  16  15  11149
613  11738  0  16  12  9  11775
614  11765  8  7  18  0  11799
615  9522  32  2253  5  0  11813
616  12393  7  18  0  8  12426
617  12373  9  0  10  35  12427
618  12404  7  0  6  9  12426
619  2883  10  9523  6  0  12422
620  12387  8  19  0  5  12419
621  12382  11  14  10  0  12417
622  10426  1959  18  0  10  12413
623  9791  0  27  2870  15  12703
624  9889  25  2809  0  11  12734
625  13225  0  20  18  28  13291
626  13300  6  0  13  7  13328
627  13450  0  6  17  19  13492
628  11474  2016  0  18  20  13529
629  13473  49  0  18  16  13557
630  13486  32  97  23  0  13638
631  13153  0  48  14  427  13642
632  13398  11  0  11  246  13666
633  13478  183  30  0  3  13695
634  13650  12  24  0  11  13698
635  13604  11  0  11  16  13642
636  58  8  0  14  3429  3509
637  3505  1  1  0  1  3508
638  60  1  0  3441  3  3505
639  1548  0  1948  5  3  3504
640  3491  0  11  0  2  3504
641  1577  1  1924  2  0  3504
642  3501  0  0  1  1  3503
643  46  2  3448  2  0  3499
644  3467  0  0  1  30  3498
645  3476  21  1  0  1  3499
646  3498  0  1  0  0  3499
647  3492  2  2  0  0  3496
648  3461  2  1  0  0  3464
649  3437  3  1  0  0  3441
650  3404  3  0  4  1  3412
651  3391  2  0  1  4  3398
652  3343  8  15  1  0  3367
653  3314  0  0  1  5  3320
654  3299  2  0  0  0  3301
655  15  10  0  3097  0  3122
656  3111  0  3  6  2  3122
657  3122  0  0  0  0  3122
658  3110  7  0  1  2  3120
659  3080  6  0  2  0  3089
660  2943  0  2  0  2  2947
661  2855  3  0  0  2  2860
662  2753  1  0  2  1  2757
663  2636  0  0  0  7  2643
664  2494  0  0  0  9  2503
665  58  8  0  14  3429  3509
666  3505  1  1  0  1  3508
667  60  1  0  3441  3  3505
668  1548  0  1948  5  3  3504
669  3491  0  11  0  2  3504
670  1577  1  1924  2  0  3504
671  3501  0  0  1  1  3503
672  46  2  3448  2  0  3499
673  3467  0  0  1  30  3498
674  3476  21  1  0  1  3499
675  3498  0  1  0  0  3499
676  3492  2  2  0  0  3496
677  3461  2  1  0  0  3464
678  3437  3  1  0  0  3441
679  3404  3  0  4  1  3412
680  3391  2  0  1  4  3398
681  3343  8  15  1  0  3367
682  3314  0  0  1  5  3320
683  3299  2  0  0  0  3301
684  15  10  0  3097  0  3122
685  3111  0  3  6  2  3122
686  3122  0  0  0  0  3122
687  3110  7  0  1  2  3120
688  3080  6  0  2  0  3089
689  2943  0  2  0  2  2947
690  2855  3  0  0  2  2860
691  2753  1  0  2  1  2757
692  2636  0  0  0  7  2643
693  2494  0  0  0  9  2503
694  58  8  0  14  3429  3509
695  3505  1  1  0  1  3508
696  60  1  0  3441  3  3505
697  1548  0  1948  5  3  3504
698  3491  0  11  0  2  3504
699  1577  1  1924  2  0  3504
700  3501  0  0  1  1  3503
701  46  2  3448  2  0  3499
702  3467  0  0  1  30  3498
703  3476  21  1  0  1  3499
704  3498  0  1  0  0  3499
705  3492  2  2  0  0  3496
706  3461  2  1  0  0  3464
707  3437  3  1  0  0  3441
708  3404  3  0  4  1  3412
709  3391  2  0  1  4  3398
710  3343  8  15  1  0  3367
711  3314  0  0  1  5  3320
712  3299  2  0  0  0  3301
713  15  10  0  3097  0  3122
714  3111  0  3  6  2  3122
715  3122  0  0  0  0  3122
716  3110  7  0  1  2  3120
717  3080  6  0  2  0  3089
718  2943  0  2  0  2  2947
719  2855  3  0  0  2  2860
720  2753  1  0  2  1  2757
721  2636  0  0  0  7  2643
722  2494  0  0  0  9  2503
723  972  0  0  2  2  976
724  955  1  0  3  0  959
725  465  51  1  0  0  517
726  510  0  0  0  0  510
727  505  0  0  0  0  505
728  3  0  0  0  0  3
729  0  0  0  0  0  0
730  0  0  0  0  0  0
