Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  1  0  0  0  0  0
2  1  0  0  0  0  0
3  1  0  0  0  0  0
4  1  0  0  0  0  0
5  1  0  0  0  0  0
6  1  0  0  0  0  0
7  1  0  0  0  0  0
8  1  0  0  0  0  0
9  1  0  0  0  0  0
10  1  0  0  0  0  0
11  1  0  0  0  0  0
12  1  0  0  0  0  0
13  1  0  0  0  0  0
14  1  0  0  0  0  0
15  1  0  0  0  0  0
16  1  0  0  0  0  0
17  1  0  0  0  0  0
18  1  0  0  0  0  0
19  1  0  0  0  0  0
20  1  0  0  0  0  0
21  1  0  0  0  0  0
22  1  0  0  0  0  0
23  1  0  0  0  0  0
24  1  0  0  0  0  0
25  1  0  0  0  0  0
26  1  0  0  0  0  0
27  1  0  0  0  0  0
28  1  0  0  0  0  0
29  1  0  0  0  0  0
30  1  0  0  0  0  0
31  1  0  0  0  0  0
32  0  0  0  0  0  0
33  0  0  0  0  0  0
34  0  0  0  0  0  0
35  0  0  0  0  0  0
36  0  0  0  0  0  0
37  0  0  0  0  0  0
38  0  0  0  0  0  0
39  0  0  0  0  0  0
40  0  0  0  0  0  0
41  0  0  0  0  0  0
42  0  0  0  0  0  0
43  0  0  0  0  0  0
44  0  0  0  0  0  0
45  0  0  0  0  0  0
46  0  0  0  0  0  0
47  0  0  0  0  0  0
48  0  0  0  0  0  0
49  0  0  0  0  0  0
50  0  0  0  0  0  0
51  0  0  0  0  0  0
52  0  0  0  0  0  0
53  1  0  0  0  0  1
54  1  0  0  0  0  1
55  1  0  0  0  0  1
56  1  0  0  0  0  1
57  1  0  0  0  0  1
58  1  0  0  0  0  1
59  1  0  0  0  0  1
60  1  0  0  0  0  1
61  1  0  0  0  0  1
62  1  0  0  0  0  1
63  1  0  0  0  0  1
64  1  0  0  0  0  1
65  1  0  0  0  0  1
66  1  0  0  0  0  1
67  1  0  0  0  0  1
68  1  0  0  0  0  1
69  1  0  0  0  0  1
70  1  0  0  0  0  1
71  1  0  0  0  0  1
72  1  0  0  0  0  1
73  1  0  0  0  0  1
74  1  0  0  0  0  1
75  1  0  0  0  0  1
76  1  0  0  0  0  1
77  1  0  0  0  0  1
78  1  0  0  0  0  1
79  1  0  0  0  0  1
80  1  0  0  0  0  1
81  1  0  0  0  0  1
82  1  0  0  0  0  1
83  1  0  0  0  0  1
84  1  0  0  0  0  1
85  1  0  0  0  0  1
86  1  0  0  0  0  1
87  1  0  0  0  0  1
88  1  0  0  0  0  1
89  1  0  0  0  0  1
90  1  0  0  0  0  1
91  1  0  0  0  0  1
92  1  0  0  0  0  1
93  1  0  0  0  0  1
94  1  0  0  0  0  1
95  1  0  0  0  0  1
96  1  0  0  0  0  1
97  1  0  0  0  0  1
98  1  0  0  0  0  1
99  1  0  0  0  0  1
100  1  0  0  0  0  1
101  1  0  0  0  0  1
102  1  0  0  0  0  1
103  1  0  0  0  0  1
104  1  0  0  0  0  1
105  1  0  0  0  0  1
106  1  0  0  0  0  1
107  1  0  0  0  0  1
108  1  0  0  0  0  1
109  1  0  0  0  0  1
110  1  0  0  0  0  1
111  1  0  0  0  0  1
112  1  0  0  0  0  1
113  1  0  0  0  0  1
114  1  0  0  0  0  1
115  1  0  0  0  0  1
116  1  0  0  0  0  1
117  1  0  0  0  0  1
118  1  0  0  0  0  1
119  1  0  0  0  0  1
120  1  0  0  0  0  1
121  1  0  0  0  0  1
122  1  0  0  0  0  1
123  1  0  0  0  0  1
124  1  0  0  0  0  1
125  1  0  0  0  0  1
126  1  0  0  0  0  1
127  1  0  0  0  0  1
128  1  0  0  0  0  1
129  1  0  0  0  0  1
130  1  0  0  0  0  1
131  1  0  0  0  0  1
132  1  0  0  0  0  1
133  1  0  0  0  0  1
134  1  0  0  0  0  1
135  1  0  0  0  0  1
136  1  0  0  0  0  1
137  1  0  0  0  0  1
138  1  0  0  0  0  1
139  1  0  0  0  0  1
140  1  0  0  0  0  1
141  1  0  0  0  0  1
142  1  0  0  0  0  1
143  1  0  0  0  0  1
144  1  0  0  0  0  1
145  1  0  0  0  0  1
146  1  0  0  0  0  1
147  1  0  0  0  0  1
148  1  0  0  0  0  1
149  1  0  0  0  0  1
150  1  0  0  0  0  1
151  1  0  0  0  0  1
152  1  0  0  0  0  1
153  1  0  0  0  0  1
154  1  0  0  0  0  1
155  1  0  0  0  0  1
156  1  0  0  0  0  1
157  1  0  0  0  0  1
158  1  0  0  0  0  1
159  1  0  0  0  0  1
160  1  0  0  0  0  1
161  1  0  0  0  0  1
162  1  0  0  0  0  1
163  1  0  0  0  0  1
164  1  0  0  0  0  1
165  1  0  0  0  0  1
166  1  0  0  0  0  1
167  1  0  0  0  0  1
168  1  0  0  0  0  1
169  1  0  0  0  0  1
170  1  0  0  0  0  1
171  1  0  0  0  0  1
172  1  0  0  0  0  1
173  1  0  0  0  0  1
174  1  0  0  0  0  1
175  1  0  0  0  0  1
176  1  0  0  0  0  1
177  1  0  0  0  0  1
178  1  0  0  0  0  1
179  1  0  0  0  0  1
180  1  0  0  0  0  1
181  1  0  0  0  0  1
182  1  0  0  0  0  1
183  1  0  0  0  0  1
184  1  0  0  0  0  1
185  1  0  0  0  0  1
186  1  0  0  0  0  1
187  1  0  0  0  0  1
188  1  0  0  0  0  1
189  1  0  0  0  0  1
190  1  0  0  0  0  1
191  1  0  0  0  0  1
192  1  0  0  0  0  1
193  1  0  0  0  0  1
194  1  0  0  0  0  1
195  1  0  0  0  0  1
196  1  0  0  0  0  1
197  1  0  0  0  0  1
198  1  0  0  0  0  1
199  1  0  0  0  0  1
200  1  0  0  0  0  1
201  1  0  0  0  0  1
202  1  0  0  0  0  1
203  1  0  0  0  0  1
204  1  0  0  0  0  1
205  1  0  0  0  0  1
206  1  0  0  0  0  1
207  1  0  0  0  0  1
208  1  0  0  0  0  1
209  1  0  0  0  0  1
210  1  0  0  0  0  1
211  1  0  0  0  0  1
212  1  0  0  0  0  1
213  1  0  0  0  0  1
214  1  0  0  0  0  1
215  1  0  0  0  0  1
216  1  0  0  0  0  1
217  1  0  0  0  0  1
218  1  0  0  0  0  1
219  1  0  0  0  0  1
220  1  0  0  0  0  1
221  1  0  0  0  0  1
222  1  0  0  0  0  1
223  1  0  0  0  0  1
224  1  0  0  0  0  1
225  1  0  0  0  0  1
226  1  0  0  0  0  1
227  1  0  0  0  0  1
228  1  0  0  0  0  1
229  1  0  0  0  0  1
230  1  0  0  0  0  1
231  1  0  0  0  0  1
232  1  0  0  0  0  1
233  1  0  0  0  0  1
234  1  0  0  0  0  1
235  1  0  0  0  0  1
236  1  0  0  0  0  1
237  1  0  0  0  0  1
238  1  0  0  0  0  1
239  1  0  0  0  0  1
240  1  0  0  0  0  1
241  1  0  0  0  0  1
242  1  0  0  0  0  1
243  1  0  0  0  0  1
244  1  0  0  0  0  1
245  1  0  0  0  0  1
246  1  0  0  0  0  1
247  1  0  0  0  0  1
248  1  0  0  0  0  1
249  1  0  0  0  0  1
250  1  0  0  0  0  1
251  1  0  0  0  0  1
252  1  0  0  0  0  1
253  1  0  0  0  0  1
254  1  0  0  0  0  1
255  1  0  0  0  0  1
256  1  0  0  0  0  1
257  1  0  0  0  0  1
258  1  0  0  0  0  1
259  1  0  0  0  0  1
260  1  0  0  0  0  1
261  1  0  0  0  0  1
262  1  0  0  0  0  1
263  1  0  0  0  0  1
264  1  0  0  0  0  1
265  1  0  0  0  0  1
266  1  0  0  0  0  1
267  1  0  0  0  0  1
268  1  0  0  0  0  1
269  1  0  0  0  0  1
270  1  0  0  0  0  1
271  1  0  0  0  0  1
272  1  0  0  0  0  1
273  1  0  0  0  0  1
274  1  0  0  0  0  1
275  1  0  0  0  0  1
276  1  0  0  0  0  1
277  1  0  0  0  0  1
278  1  0  0  0  0  1
279  1  0  0  0  0  1
280  1  0  0  0  0  1
281  1  0  0  0  0  1
282  1  0  0  0  0  1
283  1  0  0  0  0  1
284  1  0  0  0  0  1
285  1  0  0  0  0  1
286  1  0  0  0  0  1
287  1  0  0  0  0  1
288  1  0  0  0  0  1
289  1  0  0  0  0  1
290  1  0  0  0  0  1
291  1  0  0  0  0  1
292  1  0  0  0  0  1
293  1  0  0  0  0  1
294  1  0  0  0  0  1
295  1  0  0  0  0  1
296  1  0  0  0  0  1
297  1  0  0  0  0  1
298  1  0  0  0  0  1
299  1  0  0  0  0  1
300  1  0  0  0  0  1
301  1  0  0  0  0  1
302  1  0  0  0  0  1
303  1  0  0  0  0  1
304  1  0  0  0  0  1
305  1  0  0  0  0  1
306  1  0  0  0  0  1
307  1  0  0  0  0  1
308  1  0  0  0  0  1
309  1  0  0  0  0  1
310  1  0  0  0  0  1
311  1  0  0  0  0  1
312  1  0  0  0  0  1
313  0  0  0  0  0  0
314  0  0  0  0  0  0
315  0  0  0  0  0  0
316  0  0  0  0  0  0
317  0  0  0  0  0  0
318  0  0  0  0  0  0
319  0  0  0  0  0  0
320  0  0  0  0  0  0
321  0  0  0  0  0  0
322  0  0  0  0  0  0
323  0  0  0  0  0  0
324  0  0  0  0  0  0
325  0  0  0  0  0  0
326  0  0  0  0  0  0
327  0  0  0  0  0  0
328  0  0  0  0  0  0
329  0  0  0  0  0  0
330  0  0  0  0  0  0
331  0  0  0  0  0  0
332  0  0  0  0  0  0
333  0  0  0  0  0  0
334  0  0  0  0  0  0
335  0  0  0  0  0  0
336  0  0  0  0  0  0
337  0  0  0  0  0  0
338  0  0  0  0  0  0
339  0  0  0  0  0  0
340  0  0  0  0  0  0
341  0  0  0  0  0  0
342  0  0  0  0  0  0
343  0  0  0  0  0  0
344  0  0  0  0  0  0
345  0  0  0  0  0  0
346  0  0  0  0  0  0
347  0  0  0  0  0  0
348  0  0  0  0  0  0
349  0  0  0  0  0  0
350  0  0  0  0  0  0
351  0  0  0  0  0  0
352  0  0  0  0  0  0
353  0  0  0  0  0  0
354  0  0  0  0  0  0
355  0  0  0  0  0  0
356  0  0  0  0  0  0
357  0  0  0  0  0  0
358  0  0  0  0  0  0
359  0  0  0  0  0  0
360  0  0  0  0  0  0
361  0  0  0  0  0  0
362  0  0  0  0  0  0
363  0  0  0  0  0  0
364  0  0  0  0  0  0
365  0  0  0  0  0  0
366  0  0  0  0  0  0
367  0  0  0  0  0  0
368  0  0  0  0  0  0
369  0  0  0  0  0  0
370  0  0  0  0  0  0
371  0  0  0  0  0  0
372  0  0  0  0  0  0
373  0  0  0  0  0  0
374  0  0  0  0  0  0
375  0  0  0  0  0  0
376  0  0  0  0  0  0
377  0  0  0  0  0  0
378  0  0  0  0  0  0
379  0  0  0  0  0  0
380  0  0  0  0  0  0
381  0  0  0  0  0  0
382  0  0  0  0  0  0
383  0  0  0  0  0  0
384  0  0  0  0  0  0
385  0  0  0  0  0  0
386  0  0  0  0  0  0
387  0  0  0  0  0  0
388  0  0  0  0  0  0
389  0  0  0  0  0  0
390  0  0  0  0  0  0
391  0  0  0  0  0  0
392  0  0  0  0  0  0
393  0  0  0  0  0  0
394  0  0  0  0  0  0
395  0  0  0  0  0  0
396  0  0  0  0  0  0
397  0  0  0  0  0  0
398  0  0  0  0  0  0
399  0  0  0  0  0  0
400  0  0  0  0  0  0
401  0  0  0  0  0  0
402  0  0  0  0  0  0
403  0  0  0  0  0  0
404  0  0  0  0  0  0
405  0  0  0  0  0  0
406  0  0  0  0  0  0
407  0  0  0  0  0  0
408  0  0  0  0  0  0
409  0  0  0  0  0  0
410  0  0  0  0  0  0
411  0  0  0  0  0  0
412  0  0  0  0  0  0
413  0  0  0  0  0  0
414  0  0  0  0  0  0
415  0  0  0  0  0  0
416  0  0  0  0  0  0
417  0  0  0  0  0  0
418  0  0  0  0  0  0
419  0  0  0  0  0  0
420  0  0  0  0  0  0
421  0  0  0  0  0  0
422  0  0  0  0  0  0
423  0  0  0  0  0  0
424  0  0  0  0  0  0
425  0  0  0  0  0  0
426  0  0  0  0  0  0
427  0  0  0  0  0  0
428  0  0  0  0  0  0
429  0  0  0  0  0  0
430  0  0  0  0  0  0
431  0  0  0  0  0  0
432  0  0  0  0  0  0
433  0  0  0  0  0  0
434  0  0  0  0  0  0
435  0  0  0  0  0  0
436  0  0  0  0  0  0
437  0  0  0  0  0  0
438  0  0  0  0  0  0
439  0  0  0  0  0  0
440  0  0  0  0  0  0
441  0  0  0  0  0  0
442  0  0  0  0  0  0
443  0  0  0  0  0  0
444  0  0  0  0  0  0
445  0  0  0  0  0  0
446  0  0  0  0  0  0
447  0  0  0  0  0  0
448  0  0  0  0  0  0
449  0  0  0  0  0  0
450  0  0  0  0  0  0
451  0  0  0  0  0  0
452  0  0  0  0  0  0
453  0  0  0  0  0  0
454  0  0  0  0  0  0
455  0  0  0  0  0  0
456  0  0  0  0  0  0
457  0  0  0  0  0  0
458  0  0  0  0  0  0
459  0  0  0  0  0  0
460  0  0  0  0  0  0
461  0  0  0  0  0  0
462  0  0  0  0  0  0
463  0  0  0  0  0  0
464  0  0  0  0  0  0
465  0  0  0  0  0  0
466  0  0  0  0  0  0
467  0  0  0  0  0  0
468  0  0  0  0  0  0
469  0  0  0  0  0  0
470  0  0  0  0  0  0
471  0  0  0  0  0  0
472  0  0  0  0  0  0
473  0  0  0  0  0  0
474  0  0  0  0  0  0
475  0  0  0  0  0  0
476  0  0  0  0  0  0
477  0  0  0  0  0  0
478  0  0  0  0  0  0
479  0  0  0  0  0  0
480  0  0  0  0  0  0
481  0  0  0  0  0  0
482  0  0  0  0  0  0
483  0  0  0  0  0  0
484  0  0  0  0  0  0
485  0  0  0  0  0  0
486  0  0  0  0  0  0
487  0  0  0  0  0  0
488  0  0  0  0  0  0
489  0  0  0  0  0  0
490  0  0  0  0  0  0
491  0  0  0  0  0  0
492  0  0  0  0  0  0
493  0  0  0  0  0  0
494  0  0  0  0  0  0
495  0  0  0  0  0  0
496  0  0  0  0  0  0
497  0  0  0  0  0  0
498  0  0  0  0  0  0
499  0  0  0  0  0  0
500  0  0  0  0  0  0
501  0  0  0  0  0  0
502  0  0  0  0  0  0
503  0  0  0  0  0  0
504  0  0  0  0  0  0
505  0  0  0  0  0  0
506  0  0  0  0  0  0
507  0  0  0  0  0  0
508  0  0  0  0  0  0
509  0  0  0  0  0  0
510  0  0  0  0  0  0
511  0  0  0  0  0  0
512  0  0  0  0  0  0
513  0  0  0  0  0  0
514  0  0  0  0  0  0
515  0  0  0  0  0  0
516  0  0  0  0  0  0
517  0  0  0  0  0  0
518  0  0  0  0  0  0
519  0  0  0  0  0  0
520  0  0  0  0  0  0
521  0  0  0  0  0  0
522  0  0  0  0  0  0
523  0  0  0  0  0  0
524  0  0  0  0  0  0
525  0  0  0  0  0  0
526  0  0  0  0  0  0
527  0  0  0  0  0  0
528  0  0  0  0  0  0
529  0  0  0  0  0  0
530  0  0  0  0  0  0
531  0  0  0  0  0  0
532  0  0  0  0  0  0
533  0  0  0  0  0  0
534  0  0  0  0  0  0
535  0  0  0  0  0  0
536  0  0  0  0  0  0
537  0  0  0  0  0  0
538  0  0  0  0  0  0
539  0  0  0  0  0  0
540  0  0  0  0  0  0
541  0  0  0  0  0  0
542  0  0  0  0  0  0
543  0  0  0  0  0  0
544  0  0  0  0  0  0
545  0  0  0  0  0  0
546  0  0  0  0  0  0
547  0  0  0  0  0  0
548  0  0  0  0  0  0
549  0  0  0  0  0  0
550  0  0  0  0  0  0
551  0  0  0  0  0  0
552  0  0  0  0  0  0
553  0  0  0  0  0  0
554  0  0  0  0  0  0
555  0  0  0  0  0  0
556  0  0  0  0  0  0
557  0  0  0  0  0  0
558  0  0  0  0  0  0
559  0  0  0  0  0  0
