Position,dmel_rDNA_ETS_Other_rDNA.fa_002
1,53
2,54
3,54
4,55
5,57
6,57
7,58
8,58
9,58
10,60
11,61
12,62
13,64
14,64
15,65
16,65
17,65
18,65
19,65
20,66
21,66
22,66
23,66
24,65
25,65
26,65
27,69
28,69
29,70
30,70
31,70
32,63
33,63
34,66
35,66
36,67
37,68
38,68
39,69
40,70
41,69
42,68
43,68
44,66
45,67
46,69
47,69
48,69
49,69
50,69
51,69
52,65
53,65
54,65
55,65
56,65
57,65
58,65
59,64
60,67
61,67
62,68
63,68
64,68
65,68
66,69
67,69
68,68
69,67
70,66
71,65
72,65
73,63
74,63
75,63
76,63
77,71
78,72
79,72
80,73
81,72
82,72
83,72
84,72
85,73
86,73
87,73
88,74
89,74
90,73
91,73
92,73
93,74
94,73
95,73
96,72
97,72
98,71
99,71
100,72
101,71
102,71
103,71
104,71
105,71
106,70
107,70
108,71
109,73
110,73
111,72
112,71
113,70
114,69
115,69
116,68
117,68
118,68
119,68
120,61
121,61
122,61
123,61
124,69
125,70
126,70
127,71
128,71
129,71
130,72
131,73
132,73
133,72
134,73
135,72
136,72
137,71
138,69
139,69
140,69
141,68
142,68
143,69
144,68
145,68
146,66
147,66
148,66
149,68
150,69
151,69
152,67
153,68
154,67
155,67
156,67
157,68
158,66
159,65
160,65
161,65
162,64
163,64
164,63
165,61
166,61
167,61
168,61
169,64
170,65
171,65
172,65
173,65
174,65
175,65
176,66
177,65
178,65
179,64
180,65
181,64
182,64
183,64
184,64
185,65
186,66
187,67
188,65
189,66
190,66
191,65
192,66
193,66
194,67
195,67
196,66
197,67
198,66
199,66
200,67
201,67
202,66
203,65
204,65
205,65
206,65
207,65
208,65
209,65
210,65
211,65
212,65
213,65
214,65
215,65
216,65
217,65
218,65
219,66
220,65
221,64
222,64
223,63
224,61
225,60
226,60
227,59
228,59
229,60
230,60
231,62
232,61
233,61
234,63
235,63
236,62
237,62
238,62
239,62
240,61
241,63
242,63
243,63
244,63
245,62
246,63
247,64
248,65
249,64
250,63
251,63
252,62
253,60
254,64
255,65
256,66
257,65
258,65
259,65
260,63
261,61
262,61
263,61
264,60
265,62
266,63
267,61
268,61
269,60
270,61
271,61
272,62
273,62
274,62
275,62
276,61
277,61
278,61
279,61
280,61
281,60
282,58
283,57
284,57
285,57
286,57
287,57
288,61
289,63
290,63
291,64
292,64
293,64
294,64
295,63
296,63
297,65
298,65
299,65
300,64
301,63
302,64
303,64
304,65
305,64
306,64
307,64
308,64
309,64
310,65
311,66
312,66
313,66
314,66
315,65
316,65
317,64
318,64
319,64
320,63
321,63
