Position,RibosomalComplex_contig_690.fa_001
1,377
2,390
3,392
4,395
5,402
6,402
7,411
8,415
9,420
10,425
11,428
12,428
13,429
14,433
15,436
16,442
17,442
18,446
19,450
20,455
21,455
22,458
23,458
24,458
25,458
26,479
27,492
28,497
29,504
30,510
31,514
32,515
33,516
34,516
35,510
36,514
37,514
38,514
39,561
40,564
41,546
42,546
43,546
44,546
45,565
46,569
47,572
48,582
49,588
50,595
51,599
52,602
53,600
54,605
55,603
56,603
57,597
58,597
59,581
60,605
61,613
62,614
63,610
64,610
65,610
66,605
67,610
68,616
69,616
70,616
71,616
72,615
73,617
74,618
75,619
76,622
77,626
78,623
79,622
80,621
81,624
82,619
83,616
84,613
85,606
86,601
87,570
88,570
89,570
90,605
91,607
92,609
93,612
94,610
95,608
96,590
97,608
98,608
99,612
100,607
101,608
102,619
103,620
104,622
105,620
106,617
107,612
108,606
109,604
110,603
111,606
112,609
113,607
114,607
115,602
116,586
117,596
118,596
119,596
120,595
121,590
122,584
123,580
124,576
125,574
126,570
127,563
128,561
129,560
130,552
131,548
132,543
133,543
134,530
135,530
136,530
137,529
138,521
139,332
140,332
141,332
142,332
143,332
144,332
145,332
146,325
147,325
148,325
149,325
150,325
151,323
152,323
153,323
154,323
155,323
156,323
157,323
158,323
159,323
160,323
161,326
162,579
163,585
164,592
165,603
166,607
167,611
168,615
169,621
170,621
171,629
172,636
173,641
174,641
175,640
176,640
177,665
178,669
179,673
180,681
181,684
182,687
183,692
184,691
185,690
186,677
187,678
188,680
189,678
190,672
191,661
192,685
193,689
194,694
195,698
196,702
197,704
198,705
199,708
200,714
201,711
202,711
203,713
204,713
205,715
206,712
207,710
208,712
209,719
210,722
211,723
212,725
213,732
214,734
215,734
216,726
217,724
218,701
219,730
220,735
221,740
222,748
223,747
224,744
225,746
226,743
227,742
228,736
229,735
230,733
231,726
232,721
233,714
234,699
235,693
236,692
237,658
238,658
239,658
240,659
241,659
242,659
243,659
244,658
245,653
246,645
247,640
248,632
249,513
250,513
251,513
252,509
253,509
254,509
255,509
256,509
257,509
258,509
259,509
260,509
261,509
262,509
263,509
264,562
265,562
266,565
267,795
268,799
269,804
270,806
271,809
272,811
273,819
274,827
275,831
276,834
277,839
278,840
279,851
280,852
281,857
282,858
283,861
284,868
285,874
286,874
287,876
288,878
289,872
290,867
291,867
292,868
293,864
294,864
295,865
296,857
297,848
298,845
299,838
300,834
301,825
302,815
303,807
304,751
305,751
306,803
307,817
308,825
309,837
310,842
311,844
312,838
313,834
314,836
315,835
316,839
317,846
318,845
319,844
320,842
321,842
322,838
323,831
324,828
325,801
326,820
327,834
328,839
329,836
330,834
331,812
332,840
333,845
334,845
335,849
336,848
337,853
338,862
339,861
340,857
341,839
342,819
343,848
344,853
345,854
346,855
347,857
348,865
349,858
350,857
351,855
352,855
353,855
354,863
355,857
356,858
357,857
358,855
359,852
360,858
361,859
362,854
363,854
364,852
365,841
366,805
367,812
368,804
369,813
370,814
371,811
372,812
373,819
374,821
375,823
376,826
377,831
378,836
379,841
380,840
381,843
382,835
383,837
384,830
385,832
386,833
387,835
388,838
389,838
390,841
391,843
392,843
393,846
394,843
395,838
396,844
397,843
398,840
399,837
400,835
401,828
402,826
403,803
404,828
405,829
406,832
407,828
408,826
409,823
410,822
411,826
412,827
413,826
414,811
415,806
416,801
417,795
418,789
419,784
420,782
421,779
422,773
423,766
424,681
425,681
426,754
427,757
428,757
429,764
430,775
431,779
432,782
433,787
434,789
435,794
436,786
437,784
438,778
439,782
440,785
441,793
442,801
443,803
444,806
445,814
446,822
447,823
448,829
449,835
450,822
451,826
452,823
453,819
454,818
455,787
456,791
457,791
458,791
459,781
460,777
461,766
462,761
463,753
464,743
465,689
466,689
467,689
468,772
469,774
470,779
471,779
472,786
473,787
474,791
475,795
476,795
477,795
478,792
479,788
480,787
481,780
482,779
483,791
484,798
485,790
486,790
487,783
488,784
489,800
490,801
491,796
492,794
493,791
494,794
495,794
496,797
497,797
498,791
499,794
500,793
501,803
502,802
503,799
504,802
505,801
506,800
507,797
508,798
509,799
510,794
511,794
512,796
513,803
514,806
515,811
516,811
517,807
518,803
519,804
520,804
521,807
522,801
523,797
524,789
525,779
526,776
527,748
528,768
529,774
530,777
531,776
532,776
533,777
534,769
535,761
536,743
537,771
538,777
539,778
540,776
541,774
542,769
543,764
544,765
545,763
546,756
547,740
548,735
549,730
550,726
551,722
552,716
553,711
554,704
555,701
556,697
557,692
558,683
559,682
560,679
561,674
562,667
563,660
564,659
565,650
566,644
567,640
568,636
569,632
570,627
571,617
572,18
573,18
574,18
575,18
576,18
577,18
578,18
579,18
580,18
581,18
582,18
583,18
584,18
585,609
586,628
587,630
588,632
589,637
590,646
591,649
592,656
593,664
594,668
595,688
596,692
597,708
598,714
599,718
600,718
601,722
602,731
603,736
604,740
605,744
606,748
607,756
608,766
609,770
610,776
611,781
612,780
613,783
614,784
615,784
616,783
617,796
618,803
619,803
620,804
621,805
622,804
623,796
624,798
625,807
626,806
627,805
628,809
629,807
630,809
631,795
632,801
633,805
634,805
635,815
636,814
637,821
638,820
639,814
640,819
641,822
642,822
643,826
644,841
645,839
646,842
647,846
648,847
649,851
650,852
651,848
652,854
653,858
654,857
655,848
656,856
657,850
658,853
659,855
660,856
661,856
662,861
663,862
664,857
665,857
666,859
667,857
668,852
669,844
670,842
671,842
672,838
673,833
674,833
675,834
676,838
677,831
678,831
679,828
680,830
681,829
682,829
683,838
684,838
685,835
686,830
687,809
688,834
689,842
690,844
691,850
692,855
693,853
694,849
695,848
696,846
697,844
698,845
699,841
700,838
701,834
702,836
703,836
704,837
705,823
706,814
707,826
708,823
709,834
710,830
711,831
712,833
713,832
714,836
715,837
716,837
717,838
718,838
719,836
720,842
721,843
722,840
723,839
724,839
725,839
726,832
727,830
728,834
729,830
730,828
731,837
732,837
733,834
734,839
735,836
736,836
737,838
738,835
739,832
740,833
741,827
742,823
743,817
744,820
745,814
746,794
747,798
748,802
749,803
750,811
751,818
752,815
753,820
754,816
755,812
756,811
757,815
758,810
759,811
760,809
761,812
762,820
763,826
764,824
765,826
766,826
767,823
768,817
769,820
770,818
771,812
772,805
773,799
774,767
775,792
776,793
777,800
778,796
779,791
780,791
781,796
782,802
783,799
784,801
785,790
786,783
787,775
788,780
789,771
790,774
791,762
792,761
793,764
794,766
795,764
796,763
797,760
798,753
799,751
800,733
801,758
802,767
803,773
804,777
805,775
806,773
807,766
808,759
809,735
810,768
811,768
812,771
813,769
814,769
815,769
816,770
817,772
818,777
819,788
820,787
821,794
822,789
823,791
824,785
825,787
826,793
827,791
828,792
829,788
830,791
831,791
832,781
833,775
834,774
835,776
836,782
837,776
838,780
839,783
840,784
841,783
842,784
843,787
844,790
845,785
846,788
847,785
848,783
849,790
850,785
851,786
852,784
853,789
854,788
855,788
856,797
857,800
858,796
859,797
860,793
861,789
862,778
863,783
864,795
865,786
866,790
867,793
868,789
869,790
870,785
871,775
872,778
873,778
874,777
875,792
876,788
877,802
878,805
879,803
880,803
881,806
882,804
883,799
884,804
885,793
886,793
887,795
888,797
889,807
890,804
891,801
892,801
893,804
894,805
895,799
896,795
897,802
898,807
899,808
900,811
901,805
902,800
903,804
904,803
905,802
906,797
907,791
908,794
909,795
910,797
911,787
912,786
913,780
914,781
915,777
916,778
917,783
918,793
919,787
920,791
921,780
922,781
923,779
924,776
925,791
926,792
927,792
928,787
929,792
930,798
931,795
932,792
933,788
934,776
935,804
936,810
937,812
938,816
939,821
940,818
941,825
942,826
943,822
944,819
945,818
946,817
947,810
948,811
949,808
950,812
951,810
952,813
953,809
954,811
955,806
956,806
957,802
958,788
959,766
960,793
961,803
962,809
963,815
964,817
965,821
966,823
967,827
968,823
969,812
970,812
971,809
972,815
973,812
974,816
975,812
976,816
977,805
978,808
979,808
980,809
981,810
982,811
983,810
984,810
985,809
986,806
987,802
988,799
989,802
990,800
991,807
992,799
993,797
994,793
995,790
996,776
997,774
998,774
999,746
1000,774
1001,783
1002,785
1003,787
1004,785
1005,790
1006,792
1007,787
1008,786
1009,782
1010,786
1011,786
1012,784
1013,774
1014,775
1015,778
1016,773
1017,774
1018,773
1019,780
1020,779
1021,775
1022,773
1023,744
1024,763
1025,765
1026,772
1027,770
1028,767
1029,762
1030,755
1031,753
1032,750
1033,752
1034,747
1035,745
1036,748
1037,747
1038,751
1039,752
1040,760
1041,765
1042,769
1043,774
1044,775
1045,774
1046,788
1047,785
1048,777
1049,771
1050,758
1051,785
1052,787
1053,789
1054,795
1055,802
1056,805
1057,814
1058,822
1059,821
1060,827
1061,822
1062,823
1063,825
1064,824
1065,821
1066,823
1067,818
1068,815
