Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  1  0  0  0  0  1
2  1  0  0  0  0  1
3  1  0  0  0  0  1
4  2  0  0  0  0  2
5  2  0  0  0  1  3
6  10  0  0  0  0  10
7  10  0  0  0  0  10
8  10  0  0  0  0  10
9  10  0  0  0  0  10
10  10  0  0  0  0  10
11  10  0  0  0  0  10
12  10  0  0  0  0  10
13  10  0  0  0  0  10
14  10  0  0  0  0  10
15  10  0  0  0  0  10
16  10  0  0  0  0  10
17  10  0  0  0  0  10
18  10  0  0  0  0  10
19  10  0  0  0  0  10
20  10  0  0  0  0  10
21  10  0  0  0  0  10
22  10  0  0  0  0  10
23  10  0  0  0  0  10
24  9  1  0  0  0  10
25  9  1  0  0  0  10
26  10  0  0  0  0  10
27  10  0  0  0  0  10
28  9  0  1  0  0  10
29  10  0  0  0  0  10
30  10  0  0  0  0  10
31  0  2  8  0  0  10
32  10  0  0  0  0  10
33  8  0  2  0  0  10
34  10  0  0  0  0  10
35  10  0  0  0  0  10
36  10  0  0  0  0  10
37  9  0  0  0  1  10
38  10  0  0  0  0  10
39  9  0  0  1  0  10
40  10  0  0  0  0  10
41  10  0  0  0  0  10
42  10  0  0  0  0  10
43  10  0  0  0  0  10
44  10  0  0  0  0  10
45  8  2  0  0  0  10
46  10  0  0  0  0  10
47  10  0  0  0  0  10
48  12  0  0  0  0  12
49  11  0  0  0  0  11
50  8  3  0  0  0  11
51  11  0  0  0  0  11
52  10  1  0  0  0  11
53  10  0  0  1  0  11
54  8  0  0  0  0  8
55  6  0  0  0  0  6
56  5  0  0  0  0  5
57  5  0  0  0  0  5
58  4  0  1  0  0  5
59  5  0  0  0  0  5
60  4  0  0  0  0  4
61  2  1  0  0  0  3
62  3  0  0  0  0  3
63  3  0  0  0  0  3
64  3  0  0  0  0  3
65  3  0  0  0  0  3
66  3  0  0  0  0  3
67  3  0  0  0  0  3
68  3  0  0  0  0  3
69  3  0  0  0  0  3
70  3  0  0  0  0  3
71  2  0  0  0  0  2
72  2  0  0  0  0  2
73  2  0  0  0  0  2
74  2  0  0  0  0  2
75  2  0  0  0  0  2
76  2  0  0  0  0  2
77  2  0  0  0  0  2
78  2  0  0  0  0  2
79  2  0  0  0  0  2
80  2  0  0  0  0  2
81  2  0  0  0  0  2
82  2  0  0  0  0  2
83  2  0  0  0  0  2
84  2  0  0  0  0  2
85  2  0  0  0  0  2
86  2  0  0  0  0  2
87  2  0  0  0  0  2
88  2  0  0  0  0  2
89  2  0  0  0  0  2
90  2  0  0  0  0  2
91  2  0  0  0  0  2
92  2  0  0  0  0  2
93  2  0  0  0  0  2
94  2  0  0  0  0  2
95  2  0  0  0  0  2
96  2  0  0  0  0  2
97  3  0  0  0  0  3
98  3  0  0  0  0  3
99  3  0  0  0  0  3
100  2  0  0  0  0  2
101  2  0  0  0  0  2
102  2  0  0  0  0  2
103  2  0  0  0  0  2
104  2  0  0  0  0  2
105  2  0  0  0  0  2
106  2  0  0  0  0  2
107  2  0  0  0  0  2
108  3  0  0  0  0  3
109  3  0  0  0  0  3
110  5  0  0  0  0  5
111  5  0  0  0  0  5
112  5  0  0  0  0  5
113  5  0  0  0  0  5
114  5  0  0  0  0  5
115  5  0  0  0  0  5
116  5  0  0  0  0  5
117  5  0  0  0  0  5
118  5  0  0  0  0  5
119  4  0  0  0  0  4
120  4  0  0  0  0  4
121  4  0  0  0  0  4
122  4  0  0  0  0  4
123  4  0  0  0  0  4
124  4  0  0  0  0  4
125  4  0  0  0  0  4
126  3  1  0  0  0  4
127  4  0  0  0  0  4
128  3  0  1  0  0  4
129  3  0  0  0  1  4
130  0  0  4  0  0  4
131  4  0  0  0  0  4
132  4  0  0  0  0  4
133  4  0  0  0  0  4
134  5  0  0  1  0  6
135  5  1  0  0  0  6
136  7  0  0  0  0  7
137  7  0  0  0  0  7
138  8  0  0  0  0  8
139  8  0  0  0  0  8
140  1  0  0  0  7  8
141  14  0  0  1  0  15
142  16  0  0  0  0  16
143  16  0  0  0  0  16
144  16  0  0  0  0  16
145  14  0  2  0  0  16
146  16  0  0  0  0  16
147  18  0  0  0  0  18
148  15  0  0  0  2  17
149  17  0  0  0  0  17
150  18  0  0  0  0  18
151  18  0  0  0  0  18
152  18  0  1  0  0  19
153  23  0  0  0  0  23
154  23  0  0  0  0  23
155  23  0  0  0  0  23
156  22  0  1  0  0  23
157  23  0  0  0  0  23
158  22  0  0  1  0  23
159  24  0  0  0  0  24
160  24  0  0  4  0  28
161  28  0  0  0  0  28
162  28  0  1  0  0  29
163  25  4  0  0  0  29
164  34  0  0  0  0  34
165  45  0  0  0  0  45
166  45  0  0  0  0  45
167  44  0  1  0  0  45
168  46  0  0  0  0  46
169  46  0  0  0  0  46
170  46  0  0  0  0  46
171  46  0  0  0  0  46
172  44  0  2  0  0  46
173  45  0  0  0  0  45
174  45  0  0  0  0  45
175  48  0  0  0  0  48
176  49  0  0  0  0  49
177  49  0  0  0  0  49
178  46  1  0  0  1  48
179  2  46  0  0  0  48
180  48  0  0  0  0  48
181  47  0  1  0  0  48
182  45  0  0  1  2  48
183  47  0  1  0  0  48
184  48  0  0  0  0  48
185  3  0  0  0  41  44
186  3  41  0  0  0  44
187  56  0  0  1  0  56
188  56  0  0  0  0  56
189  56  0  0  0  0  56
190  59  1  0  0  0  60
191  61  0  0  0  0  61
192  59  1  1  0  0  61
193  60  0  0  1  0  61
194  59  0  0  0  0  59
195  60  0  0  0  0  60
196  12  0  47  0  0  59
197  62  0  0  0  0  62
198  64  0  0  0  0  64
199  64  0  0  0  0  64
200  65  0  0  0  0  65
201  64  0  0  0  0  64
202  63  0  1  0  0  64
203  65  0  0  0  0  65
204  65  0  0  0  0  65
205  64  0  0  0  0  64
206  62  0  0  0  0  62
207  64  0  0  0  0  64
208  64  0  0  0  0  64
209  63  1  0  0  0  64
210  61  0  0  0  3  64
211  65  2  0  0  0  67
212  67  0  0  0  0  67
213  70  0  0  0  0  70
214  69  0  0  0  0  69
215  69  0  0  0  0  69
216  70  0  0  0  0  70
217  72  0  0  0  0  72
218  71  0  0  0  0  71
219  67  0  4  0  0  71
220  70  0  0  0  0  70
221  68  0  2  0  0  70
222  57  3  9  0  0  69
223  66  0  4  0  0  70
224  70  0  0  0  1  71
225  73  0  0  0  0  73
226  71  0  0  0  0  71
227  70  0  0  0  0  70
228  74  0  0  0  0  74
229  74  0  0  0  0  74
230  73  0  1  0  0  74
231  73  0  0  0  0  73
232  75  0  0  0  0  75
233  75  0  0  1  0  76
234  77  0  0  0  0  77
235  77  0  0  0  0  77
236  77  0  0  0  0  77
237  78  0  0  0  0  78
238  81  0  0  0  0  81
239  79  4  0  0  0  83
240  84  0  0  0  1  85
241  85  0  0  0  0  85
242  86  0  0  0  0  86
243  85  0  0  0  0  85
244  85  0  0  0  0  85
245  86  0  0  0  0  86
246  86  0  0  0  0  86
247  86  0  0  0  0  86
248  77  7  1  0  0  85
249  0  1  0  0  83  84
250  89  0  0  0  0  89
251  90  0  0  0  0  90
252  92  0  0  0  0  92
253  94  0  0  0  0  94
254  95  0  1  0  0  96
255  96  0  0  0  0  96
256  97  0  0  0  0  97
257  98  0  0  0  0  98
258  97  0  0  0  1  98
259  97  0  0  0  0  97
260  93  1  2  0  0  96
261  91  0  0  4  0  95
262  91  5  0  0  0  96
263  96  0  0  0  0  96
264  102  0  0  1  0  103
265  102  0  1  0  0  103
266  107  0  0  0  0  107
267  109  0  0  0  0  109
268  109  0  0  0  0  109
269  100  5  0  0  4  109
270  110  1  0  0  0  111
271  111  0  0  0  0  111
272  111  0  0  0  0  111
273  104  0  0  0  7  111
274  111  0  0  0  0  111
275  110  0  0  0  0  110
276  108  0  0  0  0  108
277  37  0  67  0  0  104
278  107  0  0  0  0  107
279  107  0  0  0  0  107
280  108  0  0  0  0  108
281  108  0  0  0  0  108
282  108  0  0  0  0  108
283  106  0  1  0  0  107
284  108  0  0  0  0  108
285  107  0  0  0  0  107
286  106  0  0  1  0  107
287  106  0  0  0  0  106
288  105  0  0  0  0  105
289  107  0  0  0  0  107
290  107  0  0  0  0  107
291  105  0  0  0  0  105
292  102  0  0  0  2  104
293  96  0  8  0  0  104
294  105  1  0  0  0  106
295  102  1  2  0  1  106
296  105  0  2  0  0  107
297  102  0  0  0  4  106
298  106  0  0  0  0  106
299  105  0  0  0  0  105
300  103  0  1  1  0  105
301  69  0  0  0  35  104
302  105  0  0  0  0  105
303  105  0  0  0  0  105
304  103  0  2  0  0  105
305  106  0  0  0  0  106
306  106  0  0  0  0  106
307  102  0  1  0  0  103
308  104  0  1  0  0  104
309  104  0  0  0  0  104
310  101  1  0  0  4  105
311  105  0  0  0  0  105
312  104  0  0  0  0  104
313  103  1  0  0  0  104
314  104  0  0  0  0  104
315  86  0  19  0  0  105
316  102  2  0  0  0  104
317  101  0  0  0  0  101
318  101  0  0  0  0  101
319  83  19  0  0  0  102
320  101  0  1  0  0  102
321  103  0  0  0  0  103
322  103  0  0  0  0  103
323  104  0  0  0  0  104
324  106  0  0  0  0  105
325  103  0  0  0  0  103
326  101  0  0  0  0  101
327  3  91  0  0  0  94
328  106  0  0  0  0  105
329  105  0  0  0  0  105
330  106  0  2  0  1  109
331  111  0  0  0  0  111
332  111  0  0  1  0  112
333  105  4  0  0  0  109
334  107  0  0  0  0  107
335  109  0  0  0  0  108
336  107  0  2  0  0  109
337  86  0  17  0  0  103
338  102  0  0  0  0  101
339  103  0  0  0  0  103
340  101  2  0  0  0  103
341  102  0  0  0  0  102
342  106  0  0  0  0  105
343  105  0  0  0  0  104
344  103  0  0  0  0  103
345  102  0  0  0  0  102
346  100  1  0  0  0  101
347  102  0  0  0  0  102
348  112  1  0  0  0  111
349  112  0  0  0  0  112
350  108  0  0  0  2  110
351  111  0  0  0  0  111
352  109  0  0  0  1  110
353  95  1  10  0  0  106
354  104  0  0  0  0  104
355  54  45  0  0  0  99
356  6  0  0  92  0  98
357  99  4  0  1  0  103
358  105  0  0  0  0  105
359  107  0  0  0  0  107
360  107  0  0  0  0  107
361  105  0  0  0  0  105
362  97  2  8  0  0  107
363  100  4  1  0  0  105
364  104  0  1  0  0  104
365  57  42  0  0  0  99
366  103  0  0  0  0  103
367  103  0  0  0  0  103
368  102  0  0  0  0  102
369  102  0  0  0  0  102
370  103  0  0  0  0  103
371  103  0  0  0  0  103
372  103  0  0  0  0  103
373  103  0  0  0  0  103
374  102  0  0  0  0  102
375  101  0  0  0  0  101
376  101  0  0  0  0  101
377  98  0  0  0  0  98
378  96  0  2  0  0  98
379  92  5  0  0  0  97
380  95  1  0  0  0  96
381  95  0  0  0  0  95
382  96  0  0  0  0  96
383  96  0  0  0  0  96
384  95  0  0  0  0  95
385  93  0  0  0  2  95
386  66  25  2  0  0  93
387  92  0  0  0  0  92
388  87  2  1  0  0  90
389  36  0  3  51  0  90
390  90  0  0  0  0  90
391  89  0  1  0  0  90
392  91  0  0  0  0  91
393  88  0  0  0  0  88
394  77  0  11  0  0  88
395  84  0  5  0  0  89
396  80  6  2  0  0  88
397  87  0  0  0  0  87
398  88  0  0  0  0  88
399  64  0  23  0  0  87
400  92  0  0  1  0  93
401  89  0  0  3  0  92
402  89  1  0  0  0  90
403  90  0  0  0  0  90
404  47  0  1  1  0  49
405  43  0  1  0  0  44
406  37  1  0  0  0  38
407  39  0  0  0  0  39
408  35  0  2  0  0  37
409  34  0  1  0  0  35
410  34  0  0  1  0  35
411  35  0  0  0  0  35
412  35  0  0  0  0  35
413  28  0  8  0  0  36
414  36  0  0  1  0  37
415  33  2  0  0  0  35
416  35  0  0  0  0  35
417  29  0  7  0  0  36
418  38  2  1  0  0  41
419  52  0  0  0  0  52
420  60  0  0  0  0  60
421  66  0  0  0  0  66
422  72  0  0  0  0  72
423  76  1  4  0  0  81
424  93  0  1  0  0  94
425  99  0  0  0  0  99
426  102  0  0  0  3  105
427  112  0  0  0  0  112
428  115  0  0  0  1  116
429  118  0  1  0  0  119
430  121  0  0  0  0  121
431  110  2  10  0  0  122
432  118  5  3  0  0  126
433  129  0  1  0  0  130
434  133  0  0  0  0  133
435  136  0  1  0  0  137
436  139  0  0  2  0  141
437  144  0  0  0  0  144
438  143  0  2  0  0  145
439  147  0  0  0  0  147
440  149  0  0  0  2  151
441  149  0  0  0  2  151
442  133  19  0  0  0  152
443  157  0  0  0  0  157
444  153  3  2  0  1  159
445  161  0  0  1  1  163
446  165  0  0  0  0  165
447  166  0  0  0  1  167
448  166  0  0  1  0  167
449  168  2  0  0  0  170
450  168  5  0  0  0  173
451  170  0  4  0  0  174
452  164  4  5  0  1  174
453  172  0  1  1  0  174
454  167  0  0  1  6  174
455  176  0  0  0  0  176
456  176  0  0  0  0  176
457  173  1  1  1  0  176
458  175  0  0  0  0  175
459  171  5  3  0  0  179
460  179  0  1  0  0  180
461  179  0  0  0  0  179
462  179  0  0  0  0  179
463  181  0  0  0  0  181
464  182  0  0  0  0  182
465  180  0  1  0  0  181
466  181  0  0  0  0  181
467  172  3  6  0  0  181
468  181  0  0  0  0  181
469  179  0  0  3  0  182
470  182  0  1  0  0  183
471  178  0  5  0  0  183
472  183  0  0  0  0  183
473  183  0  0  0  0  183
474  183  0  0  0  0  183
475  183  0  0  0  0  183
476  176  1  7  0  0  184
477  182  2  0  0  0  184
478  186  0  0  0  0  186
479  169  16  4  0  0  189
480  189  0  0  0  0  189
481  188  0  0  0  0  188
482  186  0  0  1  0  187
483  188  0  0  0  0  188
484  188  0  0  0  0  188
485  188  0  0  0  0  188
486  180  0  6  2  0  188
487  177  11  0  0  0  188
488  180  0  3  4  0  187
489  186  0  3  0  0  189
490  191  0  0  0  0  191
491  186  4  0  0  0  190
492  189  0  0  0  0  189
493  182  7  0  0  0  189
494  180  2  7  0  0  189
495  187  0  0  0  2  189
496  187  0  0  0  0  187
497  176  1  8  1  0  186
498  185  0  0  0  0  185
499  162  18  5  0  1  186
500  184  1  0  0  1  186
501  187  0  0  0  0  187
502  189  0  0  0  0  189
503  173  3  11  0  0  187
504  184  0  0  1  1  186
505  185  1  0  0  0  186
506  186  0  0  0  0  186
507  184  0  0  0  1  185
508  184  0  0  0  0  184
509  177  0  4  4  0  185
510  185  0  0  0  0  185
511  184  0  0  0  0  184
512  179  5  0  0  0  184
513  170  8  0  0  0  178
514  156  0  0  0  0  156
515  156  0  0  0  0  156
516  155  0  0  0  0  155
517  151  0  0  0  3  154
518  150  2  1  2  0  155
519  147  0  1  0  0  148
520  119  0  0  0  0  119
521  116  0  2  0  1  119
522  118  0  0  0  0  118
523  118  0  0  0  0  118
524  116  0  1  0  0  117
525  106  0  3  0  0  109
526  101  3  0  0  0  104
527  101  0  0  0  0  101
528  97  0  1  0  0  98
529  94  0  0  0  0  94
530  0  0  86  0  0  86
531  89  1  0  0  0  90
532  90  0  0  0  0  90
533  85  1  0  0  0  87
534  85  0  0  0  0  85
535  82  0  0  0  0  82
536  75  3  1  0  0  79
537  76  0  0  0  0  76
538  74  0  0  0  0  74
539  70  0  0  0  0  70
540  66  0  6  0  0  72
541  72  0  0  0  0  72
542  44  15  0  0  0  59
543  59  1  0  0  0  60
544  60  0  0  0  0  60
545  61  0  0  0  0  61
546  61  0  0  0  0  61
547  61  0  0  0  0  61
548  59  0  0  1  0  60
549  59  0  0  0  0  59
550  56  0  0  0  0  56
551  49  2  3  0  0  54
552  54  0  0  0  1  55
553  52  2  1  0  0  55
554  55  1  0  0  0  56
555  56  0  0  0  0  56
556  55  0  0  0  0  55
557  54  0  0  0  0  54
558  52  0  1  0  0  53
559  50  1  2  0  0  53
560  51  0  0  0  0  51
561  50  0  0  0  0  50
562  50  0  0  0  0  50
563  48  0  0  0  0  48
564  48  0  0  0  0  48
565  49  0  0  0  0  49
566  48  2  0  0  0  50
567  49  0  2  0  0  51
568  51  0  0  0  0  51
569  51  0  0  0  0  51
570  52  0  0  0  0  52
571  52  0  0  0  0  52
572  52  0  0  2  0  54
573  55  0  0  0  0  55
574  55  0  0  0  0  55
575  50  0  5  0  0  55
576  56  0  0  0  0  56
577  55  0  0  0  0  55
578  55  0  0  0  0  55
579  52  0  0  0  0  52
580  39  1  10  1  0  51
581  52  0  0  0  0  52
582  50  1  1  0  0  52
583  52  0  0  0  0  52
584  52  0  0  0  0  52
585  49  0  1  0  0  50
586  50  0  0  0  0  50
587  49  0  0  0  0  49
588  48  0  0  0  0  48
589  45  0  0  0  0  45
590  44  0  0  0  0  44
591  35  0  9  0  0  44
592  43  0  0  0  0  43
593  43  0  0  0  0  43
594  41  2  0  0  0  43
595  42  0  0  0  0  42
596  40  0  0  0  0  41
597  41  0  0  0  0  41
598  41  0  0  0  0  41
599  40  0  0  0  0  40
600  29  1  9  0  0  39
601  35  2  0  0  0  37
602  32  2  1  0  2  37
603  37  0  0  0  0  37
604  36  0  0  0  0  36
605  36  0  0  0  0  36
606  32  0  4  0  0  36
607  34  0  0  0  0  34
608  33  1  0  0  0  34
609  34  0  0  0  0  34
610  34  0  0  0  0  34
611  34  0  0  0  0  34
612  34  0  0  0  0  34
613  35  0  0  0  0  35
614  34  0  0  1  0  35
615  35  0  0  0  0  35
616  35  0  0  0  0  35
617  35  0  0  0  0  35
618  34  0  0  0  0  34
619  34  0  0  0  0  34
620  15  18  0  0  0  33
621  34  0  0  0  0  34
622  32  0  0  0  2  34
623  33  0  1  0  0  34
624  34  0  0  0  0  34
625  34  0  0  0  0  34
626  34  0  1  0  0  35
627  37  0  0  0  0  37
628  32  0  6  0  0  38
629  37  0  0  0  0  37
630  38  0  0  0  0  38
631  39  0  0  0  0  39
632  40  0  0  0  0  40
633  40  0  0  0  0  40
634  39  0  0  1  0  40
635  40  0  0  0  0  40
636  37  0  3  0  0  40
637  39  0  0  1  0  40
638  40  0  0  0  0  40
639  40  0  0  0  0  40
640  41  0  0  0  0  41
641  41  0  0  0  0  41
642  40  0  0  0  0  40
643  39  0  0  0  0  39
644  41  0  0  0  0  41
645  33  0  0  0  0  33
646  32  0  0  0  0  32
647  32  0  0  0  0  32
648  33  0  0  0  0  33
649  34  0  0  0  0  34
650  35  0  0  0  0  35
651  36  0  0  0  0  36
652  34  0  0  1  0  35
653  35  0  0  0  0  35
654  35  0  0  0  0  35
655  31  0  0  1  0  32
656  32  0  0  0  0  32
657  34  0  0  0  0  34
658  34  0  0  0  0  34
659  33  0  1  0  0  34
660  34  0  0  0  0  34
661  32  0  2  0  0  34
662  1  31  0  0  0  32
663  34  0  0  0  0  34
664  36  0  0  0  0  36
665  37  0  0  0  0  37
666  38  0  0  0  0  38
667  35  0  0  0  0  35
668  35  0  0  0  0  35
669  35  0  0  0  0  35
670  36  0  0  0  0  36
671  36  0  0  0  0  36
672  37  0  0  0  0  37
673  36  0  0  0  0  36
674  36  0  0  0  0  36
675  38  0  0  0  0  38
676  38  0  0  0  0  38
677  38  0  0  0  0  38
678  38  0  0  0  0  38
679  38  0  0  0  0  38
680  38  0  0  0  0  38
681  38  0  0  0  0  38
682  38  0  0  0  0  38
683  38  0  0  0  0  38
684  40  0  0  0  0  40
685  40  0  0  0  0  40
686  40  0  0  0  0  40
687  41  0  0  0  0  41
688  41  0  0  0  0  41
689  41  0  0  0  0  41
690  41  0  0  0  0  41
691  41  0  0  0  0  41
692  40  0  0  1  0  41
693  41  0  0  0  0  41
694  41  0  0  0  0  41
695  44  0  0  0  0  44
696  44  0  0  0  0  44
697  44  0  0  0  0  44
698  44  0  0  0  0  44
699  46  0  0  0  0  46
700  47  0  0  0  0  47
701  47  0  0  0  0  47
702  47  0  0  0  0  47
703  48  0  0  0  0  48
704  48  0  0  0  0  48
705  48  0  1  0  0  49
706  49  0  0  0  0  49
707  48  0  0  0  1  49
708  49  0  0  0  1  50
709  50  0  0  0  0  50
710  51  0  0  0  0  51
711  51  0  0  0  0  51
712  51  0  1  0  0  52
713  51  0  0  0  0  51
714  52  0  0  0  0  52
715  53  0  0  0  0  53
716  53  0  0  0  0  53
717  51  0  0  0  0  51
718  50  0  0  0  1  51
719  51  0  0  0  0  51
720  52  0  0  0  0  52
721  51  0  0  0  0  51
722  50  0  0  0  0  50
723  50  0  1  0  0  51
724  49  2  0  0  0  51
725  54  0  0  0  0  54
726  53  0  0  0  0  53
727  52  0  0  0  0  52
728  49  0  0  0  0  49
729  49  0  0  0  0  49
730  48  0  0  0  0  48
731  48  0  0  0  0  48
732  51  0  0  0  0  51
733  52  0  0  0  0  52
734  55  0  0  0  0  55
735  55  0  0  0  0  55
736  48  3  0  0  0  51
737  50  0  1  0  0  51
738  51  0  0  0  0  51
739  49  0  0  0  0  49
740  49  0  0  0  0  49
741  48  0  0  0  0  48
742  47  0  0  0  0  47
743  47  0  0  0  0  47
744  40  4  2  0  0  46
745  46  0  0  0  0  46
746  47  0  0  0  0  47
747  42  1  0  3  0  46
748  45  0  0  0  0  45
749  45  0  0  0  0  45
750  40  4  0  0  0  44
751  44  0  0  0  0  44
752  37  0  7  0  0  44
753  44  0  0  0  0  44
754  44  0  0  0  0  44
755  43  0  0  0  0  43
756  42  0  0  0  0  42
757  41  0  0  0  1  42
758  39  0  0  3  0  42
759  40  0  2  0  0  42
760  40  0  0  0  0  40
761  40  0  0  0  0  40
762  35  0  4  0  0  39
763  38  1  0  0  0  39
764  35  0  3  0  0  38
765  37  0  0  0  1  38
766  37  0  0  0  0  37
767  36  0  1  0  0  37
768  37  0  0  0  0  37
769  38  0  0  0  0  38
770  37  0  0  0  1  38
771  37  1  0  0  0  38
772  38  0  0  0  0  38
773  39  0  0  0  0  39
774  33  0  2  3  0  38
775  38  0  0  0  0  38
776  37  0  0  0  0  37
777  37  0  0  0  0  37
778  38  0  0  0  0  38
779  40  0  0  0  0  40
780  40  0  0  0  0  40
781  26  0  12  0  0  38
782  39  0  0  0  0  39
783  43  1  0  0  0  44
784  45  0  0  0  0  45
785  48  0  0  0  0  48
786  51  1  0  0  0  52
787  55  1  0  0  0  56
788  57  0  0  0  1  58
789  65  0  1  0  0  66
790  67  0  0  0  0  67
791  72  0  0  0  0  72
792  75  0  1  0  0  76
793  80  0  0  0  0  80
794  82  0  0  2  0  84
795  83  2  0  0  0  85
796  85  0  0  0  0  85
797  97  0  1  0  0  98
798  101  0  0  0  0  101
799  107  1  0  0  0  108
800  112  0  1  0  0  113
801  121  0  0  0  0  121
802  127  0  0  0  0  127
803  136  0  0  0  0  136
804  131  0  4  0  0  135
805  135  0  0  0  0  135
806  0  0  132  1  0  133
807  161  0  0  0  0  161
808  162  0  0  0  0  162
809  170  0  0  0  0  170
810  169  0  1  0  0  170
811  172  0  0  0  0  172
812  174  1  0  0  0  175
813  167  6  2  0  0  175
814  173  0  0  0  0  173
815  175  0  0  0  0  175
816  173  0  0  1  1  175
817  175  0  0  0  0  175
818  169  4  4  0  0  177
819  177  0  0  1  0  178
820  178  0  1  0  0  179
821  178  0  0  1  0  179
822  178  0  1  1  0  180
823  177  1  1  0  0  179
824  180  0  0  0  0  180
825  182  0  0  0  0  182
826  179  0  0  0  0  179
827  179  0  0  0  0  179
828  179  0  0  1  0  180
829  179  2  0  0  0  181
830  181  0  0  0  0  181
831  177  1  0  0  2  180
832  178  1  0  0  1  180
833  179  0  0  0  0  179
834  172  1  3  0  4  180
835  180  0  0  0  0  180
836  178  0  0  0  0  178
837  178  0  0  0  0  178
838  178  0  0  0  0  178
839  175  3  0  0  0  178
840  176  0  2  0  0  178
841  171  7  0  0  0  178
842  177  0  0  1  0  178
843  178  0  0  0  0  178
844  177  0  0  0  0  177
845  177  0  0  0  0  177
846  175  0  2  0  0  177
847  175  2  0  0  0  177
848  174  1  2  0  0  177
849  170  6  0  0  1  177
850  177  0  0  0  0  177
851  177  0  0  0  0  177
852  158  9  10  0  0  177
853  171  1  0  0  5  177
854  174  3  0  0  0  177
855  174  0  1  2  0  177
856  177  0  0  0  0  177
857  172  5  0  0  0  177
858  177  0  0  0  0  177
859  177  0  0  0  0  177
860  164  0  13  0  0  177
861  176  2  0  0  0  178
862  175  0  1  0  2  178
863  178  0  0  0  0  178
864  178  0  0  0  0  178
865  178  0  0  0  0  178
866  178  0  0  0  0  178
867  173  0  4  0  4  181
868  181  0  0  0  0  181
869  178  0  0  0  0  178
870  178  0  0  0  0  178
871  178  0  0  0  0  178
872  178  0  0  1  0  179
873  179  0  0  0  0  179
874  175  4  0  0  0  179
875  180  0  0  0  0  180
876  168  8  2  0  0  178
877  179  0  0  0  0  179
878  172  0  6  0  0  178
879  171  0  6  0  0  177
880  174  0  0  1  1  176
881  172  4  0  0  0  176
882  173  0  0  0  0  173
883  169  2  0  0  0  171
884  170  0  0  0  0  170
885  162  0  2  0  0  164
886  156  0  0  5  1  162
887  155  2  0  0  0  157
888  152  0  0  0  1  153
889  145  2  0  0  0  147
890  140  0  5  0  0  145
891  137  4  0  0  0  141
892  138  0  0  0  0  138
893  136  0  0  0  0  136
894  128  1  0  0  0  129
895  123  0  4  0  0  127
896  126  0  0  0  0  126
897  118  0  0  0  0  118
898  113  0  0  0  0  113
899  104  0  0  0  0  104
900  97  0  2  0  0  99
901  92  0  0  0  0  92
902  86  0  0  1  0  87
903  77  0  0  0  1  78
904  70  0  0  0  1  71
905  57  3  0  0  0  60
906  52  0  0  0  0  52
907  50  0  2  0  0  52
908  48  2  0  0  0  50
909  47  0  0  0  0  47
910  45  1  0  0  0  46
911  45  0  0  0  0  45
912  41  1  0  0  0  42
913  41  0  0  0  0  41
914  41  0  0  0  0  41
915  40  0  0  0  0  40
916  42  0  0  0  0  42
917  39  0  0  0  2  41
918  41  0  0  1  0  42
919  41  0  0  0  0  41
920  39  0  0  0  0  39
921  36  0  1  0  0  37
922  37  0  0  0  0  37
923  36  0  0  0  0  36
924  37  0  0  0  0  37
925  36  0  0  0  0  36
926  36  0  0  0  0  36
927  36  0  0  0  0  36
928  32  0  3  0  0  35
929  31  5  0  0  0  36
930  36  1  0  0  0  37
931  36  0  0  0  0  36
932  36  0  0  0  0  36
933  36  0  0  0  0  36
934  37  0  0  0  0  37
935  37  0  0  0  0  37
936  34  3  0  0  0  37
937  38  0  0  0  0  38
938  37  1  0  0  0  38
939  37  1  0  0  0  38
940  38  1  0  0  0  39
941  39  1  0  0  0  40
942  40  0  0  1  0  41
943  43  0  0  0  0  43
944  45  0  0  0  0  45
945  34  0  11  0  0  45
946  47  0  0  0  0  47
947  47  0  0  0  0  47
948  48  0  0  0  0  48
949  47  0  2  0  0  49
950  48  0  0  0  0  48
951  47  1  0  0  0  48
952  49  0  0  0  1  50
953  50  0  0  0  0  50
954  50  0  0  0  0  50
955  48  0  1  0  0  49
956  1  0  0  48  0  49
957  53  0  1  0  0  54
958  54  0  0  0  0  54
959  55  0  0  0  0  55
960  56  0  1  0  0  57
961  58  0  0  0  0  58
962  60  0  0  0  0  60
963  61  0  0  0  0  61
964  62  0  0  0  0  62
965  61  0  0  0  0  61
966  62  0  0  0  0  62
967  59  0  0  1  0  60
968  61  0  0  0  0  61
969  59  0  0  0  0  59
970  60  0  0  0  0  60
971  60  0  0  0  0  60
972  60  0  0  0  0  60
973  59  0  1  0  0  60
974  0  0  0  59  0  59
975  59  0  0  0  0  59
