Position,EU195798_2_Solanum_lycopersicum_retrotransposon_Kielia__complete_sequence.fa_005
1,7
2,7
3,7
4,7
5,8
6,11
7,11
8,11
9,11
10,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
26,11
27,11
28,11
29,11
30,11
31,11
32,11
33,11
34,11
35,11
36,11
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,9
46,9
47,9
48,9
49,9
50,9
51,8
52,7
53,6
54,6
55,3
56,3
57,3
58,3
59,3
60,3
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,3
130,3
131,3
132,3
133,3
134,8
135,8
136,11
137,11
138,11
139,11
140,11
141,14
142,14
143,14
144,14
145,14
146,18
147,21
148,21
149,21
150,22
151,23
152,23
153,29
154,29
155,29
156,29
157,30
158,30
159,30
160,33
161,33
162,33
163,33
164,41
165,41
166,41
167,50
168,50
169,50
170,50
171,50
172,51
173,51
174,52
175,51
176,51
177,51
178,51
179,49
180,50
181,49
182,49
183,49
184,49
185,47
186,47
187,55
188,55
189,55
190,59
191,59
192,61
193,59
194,60
195,60
196,56
197,58
198,59
199,60
200,59
201,58
202,58
203,59
204,59
205,60
206,60
207,60
208,60
209,59
210,60
211,62
212,60
213,61
214,61
215,62
216,61
217,60
218,59
219,60
220,61
221,60
222,60
223,60
224,61
225,61
226,64
227,65
228,65
229,64
230,64
231,64
232,69
233,68
234,67
235,67
236,67
237,67
238,65
239,66
240,67
241,74
242,76
243,75
244,75
245,78
246,77
247,76
248,75
249,75
250,85
251,86
252,86
253,89
254,90
255,90
256,89
257,90
258,89
259,91
260,91
261,90
262,91
263,90
264,89
265,90
266,90
267,91
268,91
269,91
270,91
271,91
272,90
273,88
274,89
275,89
276,87
277,87
278,87
279,87
280,88
281,87
282,89
283,89
284,90
285,88
286,86
287,85
288,85
289,85
290,85
291,85
292,84
293,82
294,81
295,82
296,82
297,80
298,81
299,80
300,80
301,78
302,78
303,78
304,79
305,80
306,80
307,80
308,80
309,79
310,78
311,78
312,79
313,79
314,80
315,81
316,81
317,82
318,86
319,86
320,86
321,84
322,83
323,88
324,88
