Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  16  0  0  0  0  11
2  12  0  0  0  0  12
3  14  0  0  0  0  13
4  15  0  0  0  0  14
5  15  0  0  0  0  15
6  14  1  0  0  0  15
7  18  0  0  0  0  17
8  22  0  0  0  0  21
9  21  0  0  0  0  21
10  23  0  0  0  0  23
11  23  0  0  0  0  23
12  21  0  0  3  0  24
13  21  0  3  0  0  24
14  24  0  0  0  0  24
15  25  0  0  0  0  25
16  25  0  0  0  0  25
17  25  0  0  0  0  25
18  26  0  0  0  0  26
19  29  0  0  0  0  28
20  30  0  0  0  0  29
21  30  0  0  0  0  30
22  30  0  0  0  0  30
23  30  0  0  0  0  30
24  26  4  0  0  0  30
25  28  0  2  0  0  30
26  15  13  2  0  0  30
27  33  4  0  0  0  34
28  34  0  0  0  0  34
29  36  0  0  0  0  35
30  40  0  0  0  0  38
31  42  0  0  0  0  40
32  44  0  0  0  0  42
33  42  0  0  0  0  42
34  48  0  0  0  0  45
35  45  0  0  0  0  45
36  56  0  0  1  0  51
37  50  5  0  0  0  53
38  52  1  0  0  0  53
39  53  0  0  4  0  55
40  48  4  0  0  3  55
41  59  0  0  0  0  57
42  57  0  0  0  0  57
43  57  0  0  0  0  57
44  55  0  0  0  2  57
45  57  0  0  0  0  57
46  57  0  0  0  1  58
47  58  0  0  0  0  58
48  57  1  0  0  0  58
49  57  0  0  1  0  58
50  54  0  0  4  0  58
51  43  4  11  0  0  58
52  59  0  0  0  0  58
53  60  0  0  0  0  59
54  58  1  0  0  0  59
55  59  0  0  0  0  59
56  47  12  0  0  0  59
57  61  0  0  0  0  61
58  61  0  0  0  0  61
59  61  0  0  0  0  61
60  61  0  0  0  0  61
61  61  0  0  0  0  61
62  60  0  0  0  0  60
63  21  0  38  0  0  59
64  59  0  0  0  0  59
65  59  0  0  0  0  59
66  59  0  0  0  0  59
67  60  0  0  0  0  60
68  59  0  0  0  0  59
69  59  0  0  0  0  59
70  57  1  0  0  0  58
71  57  0  1  0  0  58
72  58  0  0  0  0  58
73  58  0  0  0  0  58
74  58  0  0  0  0  58
75  58  0  0  0  0  58
76  55  1  2  0  0  58
77  0  58  0  0  0  58
78  60  0  0  0  0  60
79  60  1  0  0  0  61
80  60  0  0  1  0  61
81  62  0  0  0  0  62
82  62  0  0  0  0  62
83  62  0  0  0  0  62
84  0  0  62  0  0  62
85  67  0  0  0  0  66
86  66  0  0  0  0  66
87  67  0  0  0  0  67
88  68  0  0  2  0  69
89  71  0  0  0  0  70
90  69  0  0  0  0  69
91  69  0  0  0  0  69
92  71  0  0  0  0  70
93  72  0  0  0  0  71
94  71  0  0  0  0  71
95  71  0  0  0  0  71
96  71  0  0  0  0  71
97  68  0  0  0  0  68
98  68  0  1  0  0  68
99  45  0  0  24  0  69
100  66  0  0  1  0  67
101  66  0  0  1  0  67
102  69  0  0  0  0  69
103  68  0  0  0  0  68
104  68  0  0  0  0  68
105  67  0  0  0  0  67
106  66  0  1  0  0  67
107  65  0  0  0  0  65
108  66  0  0  0  0  66
109  67  0  0  0  0  66
110  65  1  0  0  0  66
111  66  0  0  0  0  66
112  67  0  0  0  0  66
113  65  0  0  0  0  65
114  67  0  0  0  0  66
115  68  0  0  0  0  67
116  67  0  0  0  0  67
117  66  0  0  0  0  66
118  65  0  0  0  0  65
119  63  0  0  0  0  63
120  61  0  1  0  0  62
121  63  0  0  0  0  62
122  62  0  0  0  0  62
123  61  0  0  0  0  61
124  63  0  0  1  0  64
125  65  0  0  0  0  65
126  63  1  0  0  0  64
127  63  0  0  0  0  63
128  62  0  0  0  0  62
129  62  0  0  0  0  62
130  59  0  0  1  0  59
131  58  0  0  0  0  58
132  56  0  0  0  0  56
133  52  2  0  0  0  54
134  52  0  0  0  0  52
135  49  0  0  0  0  49
136  50  0  0  0  0  48
137  47  0  0  0  0  47
138  46  0  0  0  0  46
139  1  0  0  42  0  43
140  42  0  0  1  0  43
141  43  0  0  0  0  43
142  42  0  0  0  0  42
143  42  0  0  0  0  42
144  38  4  0  0  0  42
145  42  0  0  0  0  42
146  41  0  0  0  0  41
147  42  0  0  0  0  41
148  37  0  0  1  4  42
149  38  0  0  4  0  42
150  42  0  0  1  0  43
151  43  0  0  0  0  43
152  41  1  0  0  0  42
153  44  0  0  0  0  43
154  45  0  0  0  0  44
155  44  0  0  0  0  44
156  44  0  0  0  0  44
157  46  0  0  0  0  45
158  39  0  4  0  0  43
159  43  0  0  0  0  43
160  42  0  1  0  0  43
161  19  1  23  0  0  43
162  45  0  0  0  0  44
163  44  0  0  0  0  44
164  44  0  0  0  0  44
165  44  0  0  0  0  44
166  40  0  1  3  0  44
167  44  0  0  0  0  44
168  43  0  0  0  0  43
169  15  23  4  0  0  42
170  42  0  0  0  0  42
