Position,CL169_TR_1_x_330_0nt.fa_002
1,102
2,107
3,122
4,146
5,150
6,152
7,167
8,169
9,171
10,172
11,173
12,177
13,182
14,184
15,184
16,186
17,193
18,203
19,208
20,213
21,215
22,216
23,224
24,227
25,229
26,237
27,241
28,245
29,250
30,252
31,255
32,260
33,261
34,260
35,259
36,259
37,261
38,260
39,260
40,261
41,262
42,265
43,265
44,270
45,272
46,277
47,276
48,274
49,280
50,282
51,286
52,287
53,292
54,292
55,295
56,296
57,300
58,301
59,303
60,302
61,306
62,303
63,302
64,302
65,302
66,300
67,301
68,303
69,303
70,303
71,304
72,307
73,308
74,306
75,304
76,300
77,301
78,302
79,304
80,303
81,302
82,306
83,309
84,308
85,308
86,309
87,308
88,308
89,304
90,301
91,300
92,297
93,293
94,296
95,296
96,292
97,293
98,291
99,290
100,290
101,287
102,286
103,279
104,276
105,273
106,270
107,263
108,259
109,261
110,261
111,257
112,253
113,242
114,245
115,244
116,243
117,250
118,253
119,245
120,229
121,228
122,228
123,235
124,253
125,252
126,251
127,248
128,248
129,252
130,254
131,253
132,254
133,251
134,250
135,252
136,253
137,250
138,248
139,242
140,239
141,245
142,247
143,245
144,247
145,246
146,244
147,245
148,244
149,242
150,236
151,235
152,230
153,246
154,245
155,245
156,239
157,235
158,227
159,229
160,232
161,238
162,240
163,240
164,247
165,248
166,246
167,246
168,242
169,238
170,241
171,244
172,246
173,250
174,246
175,246
176,254
177,252
178,255
179,256
180,257
181,257
182,256
183,250
184,252
185,256
186,258
187,259
188,261
189,261
190,259
191,262
192,260
193,261
194,262
195,264
196,263
197,261
198,252
199,247
200,258
201,259
202,262
203,263
204,263
205,258
206,264
207,268
208,273
209,273
210,274
211,278
212,280
213,282
214,282
215,279
216,276
217,275
218,270
219,265
220,271
221,274
222,273
223,272
224,273
225,272
226,274
227,274
228,275
229,277
230,274
231,271
232,271
233,273
234,273
235,276
236,275
237,261
238,258
239,258
240,258
241,260
242,263
243,264
244,265
245,265
246,266
247,266
248,263
249,261
250,257
251,255
252,254
253,255
254,252
255,255
256,254
257,251
258,246
259,242
260,242
261,245
262,245
263,244
264,246
265,244
266,242
267,241
268,240
269,241
270,237
271,234
272,232
273,229
274,226
275,221
276,218
277,216
278,215
279,218
280,217
281,214
282,213
283,214
284,212
285,216
286,216
287,215
288,215
289,212
290,206
291,206
292,203
293,201
294,198
295,193
296,191
297,188
298,183
299,181
300,180
301,179
302,172
303,168
304,165
305,159
306,152
307,150
308,144
309,140
310,138
311,130
312,130
313,125
314,123
315,121
316,118
317,118
318,116
319,110
320,109
321,108
322,105
323,100
324,99
325,98
326,97
327,91
328,83
329,74
330,68
331,0
332,0
333,0
334,0
