Position	CountMatch	CountA	CountT	CountG	CountC	Depth
1  1  0  0  0  0  1
2  7  0  0  0  0  7
3  18  0  0  0  0  18
4  19  0  0  0  0  19
5  22  0  0  0  0  22
6  25  0  0  0  0  25
7  24  0  0  0  0  24
8  30  0  0  0  0  30
9  32  0  0  0  0  32
10  32  0  0  0  0  32
11  33  0  0  0  0  33
12  35  0  0  0  0  35
13  38  0  0  0  0  38
14  38  0  0  0  0  38
15  45  0  0  0  0  45
16  46  0  0  0  0  46
17  44  0  0  0  0  44
18  46  0  0  0  0  46
19  48  0  0  0  0  48
20  53  0  0  0  0  53
21  58  0  0  0  0  58
22  60  0  0  0  0  60
23  57  0  0  0  0  57
24  62  0  0  0  0  62
25  70  0  0  0  0  70
26  68  0  0  0  0  68
27  71  0  0  0  0  71
28  71  0  0  0  0  71
29  74  0  0  0  0  74
30  73  0  0  0  0  73
31  75  0  0  0  0  75
32  77  0  0  0  0  77
33  80  0  0  0  0  80
34  83  0  0  0  0  83
35  84  0  0  0  0  84
36  89  0  0  0  0  89
37  91  0  0  0  0  91
38  92  0  0  0  0  92
39  91  0  0  0  0  91
40  90  0  0  0  0  90
41  92  0  0  0  0  92
42  97  0  0  0  0  97
43  97  0  0  0  0  97
44  98  0  0  0  0  98
45  99  0  0  0  0  99
46  101  0  0  0  0  101
47  99  0  0  0  0  99
48  102  0  0  0  0  102
49  106  0  0  0  0  106
50  108  0  0  0  0  108
51  111  0  0  0  0  111
52  109  1  0  0  0  110
53  112  0  0  0  0  112
54  113  0  0  0  1  114
55  112  0  1  0  0  113
56  113  0  0  0  0  113
57  115  0  0  0  0  115
58  114  0  0  0  0  114
59  116  0  0  0  0  116
60  119  0  0  0  0  119
61  118  0  0  0  0  118
62  119  0  0  0  0  119
63  119  0  0  0  0  119
64  120  0  0  0  0  120
65  121  0  0  0  0  121
66  126  0  0  0  0  126
67  124  0  0  0  0  124
68  127  0  0  0  0  127
69  128  0  0  0  0  128
70  126  0  0  0  0  126
71  131  0  0  0  0  131
72  130  0  0  0  0  130
73  131  0  0  0  0  131
74  131  0  0  0  0  131
75  133  0  0  0  0  133
76  132  0  0  0  0  132
77  136  0  0  0  0  136
78  137  0  0  0  0  137
79  136  0  0  0  0  136
80  137  0  0  0  0  137
81  136  0  0  0  0  136
82  138  0  0  0  0  138
83  138  0  0  0  0  138
84  139  0  0  0  0  139
85  137  0  0  0  0  137
86  138  1  0  0  0  139
87  139  0  0  0  0  139
88  139  0  0  1  0  140
89  137  0  0  0  0  137
90  138  0  0  0  0  138
91  142  0  0  0  0  142
