Position,Dmel_Top1_FBgn0004924_900_singlecopy_002
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,2
74,2
75,2
76,1
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,2
128,3
129,2
130,2
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,2
147,2
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,3
181,4
182,4
183,4
184,4
185,6
186,6
187,7
188,7
189,7
190,7
191,7
192,7
193,6
194,7
195,7
196,6
197,7
198,4
199,5
200,5
201,5
202,5
203,5
204,7
205,7
206,7
207,7
208,7
209,6
210,7
211,7
212,7
213,6
214,7
215,7
216,6
217,7
218,8
219,9
220,9
221,9
222,8
223,8
224,8
225,9
226,9
227,8
228,8
229,8
230,9
231,9
232,9
233,9
234,9
235,9
236,9
237,9
238,9
239,9
240,9
241,9
242,10
243,9
244,9
245,8
246,8
247,8
248,8
249,8
250,8
251,8
252,8
253,8
254,8
255,8
256,8
257,8
258,8
259,8
260,8
261,8
262,8
263,8
264,8
265,8
266,8
267,8
268,8
269,7
270,7
271,7
272,7
273,7
274,7
275,8
276,8
277,8
278,8
279,8
280,8
281,8
282,8
283,8
284,8
285,8
286,8
287,8
288,8
289,8
290,8
291,8
292,8
293,8
294,8
295,8
296,8
297,8
298,8
299,1
300,1
301,1
302,1
303,1
304,4
305,8
306,8
307,8
308,9
309,9
310,9
311,9
312,9
313,9
314,9
315,9
316,9
317,9
318,9
319,9
320,9
321,9
322,9
323,9
324,9
325,9
326,9
327,9
328,11
329,0
330,0
331,0
332,0
333,0
334,3
335,8
336,9
337,9
338,9
339,9
340,9
341,9
342,9
343,9
344,8
345,7
346,7
347,7
348,7
349,6
350,6
351,6
352,6
353,6
354,5
355,5
356,5
357,5
358,4
359,4
360,4
361,4
362,4
363,5
364,5
365,4
366,4
367,4
368,4
369,4
370,4
371,0
372,0
373,0
374,0
375,0
376,2
377,4
378,4
379,4
380,5
381,5
382,5
383,5
384,5
385,4
386,5
387,5
388,5
389,5
390,5
391,5
392,4
393,4
394,5
395,5
396,5
397,4
398,5
399,5
400,4
401,4
402,6
403,6
404,5
405,5
406,6
407,6
408,6
409,6
410,5
411,6
412,6
413,6
