Position,EU195798_2_Solanum_lycopersicum_retrotransposon_Kielia__complete_sequence.fa_006
1,1
2,2
3,2
4,2
5,2
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,2
54,2
55,2
56,2
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,6
142,12
143,13
144,13
145,13
146,13
147,13
148,15
149,16
150,16
151,16
152,16
153,20
154,20
155,20
156,21
157,23
158,23
159,23
160,26
161,26
162,26
163,26
164,29
165,30
166,30
167,34
168,34
169,35
170,35
171,35
172,36
173,36
174,36
175,36
176,36
177,36
178,36
179,33
180,33
181,33
182,33
183,33
184,32
185,31
186,31
187,39
188,39
189,39
190,41
191,42
192,43
193,43
194,42
195,41
196,44
197,46
198,45
199,48
200,47
201,47
202,48
203,48
204,48
205,49
206,51
207,53
208,53
209,52
210,52
211,54
212,54
213,54
214,52
215,52
216,53
217,52
218,51
219,53
220,53
221,51
222,51
223,51
224,50
225,51
226,52
227,52
228,52
229,51
230,51
231,50
232,51
233,51
234,50
235,49
236,51
237,52
238,54
239,54
240,56
241,56
242,56
243,56
244,55
245,58
246,58
247,57
248,56
249,53
250,54
251,56
252,59
253,60
254,59
255,58
256,57
257,57
258,57
259,57
260,56
261,56
262,58
263,60
264,60
265,61
266,61
267,64
268,64
269,64
270,65
271,65
272,65
273,63
274,63
275,63
276,63
277,63
278,63
279,63
280,63
281,63
282,63
283,63
284,62
285,62
286,64
287,64
288,65
289,66
290,65
291,65
292,65
293,62
294,62
295,61
296,61
297,61
298,64
299,62
300,61
301,58
302,59
303,59
304,60
305,60
306,59
307,59
308,57
309,59
310,57
311,57
312,63
313,63
314,63
315,64
316,63
317,63
318,64
319,64
320,64
321,64
322,64
323,64
324,64
325,62
326,62
327,61
328,63
329,63
330,63
331,64
332,64
333,63
334,64
335,62
336,64
337,72
338,73
339,72
340,72
341,72
342,74
343,73
344,73
345,73
346,73
347,72
348,75
349,75
350,75
351,72
352,69
353,69
354,69
355,68
356,66
357,68
358,69
359,71
360,71
361,70
362,71
363,70
364,68
365,64
366,66
367,66
368,66
369,66
370,68
371,68
372,68
373,67
374,67
375,65
376,66
377,65
378,67
379,67
380,67
381,66
382,66
383,67
384,65
385,64
386,63
387,62
388,61
389,60
390,68
391,68
392,69
393,68
394,68
395,68
396,67
397,66
398,67
399,67
400,73
401,73
402,72
403,75
404,60
405,57
406,54
407,55
408,56
409,54
410,55
411,54
412,54
413,56
414,59
415,60
416,60
417,60
418,67
419,73
420,75
421,79
422,83
423,88
424,93
425,93
426,97
427,100
428,102
429,105
430,106
431,111
432,116
433,118
434,121
435,122
436,125
437,126
438,125
439,127
440,127
441,126
442,126
443,130
444,132
445,132
446,132
447,133
448,133
449,134
450,136
451,140
452,141
453,143
454,144
455,146
456,145
457,144
458,144
459,146
460,146
461,147
462,146
463,146
464,149
465,149
466,148
467,149
468,149
469,149
470,150
471,150
472,149
473,150
474,150
475,149
476,148
477,148
478,147
479,147
480,146
481,144
482,144
483,144
484,144
485,145
486,145
487,145
488,140
489,140
490,141
491,141
492,140
493,140
494,140
495,138
496,136
497,136
498,134
499,134
500,134
501,136
502,136
503,134
504,133
505,132
506,132
507,130
508,129
509,128
510,128
511,128
512,127
513,124
514,107
515,107
516,107
517,108
518,109
519,106
520,95
521,95
522,95
523,95
524,95
525,94
526,90
527,86
528,84
529,79
530,73
531,75
532,75
533,74
534,70
535,70
536,68
537,65
538,65
539,65
540,64
541,64
542,55
543,55
544,58
545,58
546,58
547,58
548,57
549,55
550,53
551,47
552,47
553,47
554,47
