Position,LC012705_1_Solanum_lycopersicum_DNA__LTR_retrotransposon_CopiaSL_monotypic_Ch12_2s29__complete_sequence.fa_007
1,9
2,11
3,11
4,11
5,13
6,13
7,13
8,13
9,13
10,14
11,14
12,15
13,15
14,15
15,16
16,16
17,16
18,19
19,19
20,19
21,19
22,19
23,19
24,20
25,20
26,20
27,22
28,24
29,25
30,27
31,29
32,32
33,32
34,35
35,36
36,37
37,37
38,38
39,38
40,38
41,41
42,43
43,43
44,43
45,43
46,43
47,43
48,43
49,43
50,43
51,43
52,44
53,44
54,44
55,44
56,44
57,44
58,44
59,44
60,44
61,45
62,45
63,45
64,46
65,47
66,47
67,46
68,46
69,47
70,47
71,47
72,47
73,47
74,47
75,47
76,46
77,46
78,47
79,47
80,47
81,49
82,49
83,49
84,49
85,50
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,51
95,51
96,50
97,49
98,48
99,46
100,48
101,47
102,47
103,47
104,47
105,45
106,45
107,45
108,45
109,45
110,45
111,44
112,43
113,42
114,42
115,42
116,42
117,40
118,38
119,38
120,37
121,35
122,35
123,35
124,36
125,36
126,38
127,37
128,36
129,35
130,35
131,34
132,31
133,30
134,29
135,27
136,25
137,24
138,24
139,21
140,21
141,21
142,21
143,21
144,21
145,21
146,21
147,23
148,23
149,23
150,25
151,25
152,25
153,25
154,25
155,25
156,26
157,26
158,29
159,29
160,29
161,28
162,28
163,28
164,28
165,28
166,26
167,26
168,26
169,23
170,22
171,22
172,22
173,22
174,22
175,22
176,22
177,23
178,23
179,23
180,22
181,23
182,23
183,22
184,22
185,21
186,22
187,22
188,23
189,23
190,24
191,24
192,23
193,22
194,23
195,23
196,23
197,23
198,23
199,22
200,23
201,23
202,23
203,23
204,23
205,24
206,24
207,24
208,24
209,24
210,24
211,24
212,24
213,24
214,24
215,24
216,24
217,24
218,24
219,24
220,24
221,24
222,24
223,24
224,24
225,24
226,24
227,24
228,22
229,22
230,22
231,22
232,28
233,29
234,22
235,22
236,22
237,22
238,23
239,21
240,22
241,22
242,22
243,22
244,22
245,22
246,23
247,24
248,24
249,24
250,23
251,26
252,27
253,27
254,27
255,27
256,27
257,27
258,27
259,27
260,27
261,27
262,27
263,29
264,28
265,28
266,28
